"thyme leaves",0,"1"
"patty",41.80407,"Good"
"fish",83.88169,"Good"
"hot chili sauce",129.779,"Good"
"apple cider",164.9504,"Good"
"noodles",198.552,"Good"
"korean condiments",232.1448,"Good"
"wine",271.2561,"Good"
"cream cheese spread",318.4095,"Good"
"apple juice",358.8159,"Good"
"unsweetened chocolate drink",396.7667,"Good"
"chocolate flavored milk tea",432.7964,"Good"
"sports drink grapes flavor",470.1105,"Good"
"hair styling wax",523.1348,"Good"
"aluminum foil",564.1365,"Good"
"noodles",0,"2"
"unsweetened chocolate drink",37.75474,"Good"
"chocolate flavored milk tea",71.42233,"Good"
"sports drink grapes flavor",106.939,"Good"
"cream cheese spread",148.1586,"Good"
"apple juice",188.1258,"Good"
"hair styling wax",233.6069,"Good"
"aluminum foil",271.7979,"Good"
"patty",323.7176,"Good"
"fish",356.1801,"Good"
"thyme leaves",393.1568,"Good"
"hot chili sauce",428.6685,"Good"
"apple cider",461.8311,"Good"
"wine",498.4045,"Good"
"korean condiments",534.0822,"Good"
"pet accessories",0,"3"
"liquid soap",35.14849,"Good"
"chocolate",79.25808,"Good"
"choco pie",112.2525,"Good"
"pasta",150.2214,"Good"
"dried mangoes",195.2398,"Good"
"chicharon",231.7515,"Good"
"pickled mango",284.2433,"Good"
"dried fish",327.4083,"Good"
"mamon",366.652,"Good"
"chocolate tablets",399.0356,"Good"
"raisin load",431.911,"Good"
"green tea drink",470.1093,"Good"
"odong",505.9869,"Good"
"olives",539.4426,"Good"
"sweetened rice cereal",584.9182,"Good"
"dried fish",0,"4"
"pickled mango",44.65918,"Good"
"chicharon",77.19186,"Good"
"chocolate",119.8841,"Good"
"dried mangoes",158.9344,"Good"
"pasta",204.3618,"Good"
"choco pie",243.4188,"Good"
"pet accessories",287.9544,"Good"
"liquid soap",322.7388,"Good"
"odong",372.8712,"Good"
"chocolate tablets",416.941,"Good"
"sweetened rice cereal",451.1807,"Good"
"raisin load",485.9524,"Good"
"green tea drink",525.1329,"Good"
"mamon",567.1394,"Good"
"olives",614.6437,"Good"
"baby powder",0,"5"
"plastic plates",35.66242,"Good"
"paper plates",283.6091,"stuck hit!"
"pot holder",320.5846,"Good"
"powdered juice drink",371.5314,"Good"
"canola oil",410.4098,"Good"
"soy milk drink",447.5908,"Good"
"evaporated creamer",485.7726,"Good"
"thousand island dressing",527.3629,"Good"
"macapuno",571.9719,"Good"
"patty",618.0729,"Good"
"tomato",660.3156,"Good"
"beef siomai frozen",700.0662,"Good"
"squid balls",736.3267,"Good"
"basil leaves",775.7837,"Good"
"grapes",819.1919,"Good"
"gouda",857.2919,"Good"
"fish balls",898.4457,"Good"
"powdered juice drink",0,"6"
"canola oil",38.90227,"Good"
"soy milk drink",87.32037,"Good"
"thousand island dressing",127.7113,"Good"
"evaporated creamer",169.4552,"Good"
"macapuno",202.8217,"Good"
"patty",245.9822,"Good"
"squid balls",493.9192,"stuck hit!"
"beef siomai frozen",529.6474,"Good"
"basil leaves",567.5613,"Good"
"gouda",609.9035,"Good"
"tomato",645.6243,"Good"
"fish balls",686.0106,"Good"
"grapes",731.3622,"Good"
"paper plates",785.2045,"Good"
"baby powder",822.2783,"Good"
"plastic plates",858.7545,"Good"
"pot holder",898.3955,"Good"
"patty",0,"7"
"butter",34.16627,"Good"
"eggplant",66.75865,"Good"
"tocino",113.0214,"Good"
"coriander",159.2094,"Good"
"crab sticks",202.3185,"Good"
"lumpia wrapper",237.3658,"Good"
"quekiam",278.4063,"Good"
"celery powder",312.7478,"Good"
"instant noodles",349.9998,"Good"
"corn coffee",388.7701,"Good"
"berry special granola",425.1746,"Good"
"soy drink milk",457.4132,"Good"
"citrus drink",493.0924,"Good"
"yogurt drink with strawberry",528.1669,"Good"
"milk cream",567.062,"Good"
"chiffon choco",611.6089,"Good"
"kitchen towel",659.3648,"Good"
"instant noodles",0,"8"
"kitchen towel",58.48011,"Good"
"yogurt drink with strawberry",115.5437,"Good"
"soy drink milk",148.8369,"Good"
"berry special granola",183.7689,"Good"
"corn coffee",225.2533,"Good"
"citrus drink",269.5673,"Good"
"chiffon choco",314.3776,"Good"
"milk cream",362.0439,"Good"
"patty",426.7445,"Good"
"quekiam",473.7321,"Good"
"lumpia wrapper",518.2678,"Good"
"tocino",552.9492,"Good"
"butter",594.5535,"Good"
"crab sticks",641.6387,"Good"
"coriander",692.7586,"Good"
"celery powder",745.9888,"Good"
"eggplant",786.3185,"Good"
"ham",0,"9"
"garlic pack",41.22805,"Good"
"tomato",78.87924,"Good"
"ginger",116.076,"Good"
"radish",157.3018,"Good"
"white cheese",192.8734,"Good"
"egg",236.1453,"Good"
"dumpling fries",272.1847,"Good"
"strawberry jam",325.9916,"Good"
"lasagna",358.2213,"Good"
"marshmallows",408.0506,"Good"
"bread stick",452.4408,"Good"
"macapuno",499.6838,"Good"
"facial wash",554.2454,"Good"
"dumpling fries",0,"10"
"white cheese",37.98441,"Good"
"tomato",72.87128,"Good"
"garlic pack",111.9759,"Good"
"ginger",150.4262,"Good"
"egg",189.6635,"Good"
"ham",226.0171,"Good"
"radish",275.5156,"Good"
"bread stick",324.0072,"Good"
"marshmallows",361.1703,"Good"
"strawberry jam",397.7137,"Good"
"lasagna",429.7592,"Good"
"facial wash",477.1182,"Good"
"macapuno",525.8558,"Good"
"macaroni",0,"11"
"milk tea",39.40363,"Good"
"cheese",80.19515,"Good"
"fries",119.6311,"Good"
"wheat sesame",160.8706,"Good"
"salted black beans",209.9813,"Good"
"grapes drink",253.3246,"Good"
"macapuno",293.4755,"Good"
"cream",341.8295,"Good"
"men shampoo",373.4608,"Good"
"cheese",0,"12"
"fries",39.47581,"Good"
"macaroni",90.93117,"Good"
"salted black beans",128.4762,"Good"
"grapes drink",173.4095,"Good"
"wheat sesame",211.3022,"Good"
"macapuno",259.585,"Good"
"cream",308.0454,"Good"
"men shampoo",341.419,"Good"
"milk tea",388.9987,"Good"
"prune juice",0,"13"
"lasagna",40.34026,"Good"
"multi grain drink mix",79.14532,"Good"
"chocolate flavored milk tea",116.0127,"Good"
"palabok",158.2058,"Good"
"all-purpose flour",193.3296,"Good"
"raisin load",237.5233,"Good"
"oyster sauce",281.0073,"Good"
"low fat milk",316.9008,"Good"
"macaroni cheese",359.6451,"Good"
"rosquillos",407.0245,"Good"
"raisin load",0,"14"
"chocolate flavored milk tea",38.29869,"Good"
"all-purpose flour",74.74664,"Good"
"palabok",109.1795,"Good"
"low fat milk",149.0239,"Good"
"multi grain drink mix",185.4825,"Good"
"prune juice",222.4367,"Good"
"oyster sauce",263.8238,"Good"
"lasagna",298.0334,"Good"
"macaroni cheese",343.1571,"Good"
"rosquillos",387.2386,"Good"
"popcorn",0,"15"
"instant noodles",41.76418,"Good"
"korean condiments",81.07861,"Good"
"candies",119.3606,"Good"
"soy sauce",156.5345,"Good"
"dried kelp",196.4977,"Good"
"cakewich",229.714,"Good"
"cornflakes cereal",273.2712,"Good"
"beer",306.0422,"Good"
"turmeric corn coffee",346.3154,"Good"
"aluminum foil",394.2035,"Good"
"car sweetener",427.0858,"Good"
"dishwashing liquid",459.5243,"Good"
"aluminum tray",494.5711,"Good"
"grind meat",546.9529,"Good"
"charcoal",591.7029,"Good"
"car sweetener",0,"16"
"dishwashing liquid",34.53499,"Good"
"aluminum foil",70.59731,"Good"
"aluminum tray",103.2296,"Good"
"charcoal",164.1748,"Good"
"grind meat",210.0956,"Good"
"soy sauce",254.0845,"Good"
"instant noodles",286.4474,"Good"
"cornflakes cereal",331.8203,"Good"
"turmeric corn coffee",370.9354,"Good"
"beer",414.6874,"Good"
"cakewich",465.6386,"Good"
"candies",508.1364,"Good"
"popcorn",542.425,"Good"
"dried kelp",585.3847,"Good"
"korean condiments",628.2535,"Good"
