Customer Number,Sort Time(ns)
1,83800
2,79000
3,70100
4,57100
5,92300
6,51300
7,51600
8,49900
9,51600
10,109200
11,69400
12,48300
13,112500
14,100400
15,48700
16,92800
17,111500
18,103700
19,85800
20,61700
21,451700
22,489700
23,473200
24,286700
25,295700
26,320400
27,371800
28,518900
29,570300
30,297400
31,502400
32,355900
33,453900
34,567500
35,326300
36,412200
37,354600
38,492200
39,493700
40,365400
41,272800
42,248400
43,314500
44,437000
45,256400
46,474800
47,510100
48,557700
49,324400
50,292500
51,378100
52,263000
53,273000
54,239200
55,294100
56,250500
57,239400
58,430200
59,310300
60,458300
61,211100
62,365400
63,256200
64,365600
65,220800
66,227600
67,373700
68,266400
69,259300
70,232800
71,222800
72,207500
73,238800
74,288700
75,290600
76,238600
77,427200
78,400300
79,439700
80,404200
81,229000
82,306600
83,213300
84,196300
85,195900
86,307400
87,233700
88,274400
89,230700
90,400300
91,203400
92,188000
93,200100
94,376000
95,154600
96,152600
97,167800
98,179100
99,152200
