Item,Cluster
cotton buds,0
mosquito net,0
pain relief oil,0
paper plates,0
toilet papers,0
cayenne pepper,1
fries,1
frozen bangus,1
choco pie,2
nutella,2
potato chips,2
seaweed,2
cheddar spread,3
chicken spread,3
chocolate cake bar,3
vanilla cake bar,3
misua,4
oyster sauce,4
soy sauce,4
breakfast cereal,5
hazelnut with cocoa spread,5
muffin,5
prune juice,5
soy milk drink strawberry flavor,5
whole grain oats,5
blueberries,6
grapes,6
sword pepper,6
watermelon,6
bell pepper,7
chicken cutlet,7
onion,7
canned ham,8
imported drinks,8
mushrooms,8
ramen,8
rice stick,8
air freshener,9
dishwashing liquid,9
pet shampoo,9
cloves,10
garlic pack,10
baby wipes,11
deodorant,11
facial wash,11
rejuvenating serum,11
whitening lotion,11
mayonnaise,12
wheat sesame,12
black roast coffee,13
caramel latte mix,13
puto cheese,13
milk tea,14
nori,14
tacchino,15
white cheese,15
liquid detergent,16
shampoo,16
cocoa powder,17
yogurt juice,17
