"wheat sesame",0,"1"
"chicken spread",16.0784,"Good"
"seaweed",40.06583,"Good"
"nutella",57.39023,"Good"
"choco pie",77.69502,"Good"
"potato chips",95.02182,"Good"
"yogurt juice",113.6624,"Good"
"milk tea",131.986,"Good"
"onion",157.1464,"Good"
"bell pepper",174.969,"Good"
"cloves",197.1347,"Good"
"deodorant",234.2789,"Good"
"air freshener",256.764,"Good"
"watermelon",0,"2"
"grapes",11.75047,"Good"
"yogurt juice",30.76819,"Good"
"garlic pack",58.07924,"Good"
"tacchino",83.04747,"Good"
"bell pepper",99.0424,"Good"
"frozen bangus",121.0113,"Good"
"fries",138.3461,"Good"
"mosquito net",185.8114,"Good"
"whitening lotion",204.3201,"Good"
"air freshener",226.8147,"Good"
"pet shampoo",240.6428,"Good"
"liquid detergent",260.8483,"Good"
"mayonnaise",293.476,"Good"
"soy sauce",316.7135,"Good"
"cheddar spread",337.6007,"Good"
"wheat sesame",353.4555,"Good"
"misua",383.3841,"Good"
"rice stick",417.3558,"Good"
"cocoa powder",433.8676,"Good"
"choco pie",456.7687,"Good"
"chicken cutlet",0,"3"
"onion",16.76019,"Good"
"frozen bangus",35.4227,"Good"
"liquid detergent",70.72423,"Good"
"muffin",99.69943,"Good"
"breakfast cereal",119.6707,"Good"
"imported drinks",140.2508,"Good"
"oyster sauce",0,"4"
"canned ham",17.41194,"Good"
"cocoa powder",40.39995,"Good"
"chocolate cake bar",58.05657,"Good"
"mushrooms",78.67632,"Good"
"milk tea",96.33414,"Good"
"grapes",114.2932,"Good"
"cayenne pepper",137.9267,"Good"
"frozen bangus",158.4278,"Good"
"prune juice",185.8989,"Good"
"hazelnut with cocoa spread",208.7323,"Good"
"rejuvenating serum",244.8795,"Good"
"pet shampoo",265.5826,"Good"
"mosquito net",0,"5"
"whitening lotion",16.74957,"Good"
"baby wipes",32.07751,"Good"
"toilet papers",49.73314,"Good"
"air freshener",66.39301,"Good"
"cayenne pepper",97.0339,"Good"
"cloves",108.6993,"Good"
"white cheese",133.666,"Good"
"sword pepper",151.1526,"Good"
"imported drinks",172.2988,"Good"
"mushrooms",190.8069,"Good"
"canned ham",208.2771,"Good"
"whole grain oats",226.7438,"Good"
"prune juice",242.2542,"Good"
"puto cheese",264.253,"Good"
"prune juice",0,"6"
"puto cheese",18.7599,"Good"
"deodorant",53.38198,"Good"
"paper plates",72.70629,"Good"
"dishwashing liquid",90.67986,"Good"
"shampoo",106.3415,"Good"
"toilet papers",122.981,"Good"
"tacchino",160.7716,"Good"
"chicken cutlet",177.6123,"Good"
"cayenne pepper",200.7583,"Good"
"watermelon",225.5702,"Good"
"sword pepper",0,"7"
"blueberries",17.0769,"Good"
"watermelon",32.40794,"Good"
"yogurt juice",49.51677,"Good"
"cayenne pepper",75.76398,"Good"
"misua",100.7971,"Good"
"imported drinks",133.0514,"Good"
"nori",146.9675,"Good"
"chocolate cake bar",164.2388,"Good"
"oyster sauce",190.3869,"Good"
"puto cheese",208.3064,"Good"
"chicken spread",228.6173,"Good"
"wheat sesame",262.1103,"Good"
"caramel latte mix",274.7647,"Good"
"rejuvenating serum",312.3775,"Good"
"mosquito net",329.179,"Good"
"baby wipes",346.7426,"Good"
"pet shampoo",381.3392,"Good"
"pain relief oil",397.869,"Good"
"dishwashing liquid",418.2368,"Good"
"cloves",0,"8"
"toilet papers",32.154,"Good"
"pet shampoo",47.01423,"Good"
"baby wipes",66.88044,"Good"
"deodorant",80.64263,"Good"
"seaweed",107.9519,"Good"
"mosquito net",0,"9"
"air freshener",27.42261,"Good"
"misua",60.06322,"Good"
"rice stick",72.39388,"Good"
"nori",93.38046,"Good"
"imported drinks",110.0248,"Good"
"choco pie",136.0033,"Good"
"yogurt juice",160.4997,"Good"
"blueberries",178.6561,"Good"
"onion",206.1297,"Good"
"frozen bangus",227.9625,"Good"
"hazelnut with cocoa spread",253.4599,"Good"
"chicken spread",269.5634,"Good"
"canned ham",0,"10"
"nori",21.76092,"Good"
"cotton buds",38.73717,"Good"
"cloves",58.06058,"Good"
"chicken spread",76.03465,"Good"
"vanilla cake bar",95.32152,"Good"
"breakfast cereal",115.2938,"Good"
"whitening lotion",145.2668,"Good"
"breakfast cereal",0,"11"
"white cheese",29.43012,"Good"
"mushrooms",54.0464,"Good"
"ramen",73.99632,"Good"
"imported drinks",97.63048,"Good"
"rice stick",115.2903,"Good"
"pet shampoo",0,"12"
"air freshener",16.0779,"Good"
"shampoo",32.39289,"Good"
"deodorant",58.03902,"Good"
"seaweed",90.66024,"Good"
"potato chips",115.3083,"Good"
"toilet papers",0,"13"
"pain relief oil",17.09553,"Good"
"deodorant",36.42495,"Good"
"whitening lotion",51.75324,"Good"
"grapes",82.39252,"Good"
"chicken cutlet",107.3724,"Good"
"garlic pack",129.3429,"Good"
"cloves",141.8405,"Good"
"misua",174.3081,"Good"
"puto cheese",201.1149,"Good"
"hazelnut with cocoa spread",219.9345,"Good"
"breakfast cereal",243.4131,"Good"
"mushrooms",261.2767,"Good"
"imported drinks",281.1247,"Good"
"bell pepper",0,"14"
"chicken cutlet",19.41195,"Good"
"black roast coffee",44.06173,"Good"
"vanilla cake bar",61.03706,"Good"
"wheat sesame",78.99538,"Good"
"toilet papers",0,"15"
"wheat sesame",37.08386,"Good"
"black roast coffee",53.39055,"Good"
"oyster sauce",81.01682,"Good"
"misua",99.02361,"Good"
"nori",143.3152,"Good"
"canned ham",168.1418,"Good"
"nutella",185.9803,"Good"
"choco pie",0,"16"
"nutella",25.75764,"Good"
"soy sauce",43.08398,"Good"
"liquid detergent",73.05762,"Good"
"dishwashing liquid",88.38892,"Good"
"mosquito net",117.6946,"Good"
"breakfast cereal",156.4307,"Good"
"caramel latte mix",174.5729,"Good"
"mosquito net",0,"17"
"pain relief oil",20.50956,"Good"
"vanilla cake bar",62.49801,"Good"
"bell pepper",86.44983,"Good"
"yogurt juice",109.0648,"Good"
"cayenne pepper",0,"18"
"cloves",16.7495,"Good"
"onion",37.02526,"Good"
"sword pepper",61.65858,"Good"
"yogurt juice",78.62949,"Good"
"shampoo",115.9114,"Good"
"black roast coffee",152.858,"Good"
"muffin",172.0293,"Good"
"chocolate cake bar",188.8497,"Good"
"soy sauce",210.6463,"Good"
"oyster sauce",229.1302,"Good"
"imported drinks",263.652,"Good"
"ramen",281.5036,"Good"
"milk tea",298.6911,"Good"
"choco pie",321.5865,"Good"
"potato chips",337.7784,"Good"
"watermelon",0,"19"
"blueberries",13.41475,"Good"
"garlic pack",40.70037,"Good"
"cayenne pepper",52.35132,"Good"
"bell pepper",78.97843,"Good"
"whole grain oats",107.2727,"Good"
"soy milk drink strawberry flavor",125.246,"Good"
"breakfast cereal",143.2751,"Good"
"misua",170.0643,"Good"
"cheddar spread",198.5141,"Good"
"rejuvenating serum",231.9795,"Good"
"toilet papers",250.798,"Good"
"cotton buds",265.6187,"Good"
"milk tea",294.5871,"Good"
"imported drinks",310.7958,"Good"
"mushrooms",326.3009,"Good"
