"grapes",0,"1"
"blueberries",11.22667,"Good"
"bell pepper",26.25785,"Good"
"tacchino",42.39052,"Good"
"white cheese",54.33879,"Good"
"cloves",86.64324,"Good"
"prune juice",110.1395,"Good"
"choco pie",131.4494,"Good"
"cocoa powder",156.7299,"Good"
"pet shampoo",193.9104,"Good"
"liquid detergent",212.0069,"Good"
"paper plates",233.2605,"Good"
"toilet papers",248.2321,"Good"
"shampoo",0,"2"
"nutella",29.87415,"Good"
"choco pie",53.38531,"Good"
"imported drinks",77.22429,"Good"
"mayonnaise",100.1113,"Good"
"oyster sauce",120.7979,"Good"
"ramen",139.9418,"Good"
"potato chips",163.0165,"Good"
"cloves",194.2303,"Good"
"white cheese",220.7601,"Good"
"onion",241.3544,"Good"
"hazelnut with cocoa spread",266.4518,"Good"
"cheddar spread",283.5481,"Good"
"chicken spread",0,"3"
"caramel latte mix",20.80811,"Good"
"soy milk drink strawberry flavor",42.75953,"Good"
"vanilla cake bar",65.02129,"Good"
"muffin",83.2084,"Good"
"paper plates",125.4427,"Good"
"onion",169.3388,"Good"
"grapes",195.8838,"Good"
"cayenne pepper",225.5359,"Good"
"bell pepper",247.7084,"Good"
"cocoa powder",274.0762,"Good"
"mushrooms",294.6325,"Good"
"onion",0,"4"
"frozen bangus",20.80771,"Good"
"wheat sesame",45.24219,"Good"
"oyster sauce",72.17349,"Good"
"misua",90.04688,"Good"
"paper plates",126.0361,"Good"
"air freshener",144.0708,"Good"
"toilet papers",162.5116,"Good"
"imported drinks",199.085,"Good"
"choco pie",224.3995,"Good"
"nori",248.1341,"Good"
"seaweed",269.9724,"Good"
"misua",0,"5"
"whole grain oats",29.88939,"Good"
"chocolate cake bar",54.0268,"Good"
"muffin",72.23278,"Good"
"rice stick",101.033,"Good"
"potato chips",127.6679,"Good"
"deodorant",157.6506,"Good"
"paper plates",180.4482,"Good"
"bell pepper",222.6087,"Good"
"cayenne pepper",244.1413,"Good"
"garlic pack",256.8245,"Good"
"ramen",0,"6"
"potato chips",18.63445,"Good"
"seaweed",39.3368,"Good"
"yogurt juice",60.64789,"Good"
"pain relief oil",89.15571,"Good"
"toilet papers",106.4053,"Good"
"grapes",142.6919,"Good"
"tacchino",162.3656,"Good"
"white cheese",181.1025,"Good"
"cloves",206.6949,"Good"
"fries",228.5555,"Good"
"breakfast cereal",256.9825,"Good"
"wheat sesame",274.0638,"Good"
"hazelnut with cocoa spread",293.6612,"Good"
"blueberries",0,"7"
"canned ham",27.07586,"Good"
"imported drinks",49.35538,"Good"
"rice stick",67.86929,"Good"
"whitening lotion",98.54844,"Good"
"paper plates",118.9363,"Good"
"facial wash",139.5637,"Good"
"air freshener",162.9865,"Good"
"black roast coffee",191.4061,"Good"
"prune juice",210.1443,"Good"
"cheddar spread",231.068,"Good"
"wheat sesame",249.5094,"Good"
"soy sauce",0,"8"
"potato chips",24.54299,"Good"
"cocoa powder",46.50989,"Good"
"shampoo",65.03878,"Good"
"oyster sauce",83.55419,"Good"
"frozen bangus",112.0475,"Good"
"tacchino",136.5117,"Good"
"sword pepper",157.1053,"Good"
"grapes",175.8603,"Good"
"white cheese",198.9688,"Good"
"rejuvenating serum",238.6488,"Good"
"black roast coffee",273.0992,"Good"
"vanilla cake bar",289.8643,"Good"
"pet shampoo",0,"9"
"prune juice",27.71563,"Good"
"vanilla cake bar",48.41745,"Good"
"soy milk drink strawberry flavor",69.08612,"Good"
"wheat sesame",92.26988,"Good"
"bell pepper",111.4105,"Good"
"fries",132.4265,"Good"
"white cheese",155.5359,"Good"
"nori",181.4569,"Good"
"milk tea",195.8054,"Good"
"bell pepper",0,"10"
"onion",26.73127,"Good"
"black roast coffee",50.89943,"Good"
"chocolate cake bar",69.7111,"Good"
"mushrooms",96.65888,"Good"
"canned ham",116.4221,"Good"
"milk tea",141.496,"Good"
"baby wipes",176.803,"Good"
"deodorant",195.2104,"Good"
"mosquito net",213.9316,"Good"
"air freshener",0,"11"
"rejuvenating serum",19.54147,"Good"
"deodorant",37.41605,"Good"
"liquid detergent",62.49036,"Good"
"ramen",89.4531,"Good"
"mayonnaise",108.5756,"Good"
"misua",132.0717,"Good"
"vanilla cake bar",155.494,"Good"
"breakfast cereal",177.6508,"Good"
"caramel latte mix",197.3085,"Good"
"mosquito net",0,"12"
"mayonnaise",33.00307,"Good"
"cocoa powder",55.88598,"Good"
"soy sauce",78.13387,"Good"
"canned ham",96.94403,"Good"
"watermelon",126.9845,"Good"
"black roast coffee",155.9985,"Good"
"wheat sesame",174.7531,"Good"
"muffin",196.2842,"Good"
"soy milk drink strawberry flavor",217.5024,"Good"
"toilet papers",0,"13"
"whole grain oats",30.81666,"Good"
"soy sauce",54.00101,"Good"
"mayonnaise",78.77696,"Good"
"muffin",96.33833,"Good"
"cheddar spread",118.8975,"Good"
"onion",140.1477,"Good"
"watermelon",165.1138,"Good"
"milk tea",185.1004,"Good"
"rice stick",203.5434,"Good"
"facial wash",0,"14"
"air freshener",21.76061,"Good"
"liquid detergent",39.00983,"Good"
"rejuvenating serum",60.94379,"Good"
"white cheese",95.37238,"Good"
"fries",115.4164,"Good"
"chicken cutlet",134.2747,"Good"
"seaweed",165.5218,"Good"
"mayonnaise",184.8843,"Good"
"ramen",205.1661,"Good"
"breakfast cereal",228.2771,"Good"
"puto cheese",247.6387,"Good"
"soy milk drink strawberry flavor",268.8248,"Good"
"whitening lotion",0,"15"
"bell pepper",40.19864,"Good"
"cocoa powder",64.00716,"Good"
"nori",82.53706,"Good"
"mayonnaise",105.1281,"Good"
"seaweed",117.0681,"Good"
"canned ham",136.3333,"Good"
"milk tea",160.3959,"Good"
"soy sauce",184.4772,"Good"
"whole grain oats",203.8558,"Good"
"wheat sesame",225.6989,"Good"
"breakfast cereal",244.4202,"Good"
"caramel latte mix",263.3436,"Good"
"chicken spread",0,"16"
"prune juice",23.01151,"Good"
"wheat sesame",41.21519,"Good"
"puto cheese",59.71454,"Good"
"watermelon",87.92511,"Good"
"tacchino",107.6739,"Good"
"bell pepper",125.2357,"Good"
"sword pepper",148.7899,"Good"
"shampoo",172.8197,"Good"
"rice stick",191.2271,"Good"
"milk tea",210.5907,"Good"
"paper plates",248.6908,"Good"
"pet shampoo",265.7926,"Good"
"toilet papers",282.2571,"Good"
"potato chips",0,"17"
"nori",20.49348,"Good"
"seaweed",42.75782,"Good"
"imported drinks",65.36346,"Good"
"canned ham",86.65778,"Good"
"breakfast cereal",105.7969,"Good"
"wheat sesame",124.9214,"Good"
"baby wipes",162.8847,"Good"
"pain relief oil",182.8679,"Good"
"air freshener",202.2183,"Good"
"pet shampoo",216.8741,"Good"
"blueberries",259.3745,"Good"
"cheddar spread",0,"18"
"oyster sauce",26.13748,"Good"
"white cheese",64.64231,"Good"
"tacchino",81.61205,"Good"
"grapes",100.4631,"Good"
"sword pepper",119.2748,"Good"
"blueberries",138.3499,"Good"
"nori",159.2579,"Good"
"shampoo",181.7427,"Good"
"mushrooms",201.7632,"Good"
"rice stick",222.0779,"Good"
"baby wipes",255.1999,"Good"
"blueberries",0,"19"
"grapes",13.64868,"Good"
"chicken cutlet",43.72462,"Good"
"bell pepper",61.63085,"Good"
"garlic pack",86.4088,"Good"
