"root beer",0,"1"
"basil leaves",29.10668,"Good"
"cumin",44.43274,"Good"
"beef siomai frozen",65.09085,"Good"
"chicken",86.42039,"Good"
"salad",120.0801,"Good"
"baby wipes",157.6933,"Good"
"paper cups",178.199,"Good"
"bleach",196.0383,"Good"
"dustpan",220.8802,"Good"
"plastic plates",245.3881,"Good"
"sparkling water",270.3894,"Good"
"sotanghon",296.3238,"Good"
"canned pineapple",316.887,"Good"
"nori",350.5472,"Good"
"shabu sauce",363.0437,"Good"
"fruit drink",385.6192,"Good"
"coconut oil",0,"2"
"creamy white coffee",22.77233,"Good"
"sliced bread",38.1041,"Good"
"puto cheese",51.43203,"Good"
"red wine",74.76197,"Good"
"toothpaste",98.09001,"Good"
"cabbage",119.4204,"Good"
"umami seasoning",148.315,"Good"
"french beans",177.8245,"Good"
"garlic pack",205.3311,"Good"
"hair conditioner",238.835,"Good"
"pot holder",0,"3"
"powdered detergent",25.10286,"Good"
"toilet brush",50.43084,"Good"
"skewers",72.42821,"Good"
"guava",107.4198,"Good"
"longganisa",129.7491,"Good"
"basil leaves",152.2552,"Good"
"carbonated drink",181.7643,"Good"
"grapes drink",214.9358,"Good"
"odong",242.109,"Good"
"liquid seasoning",263.0014,"Good"
"corn chip",294.9812,"Good"
"salsa",318.5647,"Good"
"otap",344.4974,"Good"
"apples",0,"4"
"mozzarella",16.09472,"Good"
"pechay",35.09252,"Good"
"wine",59.08999,"Good"
"ketchup",79.08106,"Good"
"canola oil",113.0765,"Good"
"all-purpose flour",129.0719,"Good"
"white bread",153.2491,"Good"
"tocino mix",174.4186,"Good"
"tropical fruit cocktail",198.5912,"Good"
"tuna mayo spread",218.4365,"Good"
"wheat sesame",246.944,"Good"
"pot holder",287.1699,"Good"
"facial tissue",308.0631,"Good"
"rag",328.9602,"Good"
"brushes",352.5415,"Good"
"body cream",375.7905,"Good"
"aluminum tray",396.3484,"Good"
"mosquito net",417.9179,"Good"
"sweetened mango puree",0,"5"
"sotanghon",21.43358,"Good"
"cay-cay",51.09317,"Good"
"bihon",79.75317,"Good"
"whiskey",102.415,"Good"
"q tips",125.0769,"Good"
"quekiam",162.413,"Good"
