"hair conditioner",0,"1"
"insect killer",16.37154,"Good"
"shabu sauce",45.60983,"Good"
"korean sauce",65.75874,"Good"
"imported drinks",85.17886,"Good"
"canned mushroom",115.6237,"Good"
"facial wash",0,"2"
"pretzels",20.98021,"Good"
"chicken flakes",48.15558,"Good"
"soy drink milk",66.72877,"Good"
"green tea latte drink",81.18182,"Good"
"ion supply juice drink",101.5723,"Good"
"no sugar pineapple drink",113.2392,"Good"
"unsweetened chocolate drink",132.1823,"Good"
"celery",167.102,"Good"
"hot pepper",181.3133,"Good"
"pastry wrappers",205.6968,"Good"
"apple cider",0,"3"
"pretzels",19.03892,"Good"
"polvoron",42.33873,"Good"
"shabu sauce",74.35963,"Good"
"whole grain oat and wheat cereal",96.08168,"Good"
"green peas",125.3162,"Good"
"icecream",160.6568,"Good"
"mangosteen",0,"4"
"basil",19.64426,"Good"
"beef ribeye",44.28281,"Good"
"fish",66.13264,"Good"
"chorizo",82.16172,"Good"
"chayote",104.9747,"Good"
"corn coffee",128.5213,"Good"
"cheese spread",150.2363,"Good"
"hot sauce",179.5844,"Good"
"cola",204.8154,"Good"
"palabok",233.0734,"Good"
"vanilla flavored oat mix",260.6393,"Good"
"original instant coffee",278.7949,"Good"
"sweatened thick creamer",301.9557,"Good"
"conditioner",324.5062,"Good"
"baby wash",344.128,"Good"
"sponge",365.3357,"Good"
"special oatmeals",390.5716,"Good"
"bambooshoot",419.8414,"Good"
"cookies",442.7571,"Good"
"tissue",0,"5"
"yogurt drink with mixed fruits",39.89022,"Good"
"brownies",56.6468,"Good"
"beef loaf",80.67039,"Good"
"turmeric ginger powdered drink",107.7293,"Good"
"odong",137.569,"Good"
"orange drink",157.9605,"Good"
"beans",185.7341,"Good"
"hot chili sauce",203.216,"Good"
"mushrooms",218.6396,"Good"
"gums",232.7228,"Good"
"rice stick",255.1661,"Good"
"tea",276.457,"Good"
"bell pepper",0,"6"
"alugbate",11.28804,"Good"
"yogurt juice",25.54866,"Good"
"liver spread",62.77851,"Good"
"quickmelt cheese",84.38092,"Good"
"chocolate milk drink",104.5333,"Good"
"original instant coffee",122.0165,"Good"
"insect killer",153.7092,"Good"
"kitchen towel",168.7637,"Good"
"green lemon",0,"7"
"ampalaya",11.8941,"Good"
"hot sauce",58.11716,"Good"
"red wine",84.80689,"Good"
"sweatened condensed milk",105.3181,"Good"
"beans",134.6745,"Good"
"skewers",164.1437,"Good"
"pain relief oil",180.6506,"Good"
"beauty soap",0,"8"
"pantyliner",16.73559,"Good"
"fabric conditioner",35.91866,"Good"
"white coffee mix",63.2188,"Good"
