Customer Number,Sort Time(ns)
1,52900
2,67700
3,51900
4,76900
5,49300
6,52400
7,49900
8,93200
9,49400
10,49800
11,73100
12,73700
13,50700
14,50000
15,115600
16,48300
17,50600
18,81500
19,50600
20,68600
21,177100
22,145800
23,166600
24,244800
25,221900
26,315400
27,133500
28,155000
29,235000
30,142900
31,263900
32,146200
33,148000
34,154300
35,134300
36,156300
37,139900
38,136000
39,254400
40,225300
41,242900
42,229800
43,293100
44,252900
45,205500
46,121500
47,251200
48,151600
49,278500
50,137600
51,124100
52,191900
53,122700
54,218000
55,229700
56,221600
57,120700
58,241400
59,246000
60,160300
61,247500
62,145800
63,122300
64,164500
65,127000
66,240800
67,205000
68,122000
69,185500
70,196400
71,116400
72,202000
73,268700
74,187200
75,151400
76,205300
77,253200
78,140800
79,246600
80,255300
81,138100
82,112400
83,157600
84,136300
85,293400
86,186900
87,263000
88,217900
89,266400
90,127800
91,164800
92,239400
93,156900
94,121800
95,151400
96,208000
97,123100
98,121900
99,204200
