Customer Number,Sort Time(ns)
1,118100
2,84400
3,127100
4,127900
5,82200
6,98000
7,108800
8,96600
9,92200
10,62900
11,99000
12,100700
13,91200
14,90500
15,44800
16,98300
17,88700
18,201600
19,88800
20,98600
21,130500
22,158100
23,1914800
24,159800
25,126400
26,1052600
27,95000
28,1619700
29,1940200
30,2085300
31,109700
32,112800
33,119400
34,199200
35,117300
36,112300
37,106700
38,1937500
39,106100
40,118900
41,4531500
42,4415400
43,4212700
44,3414500
45,97000
46,4474100
47,4676600
48,135800
49,4523400
50,131400
51,4420900
52,4472900
53,4519200
54,4577400
55,2896100
56,4499900
57,160300
58,121800
59,4376900
60,4304700
61,6176600
62,178000
63,6255600
64,147600
65,3588800
66,6590700
67,6429000
68,6388800
69,6136500
70,199900
71,146300
72,6094400
73,6541000
74,3900000
75,6129100
76,6291300
77,179200
78,161900
79,6035900
80,145700
81,6456100
82,6229000
83,4540300
84,5928300
85,6033200
86,5868400
87,5980800
88,5722300
89,6548900
90,6063700
91,3846500
92,4273500
93,5759200
94,5947500
95,183100
96,6233000
97,6040400
98,6076000
99,6312300
