Item,Cluster
air purifier,0
bathroom tissue,0
floor wax,0
rodent bait,0
all purpose cleaner,1
liquid detergent,1
pet shampoo,1
all purpose cream,2
quickcook oatmeal,2
tabasco sauce,2
almond milk,3
vanilla cake bar,3
alugbate,4
apple cider,4
banana,4
egg,4
pechay,4
aluminum tray,5
men shampoo,5
moisturizer,5
ampalaya,6
carbonated drink,6
apple flavored drink,7
apple green tea drink,7
baby wipes,8
paper cups,8
shave,8
bacon,9
beef,9
basil,10
batter mix,10
macaroni,10
sampalok mix,10
basil leaves,11
burdock,11
cucumber,11
grind meat,11
wine,11
beancurd,12
fruit drink,12
bell pepper,13
garlic,13
shrimp,13
yansoy,13
bottled water,14
red wine,14
bread stick,15
choco pie,15
low calorie beer,15
beef siomai frozen,16
brown rice,16
icecream,16
meat,16
butter,17
hotdog,17
water,17
butter toasted bread,18
classic decaf coffee,18
cup noodles,18
bihon,19
canton,19
car sweetener,20
rag,20
rosquillos,20
avocado,21
cauliflower,21
pears,21
cay-cay,22
salt,22
charcoal,23
chicken sandwich,23
fries,23
papaya,23
chayote,24
cookies,24
frozen squid,24
patty,24
cabbage,25
cheddar spread,25
cumin,25
margarine,25
thick slice bread,25
chicharon,26
dried mangoes,26
green lemon,26
chicken,27
coconut,27
lettuce,27
salad,27
chili powder,28
pickled mango,28
chocolate cake bar,29
ketchup,29
multi grain drink mix,29
soju,29
coriander,30
dairy cream,30
tacchino,30
beer,31
cranberry juice,31
flavored beer,31
mandarin oranges,31
quickmelt cheese,31
battery,32
curry,32
potato chips,32
special snacks,32
curry sauce,33
honey,33
korean sauce,33
vinegar,33
air freshener,34
baby cologne,34
brushes,34
diaper,34
dried fish,35
grapes,35
lemon,35
margarita,35
blueberry jam,36
canned tuna,36
chocolate,36
crackers,36
disinfectant spray,36
dried kelp,36
seaweed,36
durian,37
onion,37
sweet golden melon,37
body lotion,38
conditioner,38
fabric conditioner,38
aluminum foil,39
facial tissue,39
feminine care,39
insect killer,39
cheese,40
french beans,40
pizza crust,40
cheese block,41
fresh milk,41
hazelnut with cocoa spread,41
pandesal,41
vanilla flavored oat mix,41
fruits and nuts oats,42
marshmallows,42
soya oil,42
thousand island dressing,42
blueberries,43
corn grits,43
gouda,43
molo wrapper,43
cheese spread,44
green tea drink,44
gums,45
strawberry jam,45
coffee,46
corn chip,46
iced tea,46
corn coffee,47
japanese rich drink,47
tocino mix,47
curry paste,48
jellies,48
sesame oil,48
shampoo,48
broccoli,49
kimchi,49
mayonnaise,49
salsa,49
kimchi sauce,50
sports drink,50
tamarind,50
lasagna,51
macaroni cheese,51
yogurt flavored drink with nata de coco,51
brownies,52
chicken spread,52
decaf coffee,52
light gin,52
burger patties,53
lime juice,53
pasta sauce,53
liquid seasoning,54
peach drink,54
pork and beans,54
salted black beans,54
all-purpose flour,55
chocolate milk drink for adult,55
cream cheese spread,55
liver spread,55
sweatened condensed milk,55
liquid washing,56
local snacks,56
snacks,56
cheese sticks,57
hot pepper,57
lumpia wrapper,57
roasted garlic,57
caramel flavored milk tea,58
macapuno,58
tomato sauce,58
mamon,59
original instant coffee,59
yogurt drink with strawberry,59
bagoong,60
mango drink concentrate,60
whole grain oats,60
mango juice drink,61
tequila,61
tuna mayo spread,61
cream,62
massage oil,62
piaya,62
apple juice,63
flakes,63
marinade mix,63
meat loaf,63
sports drink citrus flavor,63
beef loaf,64
blended juice drinks,64
meat sauce,64
soy drink milk,64
baby powder,65
hair styling wax,65
menstrual pads,65
pet food,65
whitening soap,65
biscuits,66
body wash,66
brooms,66
camote,66
cigarette,66
corned beef,66
crab sticks,66
dustbin,66
juice drink,66
microwavable plastic containers,66
milk cream,66
milk tea,66
mosquito net,66
otap,66
paper plates,66
pasta,66
quekiam,66
scrubs,66
skimmed milk,66
sotanghon,66
sprite,66
toilet papers,66
tomato,66
unsweetened chocolate drink,66
cookie mix,67
fruit juice,67
milk,67
corn starch,68
fusilli,68
misua,68
pancake syrup,68
mozzarella,69
zucchini,69
banana chips,70
coffee mix,70
muffin,70
spaghetti pack,70
chips,71
mushrooms,71
soy sauce,71
junk food,72
noodles,72
powder,72
salad dressing,72
unagi,72
bangus in olive oil,73
broth cube,73
instant noodles,73
olive oil,73
canned pineapple,74
coconut oil,74
lychees,74
olives,74
cookie chips,75
no sugar pineapple drink,75
orange drink,75
cloves,76
oranges,76
donut,77
facial wash,77
paper tray,77
plastic spoon and fork,77
bambooshoot,78
korean condiments,78
nutella,78
pocky,78
rice stick,78
polvoron,79
special potato chips,79
cheese cake,80
mouth wash,80
popcorn,80
ramen,80
powdered chocolate milk drink,81
tropical fruit cocktail,81
caesar dressing,82
chocolate tablets,82
powdered detergent,82
powdered fruit flavored drinks,82
canned mushroom,83
chicken flakes,83
powdered juice drink,83
ready made chocolate beverage,83
oyster sauce,84
peanuts,84
rigatoni,84
canned beer,85
sardines,85
sardines in olive oil,85
soya milk,85
sweatened thick creamer,85
apple juice drink,86
cream roll,86
prune juice,86
seasoning granules,86
canned tomatoes,87
nori,87
oatmeal,87
potato strings,87
shabu sauce,87
bleach,88
pantyliner,88
skewers,88
bread crumbs,89
powdered milk drink,89
sliced bread,89
detox powder,90
floor cleaner,90
hair conditioner,90
soap,90
spaghetti,91
sweet chili sauce,91
wafers,91
pretzels,92
spaghetti sauce,92
special oatmeals,92
chocolate flavored oat mix,93
coffee jelly,93
sparkling water,93
spirit drink,93
tuna spread,93
cornflakes cereal,94
mixed fruit,94
peanut butter,94
sports drink grapes flavor,94
hotcake mix,95
orange juice drink,95
sports drink lime flavor,95
canned softdrink,96
chocolate soy milk drink,96
green tea latte drink,96
sports drink tropical fruit,96
vegetable oil,96
cajun seasoning,97
squid balls,97
breakfast cereal,98
instant coffee,98
rubbing alcohol,98
strawberry and yogurt granola,98
tikoy,98
kiwi,99
red onion,99
string beans,99
white cheese,99
beef ribeye,100
sugar,100
mocha latte,101
pepsi,101
sugar free oatmeal,101
radish,102
refreshment drink,102
sugarbeets,102
eggplant,103
ginger,103
salad area,103
sword pepper,103
yogurt juice,103
black roast coffee,104
cotton buds,104
tissue,104
toothbrush,104
apples,105
low sugar milk,105
tocino,105
umami seasoning,105
white pepper,105
dustpan,106
rejuvenating serum,106
toilet brush,106
chocolate flavored milk tea,107
garlic pack,107
toothpaste,107
pineapple juice drink,108
puto cheese,108
turmeric corn coffee,108
yogurt drink with mango,108
deodorant,109
q tips,109
trash bags,109
vitamins,109
evaporated creamer,110
sparkling wine,110
vodka,110
wheat sesame,110
berry special granola,111
hopia,111
wheat crd oat,111
pineapple slice,112
turmeric ginger powdered drink,112
wheat rld oats,112
white coffee mix,112
chiffon choco,113
coke,113
ham,113
sweetened mango puree,113
whole grain oat and wheat cereal,113
plastic plates,114
slippers,114
women cologne,114
apple grape juice,115
yogurt drink with mixed fruits,115
kale,116
okra,116
ponkan,116
root beer,116
yogurt milk drink,116
