"chicken spread",0,"1"
"wheat sesame",14.57751,"Good"
"deodorant",49.12042,"Good"
"air freshener",69.96821,"Good"
"yogurt juice",104.8642,"Good"
"cloves",127.7567,"Good"
"bell pepper",145.9167,"Good"
"onion",158.593,"Good"
"choco pie",187.4276,"Good"
"potato chips",200.9518,"Good"
"milk tea",220.6335,"Good"
"nutella",241.2474,"Good"
"seaweed",253.7101,"Good"
"soy sauce",0,"2"
"mayonnaise",12.44722,"Good"
"rice stick",34.2194,"Good"
"choco pie",59.00452,"Good"
"cocoa powder",81.91658,"Good"
"misua",98.19466,"Good"
"yogurt juice",114.2307,"Good"
"wheat sesame",137.8989,"Good"
"cheddar spread",152.7193,"Good"
"tacchino",180.2639,"Good"
"fries",199.9518,"Good"
"garlic pack",221.7915,"Good"
"grapes",248.1114,"Good"
"frozen bangus",278.7177,"Good"
"bell pepper",307.373,"Good"
"watermelon",323.2152,"Good"
"whitening lotion",355.2884,"Good"
"mosquito net",371.3689,"Good"
"pet shampoo",395.7504,"Good"
"air freshener",406.7279,"Good"
"liquid detergent",422.9133,"Good"
"liquid detergent",0,"3"
"breakfast cereal",24.73973,"Good"
"muffin",45.49523,"Good"
"imported drinks",71.101,"Good"
"chicken cutlet",97.06511,"Good"
"frozen bangus",116.2447,"Good"
"onion",136.0298,"Good"
"rejuvenating serum",0,"4"
"pet shampoo",18.92679,"Good"
"hazelnut with cocoa spread",52.16866,"Good"
"oyster sauce",71.23322,"Good"
"chocolate cake bar",90.29142,"Good"
"prune juice",109.2278,"Good"
"grapes",132.8904,"Good"
"frozen bangus",160.5444,"Good"
"cayenne pepper",179.4747,"Good"
"cocoa powder",204.4706,"Good"
"canned ham",227.8998,"Good"
"mushrooms",243.1856,"Good"
"milk tea",264.4899,"Good"
"cayenne pepper",0,"5"
"sword pepper",28.50005,"Good"
"cloves",57.49877,"Good"
"white cheese",82.6194,"Good"
"baby wipes",121.7963,"Good"
"whitening lotion",135.7864,"Good"
"mosquito net",152.9057,"Good"
"air freshener",177.9024,"Good"
"toilet papers",194.4092,"Good"
"puto cheese",227.6358,"Good"
"prune juice",246.2024,"Good"
"whole grain oats",260.4786,"Good"
"canned ham",275.8272,"Good"
"imported drinks",295.2118,"Good"
"mushrooms",314.0996,"Good"
"puto cheese",0,"6"
"prune juice",16.37916,"Good"
"shampoo",33.62492,"Good"
"deodorant",60.67853,"Good"
"paper plates",77.92609,"Good"
"dishwashing liquid",94.07579,"Good"
"toilet papers",110.1065,"Good"
"watermelon",141.5276,"Good"
"cayenne pepper",163.2447,"Good"
"tacchino",185.0839,"Good"
"chicken cutlet",200.138,"Good"
"sword pepper",0,"7"
"watermelon",14.06813,"Good"
"blueberries",26.03219,"Good"
"cayenne pepper",52.33781,"Good"
"yogurt juice",76.85435,"Good"
"mosquito net",112.2743,"Good"
"baby wipes",128.4118,"Good"
"pet shampoo",150.9088,"Good"
"rejuvenating serum",170.8157,"Good"
"dishwashing liquid",191.3968,"Good"
"pain relief oil",214.0098,"Good"
"puto cheese",248.4116,"Good"
"chocolate cake bar",263.388,"Good"
"misua",286.1956,"Good"
"oyster sauce",299.1133,"Good"
"wheat sesame",325.461,"Good"
"chicken spread",339.967,"Good"
"caramel latte mix",356.4148,"Good"
"nori",375.3153,"Good"
"imported drinks",388.7234,"Good"
"seaweed",0,"8"
"deodorant",31.29659,"Good"
"baby wipes",45.15243,"Good"
"pet shampoo",67.23878,"Good"
"toilet papers",82.90524,"Good"
"cloves",122.2092,"Good"
"hazelnut with cocoa spread",0,"9"
"misua",22.32216,"Good"
"chicken spread",47.31703,"Good"
"mosquito net",85.15946,"Good"
"air freshener",107.2524,"Good"
"imported drinks",135.8948,"Good"
"rice stick",151.3133,"Good"
"nori",166.6166,"Good"
"yogurt juice",181.4279,"Good"
"choco pie",202.6748,"Good"
"blueberries",226.943,"Good"
"onion",250.8545,"Good"
"frozen bangus",268.978,"Good"
"cloves",0,"10"
"whitening lotion",39.67903,"Good"
"cotton buds",67.02134,"Good"
"chicken spread",111.1788,"Good"
"vanilla cake bar",134.7168,"Good"
"breakfast cereal",155.2463,"Good"
"nori",178.1892,"Good"
"canned ham",206.939,"Good"
"breakfast cereal",0,"11"
"imported drinks",25.69985,"Good"
"rice stick",48.39463,"Good"
"mushrooms",94.64256,"Good"
"ramen",123.1632,"Good"
"white cheese",161.9955,"Good"
"potato chips",0,"12"
"shampoo",51.97898,"Good"
"seaweed",83.54377,"Good"
"deodorant",120.0336,"Good"
"pet shampoo",163.0427,"Good"
"air freshener",181.6422,"Good"
"cloves",0,"13"
"garlic pack",15.10964,"Good"
"chicken cutlet",40.39025,"Good"
"grapes",96.20776,"Good"
"imported drinks",120.0773,"Good"
"mushrooms",147.5705,"Good"
"misua",194.7837,"Good"
"puto cheese",216.6156,"Good"
"hazelnut with cocoa spread",259.0084,"Good"
"breakfast cereal",301.7259,"Good"
"whitening lotion",340.6305,"Good"
"pain relief oil",373.3099,"Good"
"toilet papers",407.6764,"Good"
"deodorant",461.2698,"Good"
"black roast coffee",0,"14"
"wheat sesame",37.95361,"Good"
"vanilla cake bar",70.02919,"Good"
"chicken cutlet",120.0765,"Good"
"bell pepper",143.8943,"Good"
"toilet papers",0,"15"
"oyster sauce",56.64274,"Good"
"wheat sesame",86.63074,"Good"
"misua",116.7263,"Good"
"black roast coffee",145.1196,"Good"
"nutella",164.9114,"Good"
"nori",186.4357,"Good"
"canned ham",208.2801,"Good"
"soy sauce",0,"16"
"caramel latte mix",21.97104,"Good"
"breakfast cereal",36.80713,"Good"
"liquid detergent",58.36885,"Good"
"dishwashing liquid",74.22733,"Good"
"mosquito net",97.04147,"Good"
"choco pie",121.0736,"Good"
"nutella",141.1931,"Good"
"yogurt juice",0,"17"
"bell pepper",15.41495,"Good"
"vanilla cake bar",43.45312,"Good"
"mosquito net",79.24908,"Good"
"pain relief oil",97.4665,"Good"
"cayenne pepper",0,"18"
"cloves",13.83266,"Good"
"yogurt juice",37.65284,"Good"
"sword pepper",54.17964,"Good"
"onion",76.88524,"Good"
"shampoo",114.7216,"Good"
"chocolate cake bar",151.1178,"Good"
"black roast coffee",167.5036,"Good"
"muffin",184.8596,"Good"
"soy sauce",203.7972,"Good"
"oyster sauce",218.6102,"Good"
"imported drinks",250.7328,"Good"
"choco pie",273.639,"Good"
"ramen",293.512,"Good"
"potato chips",311.3251,"Good"
"milk tea",330.008,"Good"
"choco pie",0,"19"
"canned ham",27.46901,"Good"
"imported drinks",52.84022,"Good"
"cotton buds",69.87986,"Good"
"misua",86.19434,"Good"
"mushrooms",105.4097,"Good"
"seaweed",122.7962,"Good"
"milk tea",143.6529,"Good"
"watermelon",162.3402,"Good"
"cayenne pepper",207.2944,"Good"
"blueberries",236.1643,"Good"
"bell pepper",252.9674,"Good"
"garlic pack",282.5149,"Good"
"rejuvenating serum",321.5689,"Good"
"toilet papers",343.6202,"Good"
"breakfast cereal",373.169,"Good"
"cheddar spread",392.0801,"Good"
"soy milk drink strawberry flavor",415.4917,"Good"
"whole grain oats",429.8934,"Good"
"rejuvenating serum",0,"20"
"breakfast cereal",32.98482,"Good"
"puto cheese",51.44402,"Good"
"caramel latte mix",66.50433,"Good"
"seaweed",86.53795,"Good"
"baby wipes",0,"21"
"pain relief oil",17.10134,"Good"
"liquid detergent",35.1992,"Good"
"cotton buds",53.7848,"Good"
"facial wash",70.90137,"Good"
"misua",100.3123,"Good"
"rice stick",112.0555,"Good"
"yogurt juice",134.6849,"Good"
"imported drinks",150.2733,"Good"
"nori",166.1815,"Good"
"potato chips",188.5371,"Good"
"milk tea",208.6436,"Good"
"white cheese",231.8222,"Good"
"frozen bangus",255.3623,"Good"
"onion",273.5852,"Good"
"bell pepper",288.6965,"Good"
"vanilla cake bar",311.9861,"Good"
"caramel latte mix",327.4748,"Good"
"puto cheese",342.0578,"Good"
"muffin",372.7935,"Good"
"whole grain oats",392.1224,"Good"
"paper plates",0,"22"
"dishwashing liquid",16.2003,"Good"
"toilet papers",32.91221,"Good"
"black roast coffee",60.83501,"Good"
"hazelnut with cocoa spread",78.72264,"Good"
"prune juice",99.45869,"Good"
"chicken spread",120.5184,"Good"
"cloves",135.9125,"Good"
"white cheese",159.6614,"Good"
"onion",178.7913,"Good"
"sword pepper",200.7515,"Good"
"milk tea",220.2811,"Good"
"canned ham",240.9163,"Good"
"shampoo",0,"23"
"chocolate cake bar",17.71339,"Good"
"imported drinks",34.72137,"Good"
"rice stick",48.4607,"Good"
"mayonnaise",70.24406,"Good"
"pain relief oil",99.19612,"Good"
"dishwashing liquid",116.9278,"Good"
"air freshener",131.7556,"Good"
"caramel latte mix",158.2347,"Good"
"hazelnut with cocoa spread",179.1216,"Good"
"muffin",196.0298,"Good"
"wheat sesame",216.4305,"Good"
"soy milk drink strawberry flavor",238.8745,"Good"
"white cheese",271.0211,"Good"
"watermelon",288.083,"Good"
"rice stick",0,"24"
"potato chips",24.03665,"Good"
"choco pie",38.35302,"Good"
"mushrooms",62.87442,"Good"
"nutella",86.1109,"Good"
"cloves",116.8841,"Good"
"watermelon",159.237,"Good"
"vanilla cake bar",193.6753,"Good"
"puto cheese",208.2832,"Good"
"wheat sesame",225.1546,"Good"
"soy milk drink strawberry flavor",247.4843,"Good"
"grapes",0,"25"
"fries",25.23093,"Good"
"blueberries",50.71759,"Good"
"imported drinks",68.57181,"Good"
"choco pie",90.54526,"Good"
"canned ham",108.8819,"Good"
"mosquito net",139.3355,"Good"
"oyster sauce",0,"26"
"cocoa powder",19.88916,"Good"
"imported drinks",34.95603,"Good"
"yogurt juice",49.31218,"Good"
"nori",63.53179,"Good"
"chocolate cake bar",78.83347,"Good"
"soy sauce",98.98337,"Good"
"white cheese",122.1672,"Good"
"garlic pack",146.6109,"Good"
