"prune juice",0,"1"
"paper plates",29.04755,"Good"
"toilet papers",40.15902,"Good"
"pet shampoo",55.20673,"Good"
"liquid detergent",70.96737,"Good"
"tacchino",112.8098,"Good"
"cloves",138.5569,"Good"
"bell pepper",160.0885,"Good"
"grapes",188.5238,"Good"
"white cheese",212.2417,"Good"
"blueberries",235.0403,"Good"
"choco pie",266.3253,"Good"
"cocoa powder",291.9014,"Good"
"imported drinks",0,"2"
"mayonnaise",22.35361,"Good"
"choco pie",45.25809,"Good"
"oyster sauce",67.489,"Good"
"nutella",86.61299,"Good"
"potato chips",108.5469,"Good"
"shampoo",132.3545,"Good"
"ramen",150.4509,"Good"
"onion",174.7767,"Good"
"white cheese",195.0428,"Good"
"cloves",221.8668,"Good"
"hazelnut with cocoa spread",241.524,"Good"
"cheddar spread",260.5927,"Good"
"soy milk drink strawberry flavor",0,"3"
"muffin",18.58646,"Good"
"caramel latte mix",36.75951,"Good"
"vanilla cake bar",54.94563,"Good"
"chicken spread",73.77346,"Good"
"paper plates",109.1366,"Good"
"mushrooms",135.7575,"Good"
"cocoa powder",160.7415,"Good"
"onion",186.9747,"Good"
"bell pepper",205.3816,"Good"
"cayenne pepper",229.0843,"Good"
"grapes",254.6918,"Good"
"onion",0,"4"
"frozen bangus",22.12602,"Good"
"wheat sesame",49.27234,"Good"
"oyster sauce",78.99972,"Good"
"misua",96.87491,"Good"
"air freshener",132.8472,"Good"
"paper plates",151.8979,"Good"
"toilet papers",165.9336,"Good"
"nori",207.7489,"Good"
"seaweed",231.485,"Good"
"imported drinks",256.4542,"Good"
"choco pie",282.0175,"Good"
"bell pepper",0,"5"
"cayenne pepper",29.23249,"Good"
"garlic pack",40.84523,"Good"
"deodorant",82.4399,"Good"
"paper plates",102.4844,"Good"
"misua",135.6637,"Good"
"potato chips",159.0844,"Good"
"chocolate cake bar",180.3036,"Good"
"rice stick",199.9765,"Good"
"whole grain oats",221.8202,"Good"
"muffin",243.7432,"Good"
"breakfast cereal",0,"6"
"wheat sesame",18.27484,"Good"
"hazelnut with cocoa spread",37.0888,"Good"
"pain relief oil",72.74973,"Good"
"toilet papers",89.11165,"Good"
"ramen",118.2142,"Good"
"potato chips",139.9613,"Good"
"seaweed",160.8834,"Good"
"yogurt juice",181.7736,"Good"
"white cheese",204.5561,"Good"
"cloves",230.1475,"Good"
"tacchino",254.4896,"Good"
"grapes",271.9927,"Good"
"fries",294.7373,"Good"
"prune juice",0,"7"
"black roast coffee",17.33606,"Good"
"cheddar spread",34.58908,"Good"
"wheat sesame",51.21496,"Good"
"blueberries",76.58512,"Good"
"whitening lotion",109.7939,"Good"
"air freshener",132.0247,"Good"
"facial wash",156.3672,"Good"
"paper plates",177.5708,"Good"
"imported drinks",214.3888,"Good"
"rice stick",231.5473,"Good"
"canned ham",252.7499,"Good"
"oyster sauce",0,"8"
"potato chips",24.23137,"Good"
"soy sauce",48.03889,"Good"
"cocoa powder",72.14567,"Good"
"shampoo",89.7216,"Good"
"vanilla cake bar",114.1558,"Good"
"black roast coffee",131.1084,"Good"
"rejuvenating serum",166.0697,"Good"
"grapes",198.8456,"Good"
"white cheese",220.3772,"Good"
"tacchino",237.2235,"Good"
"sword pepper",256.9041,"Good"
"frozen bangus",286.2581,"Good"
"milk tea",0,"9"
"nori",13.28934,"Good"
"bell pepper",38.97728,"Good"
"white cheese",58.41362,"Good"
"fries",77.22388,"Good"
"pet shampoo",111.6525,"Good"
"soy milk drink strawberry flavor",138.5842,"Good"
"prune juice",157.2888,"Good"
"vanilla cake bar",177.8667,"Good"
"wheat sesame",196.9164,"Good"
"baby wipes",0,"10"
"deodorant",15.80618,"Good"
"mosquito net",33.04511,"Good"
"chocolate cake bar",75.59334,"Good"
"black roast coffee",92.54891,"Good"
"canned ham",110.4221,"Good"
"mushrooms",127.3595,"Good"
"milk tea",150.4774,"Good"
"bell pepper",175.758,"Good"
"onion",193.5417,"Good"
"vanilla cake bar",0,"11"
"breakfast cereal",22.99498,"Good"
"misua",54.62928,"Good"
"caramel latte mix",89.0409,"Good"
"mayonnaise",110.6466,"Good"
"ramen",143.5125,"Good"
"deodorant",176.8959,"Good"
"liquid detergent",206.5481,"Good"
"rejuvenating serum",232.1238,"Good"
"air freshener",254.9051,"Good"
"wheat sesame",0,"12"
"soy sauce",21.73036,"Good"
"mayonnaise",48.38137,"Good"
"soy milk drink strawberry flavor",71.861,"Good"
"black roast coffee",94.09232,"Good"
"muffin",113.8411,"Good"
"watermelon",149.2061,"Good"
"mosquito net",188.5396,"Good"
"cocoa powder",224.1092,"Good"
"canned ham",252.4948,"Good"
"rice stick",0,"13"
"mayonnaise",21.1041,"Good"
"soy sauce",38.38607,"Good"
"milk tea",60.64893,"Good"
"toilet papers",91.96721,"Good"
"watermelon",125.7857,"Good"
"onion",148.1334,"Good"
"whole grain oats",172.4583,"Good"
"cheddar spread",192.4105,"Good"
"muffin",212.3826,"Good"
"white cheese",0,"14"
"chicken cutlet",17.05509,"Good"
"fries",33.37048,"Good"
"mayonnaise",57.16443,"Good"
"breakfast cereal",77.53773,"Good"
"soy milk drink strawberry flavor",94.19365,"Good"
"puto cheese",114.2536,"Good"
"rejuvenating serum",146.1987,"Good"
"air freshener",166.1686,"Good"
"liquid detergent",183.9351,"Good"
"facial wash",207.9655,"Good"
"seaweed",235.727,"Good"
"ramen",257.8967,"Good"
"breakfast cereal",0,"15"
"caramel latte mix",17.03656,"Good"
"whole grain oats",34.6022,"Good"
"soy sauce",58.41191,"Good"
"mayonnaise",83.78197,"Good"
"wheat sesame",101.6717,"Good"
"bell pepper",121.1063,"Good"
"whitening lotion",164.9554,"Good"
"seaweed",196.7771,"Good"
"cocoa powder",220.1828,"Good"
"nori",238.6072,"Good"
"canned ham",264.2801,"Good"
"milk tea",287.6545,"Good"
"watermelon",0,"16"
"tacchino",21.1041,"Good"
"sword pepper",40.21253,"Good"
"bell pepper",56.8374,"Good"
"shampoo",81.58351,"Good"
"milk tea",97.88009,"Good"
"rice stick",115.1151,"Good"
"pet shampoo",145.7949,"Good"
"toilet papers",163.2834,"Good"
"paper plates",177.3186,"Good"
"puto cheese",211.9848,"Good"
"chicken spread",233.2046,"Good"
"prune juice",255.3594,"Good"
"wheat sesame",271.8084,"Good"
"seaweed",0,"17"
"nori",23.60472,"Good"
"potato chips",47.42871,"Good"
"canned ham",72.79888,"Good"
"imported drinks",96.60731,"Good"
"pet shampoo",135.392,"Good"
"baby wipes",160.6725,"Good"
"air freshener",186.9048,"Good"
"pain relief oil",206.8595,"Good"
"breakfast cereal",239.963,"Good"
"wheat sesame",259.3335,"Good"
"blueberries",288.0433,"Good"
"shampoo",0,"18"
"baby wipes",17.65048,"Good"
"tacchino",56.75173,"Good"
"grapes",78.06013,"Good"
"sword pepper",94.99833,"Good"
"blueberries",112.2484,"Good"
"white cheese",132.6042,"Good"
"nori",156.9306,"Good"
"rice stick",174.7173,"Good"
"oyster sauce",193.4354,"Good"
"mushrooms",211.218,"Good"
"cheddar spread",232.1428,"Good"
"pet shampoo",0,"19"
"oyster sauce",30.48289,"Good"
"rice stick",48.06161,"Good"
"misua",61.25147,"Good"
"canned ham",86.29324,"Good"
"nutella",103.5587,"Good"
"garlic pack",131.7548,"Good"
"grapes",159.2049,"Good"
"chicken cutlet",183.8583,"Good"
"white cheese",203.516,"Good"
"blueberries",225.7056,"Good"
"bell pepper",244.4095,"Good"
"puto cheese",279.7325,"Good"
"hazelnut with cocoa spread",0,"20"
"whole grain oats",22.33798,"Good"
"puto cheese",42.11778,"Good"
"caramel latte mix",59.66417,"Good"
"black roast coffee",76.29005,"Good"
"tacchino",101.9875,"Good"
"grapes",121.096,"Good"
"cotton buds",157.7426,"Good"
"deodorant",176.4647,"Good"
"seaweed",206.7583,"Good"
"mushrooms",226.3978,"Good"
"cotton buds",0,"21"
"shampoo",17.05107,"Good"
"misua",34.30336,"Good"
"ramen",55.31641,"Good"
"cocoa powder",73.83635,"Good"
"facial wash",101.4093,"Good"
"rejuvenating serum",118.0332,"Good"
"whitening lotion",135.1404,"Good"
"mosquito net",153.2363,"Good"
