bleach,0,1
paper cups,17.41944,Good
baby wipes,36.38877,Good
dustpan,54.03586,Good
plastic plates,76.6811,Good
beef siomai frozen,116.9892,Good
chicken,137.0149,Good
cumin,157.4883,Good
basil leaves,172.9762,Good
root beer,201.1312,Good
salad,216.954,Good
fruit drink,247.1081,Good
nori,269.158,Good
shabu sauce,281.6414,Good
sotanghon,318.6283,Good
canned pineapple,338.4981,Good
sparkling water,357.7037,Good
toothpaste,0,2
hair conditioner,18.42085,Good
garlic pack,55.06826,Good
cabbage,83.7105,Good
french beans,98.33997,Good
umami seasoning,128.9678,Good
coconut oil,154.459,Good
puto cheese,177.9478,Good
red wine,202.1037,Good
creamy white coffee,223.9265,Good
sliced bread,239.4107,Good
carbonated drink,0,3
longganisa,22.0715,Good
guava,44.71418,Good
basil leaves,66.03145,Good
odong,99.00631,Good
liquid seasoning,118.9826,Good
grapes drink,142.1689,Good
powdered detergent,163.9885,Good
corn chip,182.8177,Good
salsa,208.2881,Good
otap,235.7797,Good
skewers,253.9358,Good
toilet brush,275.0109,Good
pot holder,287.4963,Good
ketchup,0,4
wine,22.40063,Good
pechay,49.71452,Good
mozzarella,70.02795,Good
apples,87.0041,Good
body cream,128.3127,Good
mosquito net,147.1354,Good
rag,162.6245,Good
brushes,190.7775,Good
facial tissue,210.6041,Good
aluminum tray,224.754,Good
pot holder,249.9113,Good
tuna mayo spread,295.3906,Good
tocino mix,314.9268,Good
white bread,335.7879,Good
all-purpose flour,360.6967,Good
tropical fruit cocktail,385.6126,Good
wheat sesame,414.8886,Good
canola oil,444.837,Good
q tips,0,5
quekiam,41.75877,Good
sotanghon,72.40321,Good
bihon,84.05399,Good
cay-cay,118.0267,Good
whiskey,142.7989,Good
sweetened mango puree,162.9558,Good
curry sauce,188.7762,Good
crackers,207.2639,Good
canned pineapple,0,6
apple green tea drink,20.75278,Good
unsweetened chocolate drink,34.06119,Good
wheat crd oat,59.69061,Good
skimmed milk,83.00108,Good
liquid seasoning,99.98322,Good
watermelon,138.6239,Good
rosquillos,176.1108,Good
lettuce,0,7
fresh milk,16.74677,Good
blueberries,36.06301,Good
potato,57.37268,Good
whole grain oats,82.68136,Good
chocolate cake bar,104.9939,Good
yogurt drink with strawberry,122.6427,Good
