white cheese,0,1
yogurt juice,13.91681,Good
onion,33.05262,Good
blueberries,55.21149,Good
garlic pack,78.64367,Good
cotton buds,111.8987,Good
liquid detergent,129.3055,Good
facial wash,152.2784,Good
air freshener,173.328,Good
rice stick,201.964,Good
misua,213.9307,Good
chocolate cake bar,231.0981,Good
nutella,251.1505,Good
imported drinks,271.0436,Good
oyster sauce,287.5777,Good
muffin,307.1331,Good
whole grain oats,326.6853,Good
wheat sesame,343.8871,Good
chicken spread,359.7486,Good
liquid detergent,0,2
toilet papers,19.43537,Good
pain relief oil,36.7598,Good
cotton buds,52.08863,Good
chocolate cake bar,87.07906,Good
mushrooms,108.4091,Good
nutella,130.4046,Good
choco pie,155.5776,Good
cocoa powder,181.0804,Good
soy sauce,203.2549,Good
potato chips,230.4314,Good
seaweed,253.2725,Good
nori,275.1333,Good
imported drinks,289.6497,Good
canned ham,310.8834,Good
breakfast cereal,326.7438,Good
hazelnut with cocoa spread,349.9915,Good
cayenne pepper,368.5377,Good
sword pepper,398.8347,Good
fries,424.7711,Good
cheddar spread,0,3
oyster sauce,27.11248,Good
hazelnut with cocoa spread,48.77317,Good
soy milk drink strawberry flavor,68.1028,Good
whole grain oats,84.09557,Good
misua,110.7577,Good
prune juice,139.0848,Good
pain relief oil,168.5928,Good
toilet papers,186.4344,Good
air freshener,204.2709,Good
cotton buds,223.7795,Good
facial wash,243.2907,Good
milk tea,273.594,Good
potato chips,293.8227,Good
imported drinks,315.7262,Good
mushrooms,330.5776,Good
choco pie,0,4
mayonnaise,25.4382,Good
misua,50.76326,Good
nutella,76.42242,Good
chocolate cake bar,100.0862,Good
rice stick,120.7541,Good
cotton buds,137.7505,Good
mosquito net,178.9234,Good
rejuvenating serum,199.0966,Good
toilet papers,221.274,Good
pet shampoo,239.1152,Good
liquid detergent,257.9724,Good
air freshener,274.5052,Good
frozen bangus,320.5879,Good
onion,341.8193,Good
cayenne pepper,362.3817,Good
muffin,383.617,Good
vanilla cake bar,397.7988,Good
rice stick,0,5
nutella,24.10376,Good
seaweed,39.43523,Good
soy sauce,54.76197,Good
mayonnaise,70.0899,Good
potato chips,92.75179,Good
deodorant,119.412,Good
dishwashing liquid,145.6431,Good
pain relief oil,166.4846,Good
pet shampoo,185.9923,Good
facial wash,210.8313,Good
watermelon,245.6674,Good
tacchino,268.6128,Good
white cheese,282.4555,Good
chicken cutlet,299.6594,Good
cloves,322.2327,Good
blueberries,350.188,Good
soy milk drink strawberry flavor,383.1741,Good
cheddar spread,407.0999,Good
whole grain oats,427.3268,Good
vanilla cake bar,0,6
soy sauce,22.43979,Good
mayonnaise,47.43525,Good
hazelnut with cocoa spread,62.76228,Good
prune juice,88.08982,Good
oyster sauce,114.7486,Good
chicken spread,141.7413,Good
white cheese,174.9125,Good
tacchino,190.4164,Good
blueberries,214.587,Good
cayenne pepper,245.7657,Good
grapes,274.0667,Good
onion,299.669,Good
watermelon,324.9331,Good
rice stick,344.8249,Good
potato chips,370.0926,Good
nutella,393.6781,Good
canned ham,409.5358,Good
liquid detergent,437.4843,Good
whitening lotion,463.419,Good
baby wipes,477.2605,Good
black roast coffee,0,7
breakfast cereal,16.42385,Good
muffin,37.09111,Good
hazelnut with cocoa spread,52.08463,Good
prune juice,74.07819,Good
shampoo,94.7399,Good
cotton buds,110.0683,Good
nutella,131.0638,Good
nori,152.9036,Good
seaweed,173.7453,Good
choco pie,196.5872,Good
pet shampoo,223.7594,Good
rejuvenating serum,244.5995,Good
facial wash,261.3138,Good
dishwashing liquid,283.892,Good
frozen bangus,320.5727,Good
chicken cutlet,339.119,Good
watermelon,359.6776,Good
tacchino,377.5565,Good
bell pepper,392.7417,Good
white cheese,408.9346,Good
mosquito net,0,8
facial wash,16.76329,Good
cotton buds,35.43164,Good
deodorant,54.08845,Good
potato chips,80.08401,Good
nutella,102.0773,Good
nori,125.0683,Good
misua,140.7354,Good
rice stick,154.9098,Good
oyster sauce,173.4193,Good
imported drinks,192.5937,Good
mayonnaise,216.4361,Good
ramen,232.9394,Good
whole grain oats,256.4475,Good
vanilla cake bar,277.6797,Good
black roast coffee,293.5387,Good
wheat sesame,308.3855,Good
cloves,325.5922,Good
onion,345.1436,Good
grapes,368.7289,Good
sword pepper,386.9413,Good
whitening lotion,0,9
dishwashing liquid,23.43669,Good
deodorant,48.76896,Good
facial wash,62.0929,Good
pet shampoo,84.7576,Good
mushrooms,110.0856,Good
milk tea,132.7493,Good
canned ham,156.9207,Good
rice stick,178.4288,Good
mayonnaise,202.6017,Good
yogurt juice,225.4442,Good
muffin,255.6211,Good
black roast coffee,273.1576,Good
vanilla cake bar,289.3489,Good
chicken spread,307.561,Good
tacchino,334.8396,Good
watermelon,354.0526,Good
blueberries,369.2378,Good
chicken cutlet,393.4961,Good
cayenne pepper,415.3985,Good
mosquito net,0,10
cotton buds,20.10485,Good
dishwashing liquid,40.09887,Good
air freshener,56.09344,Good
mushrooms,80.0864,Good
imported drinks,100.7497,Good
nori,115.7458,Good
mayonnaise,136.7379,Good
choco pie,160.2511,Good
milk tea,183.4254,Good
ramen,202.265,Good
whole grain oats,226.4404,Good
chicken spread,249.6129,Good
caramel latte mix,268.301,Good
grapes,291.5495,Good
garlic pack,315.8046,Good
sword pepper,344.0847,Good
deodorant,0,11
liquid detergent,24.10546,Good
facial wash,47.43363,Good
rejuvenating serum,63.09428,Good
bell pepper,98.42203,Good
tacchino,117.4157,Good
garlic pack,140.8263,Good
sword pepper,169.3327,Good
white cheese,187.5062,Good
blueberries,207.6776,Good
vanilla cake bar,236.8515,Good
breakfast cereal,257.3648,Good
black roast coffee,272.5563,Good
soy milk drink strawberry flavor,291.4366,Good
misua,312.6722,Good
