"vanilla cake bar",0,"1"
"cheddar spread",17.84393,"Good"
"breakfast cereal",34.74318,"Good"
"watermelon",59.48109,"Good"
"blueberries",70.64056,"Good"
"cloves",95.95065,"Good"
"soy milk drink strawberry flavor",0,"2"
"cheddar spread",22.21143,"Good"
"rice stick",42.00054,"Good"
"cocoa powder",58.06495,"Good"
"white cheese",78.51476,"Good"
"whole grain oats",0,"3"
"breakfast cereal",14.06853,"Good"
"hazelnut with cocoa spread",36.91225,"Good"
"caramel latte mix",57.11571,"Good"
"tacchino",82.22562,"Good"
"blueberries",103.292,"Good"
"seaweed",0,"4"
"rice stick",25.2648,"Good"
"vanilla cake bar",49.46227,"Good"
"frozen bangus",77.71609,"Good"
"bell pepper",100.404,"Good"
"puto cheese",0,"5"
"chocolate cake bar",16.30242,"Good"
"dishwashing liquid",46.05568,"Good"
"pain relief oil",67.31617,"Good"
"facial wash",83.62788,"Good"
"chicken cutlet",134.3302,"Good"
"pet shampoo",0,"6"
"paper plates",14.31489,"Good"
"rejuvenating serum",31.77376,"Good"
"yogurt juice",62.6765,"Good"
"whole grain oats",88.14996,"Good"
"black roast coffee",104.0422,"Good"
"rice stick",120.9716,"Good"
"frozen bangus",0,"7"
"whole grain oats",33.25379,"Good"
"ramen",52.90913,"Good"
"nori",76.29411,"Good"
"choco pie",100.722,"Good"
"vanilla cake bar",0,"8"
"milk tea",27.40843,"Good"
"mushrooms",44.26638,"Good"
"onion",67.21787,"Good"
"bell pepper",85.10551,"Good"
"nutella",0,"9"
"imported drinks",23.29414,"Good"
"whitening lotion",52.18357,"Good"
"rejuvenating serum",65.69949,"Good"
"white cheese",104.1345,"Good"
"muffin",136.9861,"Good"
"black roast coffee",155.0757,"Good"
"mayonnaise",0,"10"
"wheat sesame",16.48775,"Good"
"shampoo",41.753,"Good"
"ramen",67.00181,"Good"
"tacchino",93.82704,"Good"
"cayenne pepper",116.9247,"Good"
"onion",134.7971,"Good"
"pet shampoo",0,"11"
"mosquito net",22.7267,"Good"
"facial wash",39.30187,"Good"
"yogurt juice",72.43074,"Good"
"rice stick",91.85415,"Good"
"rice stick",0,"12"
"yogurt juice",14.80252,"Good"
"grapes",29.54255,"Good"
"bell pepper",44.26581,"Good"
"soy milk drink strawberry flavor",73.62614,"Good"
"black roast coffee",91.48563,"Good"
"chicken spread",108.1563,"Good"
"cayenne pepper",0,"13"
"chicken cutlet",23.70366,"Good"
"whitening lotion",68.50867,"Good"
"puto cheese",107.7014,"Good"
"choco pie",133.162,"Good"
"nutella",157.1982,"Good"
"facial wash",0,"14"
"pain relief oil",18.08629,"Good"
"cotton buds",34.17418,"Good"
"grapes",73.26195,"Good"
"fries",104.8955,"Good"
"sword pepper",133.0885,"Good"
"prune juice",168.2535,"Good"
"breakfast cereal",0,"15"
"soy sauce",23.1298,"Good"
"baby wipes",68.72536,"Good"
"cotton buds",85.36768,"Good"
"potato chips",114.0398,"Good"
"facial wash",0,"16"
"liquid detergent",24.08286,"Good"
"rejuvenating serum",45.43084,"Good"
"vanilla cake bar",83.05923,"Good"
"ramen",106.0958,"Good"
"cloves",131.4938,"Good"
"oyster sauce",0,"17"
"chicken spread",24.75218,"Good"
"bell pepper",46.84196,"Good"
"fries",65.90862,"Good"
"cayenne pepper",88.50505,"Good"
"facial wash",0,"18"
"mosquito net",15.68709,"Good"
"black roast coffee",52.63096,"Good"
"white cheese",78.90433,"Good"
"frozen bangus",103.1562,"Good"
"mushrooms",131.2141,"Good"
