"fries",0,"1"
"mayonnaise",31.75903,"Good"
"liquid detergent",59.73497,"Good"
"pain relief oil",79.38096,"Good"
"breakfast cereal",107.6966,"Good"
"yogurt juice",0,"2"
"paper plates",37.42254,"Good"
"deodorant",57.06663,"Good"
"chocolate cake bar",85.04874,"Good"
"potato chips",104.696,"Good"
"soy sauce",0,"3"
"hazelnut with cocoa spread",24.42106,"Good"
"breakfast cereal",45.73527,"Good"
"mayonnaise",66.71512,"Good"
"cloves",83.02803,"Good"
"whitening lotion",119.0047,"Good"
"toilet papers",138.1903,"Good"
"breakfast cereal",0,"4"
"soy sauce",20.41254,"Good"
"mayonnaise",43.39724,"Good"
"vanilla cake bar",61.36864,"Good"
"toilet papers",93.68436,"Good"
"pain relief oil",109.9968,"Good"
"shampoo",125.3097,"Good"
"white cheese",0,"5"
"sword pepper",18.41143,"Good"
"whole grain oats",51.39187,"Good"
"mayonnaise",75.37457,"Good"
"mushrooms",98.68494,"Good"
"ramen",122.3329,"Good"
"cheddar spread",0,"6"
"mushrooms",18.41464,"Good"
"canned ham",36.0665,"Good"
"fries",62.04511,"Good"
"bell pepper",84.35703,"Good"
"watermelon",0,"7"
"shampoo",28.42769,"Good"
"dishwashing liquid",51.73568,"Good"
"oyster sauce",81.05056,"Good"
"rice stick",109.6934,"Good"
"milk tea",124.6721,"Good"
"cocoa powder",140.2888,"Good"
"fries",0,"8"
"bell pepper",20.74818,"Good"
"pet shampoo",57.72607,"Good"
"toilet papers",74.70943,"Good"
"shampoo",92.33324,"Good"
"sword pepper",0,"9"
"grapes",18.0768,"Good"
"garlic pack",42.06001,"Good"
"rice stick",64.70573,"Good"
"nori",79.68298,"Good"
"mushrooms",96.65963,"Good"
"garlic pack",0,"10"
"chicken cutlet",21.42085,"Good"
"grapes",42.06963,"Good"
"yogurt juice",56.71656,"Good"
"baby wipes",88.69627,"Good"
"soy sauce",118.3402,"Good"
"canned ham",138.1338,"Good"
"whole grain oats",0,"11"
"wheat sesame",18.75228,"Good"
"rejuvenating serum",52.04627,"Good"
"pet shampoo",72.6969,"Good"
"paper plates",89.00552,"Good"
"dishwashing liquid",107.3207,"Good"
"air freshener",123.2992,"Good"
"paper plates",0,"12"
"fries",50.424,"Good"
"blueberries",83.06584,"Good"
"oyster sauce",110.3774,"Good"
"chicken spread",131.6864,"Good"
"whole grain oats",157.5043,"Good"
"prune juice",173.329,"Good"
"black roast coffee",0,"13"
"wheat sesame",15.4132,"Good"
"cheddar spread",30.06064,"Good"
"cotton buds",49.70377,"Good"
"shampoo",65.02033,"Good"
"dishwashing liquid",97.66387,"Good"
"chicken spread",0,"14"
"hazelnut with cocoa spread",16.41383,"Good"
"breakfast cereal",41.72749,"Good"
"black roast coffee",58.69238,"Good"
"nori",83.0032,"Good"
"facial wash",114.9671,"Good"
"baby wipes",0,"15"
"air freshener",21.75369,"Good"
"yogurt juice",55.73172,"Good"
"potato chips",76.04145,"Good"
"hazelnut with cocoa spread",107.3512,"Good"
"grapes",135.997,"Good"
"soy milk drink strawberry flavor",0,"16"
"soy sauce",19.41203,"Good"
"toilet papers",56.0592,"Good"
"chicken cutlet",96.36803,"Good"
"cloves",118.3459,"Good"
"onion",138.1442,"Good"
"toilet papers",0,"17"
"yogurt juice",40.4264,"Good"
"cheddar spread",65.05397,"Good"
"black roast coffee",82.03831,"Good"
"soy sauce",103.0135,"Good"
"puto cheese",125.9944,"Good"
"choco pie",0,"18"
"misua",26.08784,"Good"
"prune juice",47.40184,"Good"
"dishwashing liquid",73.04654,"Good"
"sword pepper",115.0263,"Good"
"paper plates",0,"19"
"pet shampoo",16.0822,"Good"
"yogurt juice",46.39513,"Good"
"mushrooms",64.03991,"Good"
"mayonnaise",83.68679,"Good"
"whole grain oats",102.6663,"Good"
"misua",0,"20"
"nori",14.74505,"Good"
"imported drinks",29.73271,"Good"
"mosquito net",59.37544,"Good"
"whitening lotion",76.6916,"Good"
"sword pepper",110.0065,"Good"
"sword pepper",0,"21"
"bell pepper",14.74595,"Good"
"ramen",40.06918,"Good"
"cocoa powder",57.71227,"Good"
"mushrooms",77.35944,"Good"
"onion",0,"22"
"prune juice",22.75019,"Good"
"misua",48.39431,"Good"
"muffin",71.70029,"Good"
"choco pie",97.67628,"Good"
"ramen",118.6633,"Good"
"cocoa powder",138.4857,"Good"
"oyster sauce",0,"23"
"caramel latte mix",25.75991,"Good"
"cayenne pepper",43.74044,"Good"
"milk tea",68.38828,"Good"
"rice stick",84.03236,"Good"
"rejuvenating serum",112.3462,"Good"
"hazelnut with cocoa spread",0,"24"
"black roast coffee",20.08511,"Good"
"cheddar spread",37.39888,"Good"
"facial wash",77.709,"Good"
