"paper plates",0,"1"
"toilet papers",11.21104,"Good"
"liquid detergent",28.81649,"Good"
"pet shampoo",46.36297,"Good"
"bell pepper",92.97287,"Good"
"white cheese",110.237,"Good"
"tacchino",126.2372,"Good"
"grapes",147.056,"Good"
"blueberries",164.1983,"Good"
"cloves",194.4594,"Good"
"prune juice",218.4897,"Good"
"cocoa powder",245.9562,"Good"
"choco pie",271.6145,"Good"
"shampoo",0,"2"
"white cheese",45.46149,"Good"
"onion",66.78535,"Good"
"cloves",88.72081,"Good"
"cheddar spread",105.6736,"Good"
"hazelnut with cocoa spread",124.4837,"Good"
"mayonnaise",141.734,"Good"
"oyster sauce",168.2791,"Good"
"nutella",203.5979,"Good"
"choco pie",230.7396,"Good"
"potato chips",247.5862,"Good"
"imported drinks",272.3984,"Good"
"ramen",284.7582,"Good"
"muffin",0,"3"
"soy milk drink strawberry flavor",17.99457,"Good"
"caramel latte mix",36.8071,"Good"
"vanilla cake bar",53.7641,"Good"
"chicken spread",72.24748,"Good"
"paper plates",104.4888,"Good"
"bell pepper",139.2288,"Good"
"grapes",158.2622,"Good"
"cayenne pepper",182.8999,"Good"
"onion",202.6117,"Good"
"cocoa powder",227.2291,"Good"
"mushrooms",250.9479,"Good"
"nori",0,"4"
"oyster sauce",18.28997,"Good"
"seaweed",37.43209,"Good"
"misua",59.06969,"Good"
"imported drinks",75.08448,"Good"
"choco pie",98.28472,"Good"
"frozen bangus",130.5251,"Good"
"onion",150.8078,"Good"
"wheat sesame",170.1694,"Good"
"paper plates",200.1515,"Good"
"air freshener",217.3091,"Good"
"toilet papers",234.7819,"Good"
"rice stick",0,"5"
"misua",13.31873,"Good"
"chocolate cake bar",35.57156,"Good"
"potato chips",57.81835,"Good"
"whole grain oats",84.43884,"Good"
"muffin",107.6221,"Good"
"deodorant",155.4959,"Good"
"paper plates",178.293,"Good"
"bell pepper",222.6242,"Good"
"garlic pack",248.5444,"Good"
"cayenne pepper",264.484,"Good"
"fries",0,"6"
"yogurt juice",22.66724,"Good"
"tacchino",38.98048,"Good"
"white cheese",54.0449,"Good"
"grapes",72.26048,"Good"
"cloves",98.55304,"Good"
"pain relief oil",135.8072,"Good"
"toilet papers",153.6232,"Good"
"hazelnut with cocoa spread",193.863,"Good"
"wheat sesame",214.7685,"Good"
"breakfast cereal",233.4906,"Good"
"ramen",252.8183,"Good"
"seaweed",268.9871,"Good"
"potato chips",290.1438,"Good"
"blueberries",0,"7"
"air freshener",44.55433,"Good"
"facial wash",69.94046,"Good"
"paper plates",92.18624,"Good"
"whitening lotion",114.1368,"Good"
"imported drinks",148.5644,"Good"
"rice stick",165.4273,"Good"
"canned ham",188.5382,"Good"
"cheddar spread",211.0417,"Good"
"prune juice",232.8851,"Good"
"wheat sesame",252.5589,"Good"
"black roast coffee",268.4639,"Good"
"oyster sauce",0,"8"
"soy sauce",13.30536,"Good"
"black roast coffee",37.75657,"Good"
"vanilla cake bar",53.76027,"Good"
"shampoo",81.02589,"Good"
"rejuvenating serum",100.4547,"Good"
"cocoa powder",125.5263,"Good"
"potato chips",145.6669,"Good"
"sword pepper",170.0094,"Good"
"grapes",186.561,"Good"
"tacchino",207.1551,"Good"
"white cheese",223.3781,"Good"
"frozen bangus",246.5037,"Good"
"pet shampoo",0,"9"
"nori",34.85594,"Good"
"milk tea",48.38858,"Good"
"prune juice",74.08654,"Good"
"soy milk drink strawberry flavor",91.33607,"Good"
"wheat sesame",112.9592,"Good"
"vanilla cake bar",131.457,"Good"
"fries",161.4392,"Good"
"white cheese",184.2196,"Good"
"bell pepper",202.0034,"Good"
"bell pepper",0,"10"
"onion",25.18348,"Good"
"black roast coffee",49.30632,"Good"
"chocolate cake bar",66.85201,"Good"
"deodorant",112.5245,"Good"
"baby wipes",127.9006,"Good"
"mosquito net",146.9487,"Good"
"mushrooms",185.9717,"Good"
"canned ham",202.5228,"Good"
"milk tea",228.7733,"Good"
"caramel latte mix",0,"11"
"breakfast cereal",16.11731,"Good"
"misua",45.25643,"Good"
"vanilla cake bar",72.18774,"Good"
"mayonnaise",91.3272,"Good"
"air freshener",127.6428,"Good"
"deodorant",152.9406,"Good"
"rejuvenating serum",171.0523,"Good"
"liquid detergent",195.3949,"Good"
"ramen",226.313,"Good"
"canned ham",0,"12"
"cocoa powder",22.99599,"Good"
"soy sauce",42.12018,"Good"
"mayonnaise",60.94532,"Good"
"mosquito net",88.81562,"Good"
"black roast coffee",121.9934,"Good"
"soy milk drink strawberry flavor",141.8616,"Good"
"wheat sesame",162.4557,"Good"
"muffin",181.4891,"Good"
"watermelon",208.0348,"Good"
"onion",0,"13"
"watermelon",23.93247,"Good"
"whole grain oats",51.48943,"Good"
"cheddar spread",71.86375,"Good"
"soy sauce",93.17214,"Good"
"mayonnaise",116.9806,"Good"
"muffin",134.2941,"Good"
"rice stick",159.9026,"Good"
"milk tea",176.7659,"Good"
"toilet papers",212.0404,"Good"
"rejuvenating serum",0,"14"
"air freshener",20.47995,"Good"
"facial wash",43.67928,"Good"
"liquid detergent",68.40792,"Good"
"white cheese",107.8493,"Good"
"fries",128.2226,"Good"
"chicken cutlet",145.0684,"Good"
"soy milk drink strawberry flavor",178.4846,"Good"
"breakfast cereal",195.9856,"Good"
"puto cheese",215.6589,"Good"
"mayonnaise",236.2721,"Good"
"seaweed",264.4256,"Good"
"ramen",286.556,"Good"
"breakfast cereal",0,"15"
"mayonnaise",24.2461,"Good"
"whole grain oats",49.94405,"Good"
"caramel latte mix",67.20865,"Good"
"soy sauce",88.84735,"Good"
"wheat sesame",109.5475,"Good"
"bell pepper",129.2952,"Good"
"whitening lotion",175.8302,"Good"
"canned ham",212.9773,"Good"
"nori",238.8981,"Good"
"milk tea",252.6265,"Good"
"seaweed",276.6423,"Good"
"cocoa powder",299.0874,"Good"
"shampoo",0,"16"
"paper plates",20.51071,"Good"
"toilet papers",33.70006,"Good"
"pet shampoo",50.97916,"Good"
"chicken spread",81.65929,"Good"
"prune juice",101.4235,"Good"
"puto cheese",118.9849,"Good"
"wheat sesame",135.1866,"Good"
"bell pepper",153.2825,"Good"
"tacchino",172.3152,"Good"
"sword pepper",190.7231,"Good"
"watermelon",207.2751,"Good"
"milk tea",225.3873,"Good"
"rice stick",242.2506,"Good"
"blueberries",0,"17"
"canned ham",25.80873,"Good"
"seaweed",42.13633,"Good"
"nori",61.88499,"Good"
"imported drinks",77.58538,"Good"
"potato chips",98.30459,"Good"
"breakfast cereal",119.5804,"Good"
"wheat sesame",136.7815,"Good"
"pet shampoo",164.5598,"Good"
"air freshener",178.5959,"Good"
"baby wipes",202.0182,"Good"
"pain relief oil",220.4255,"Good"
"nori",0,"18"
"mushrooms",21.10295,"Good"
"shampoo",40.86768,"Good"
"rice stick",56.22796,"Good"
"oyster sauce",72.85343,"Good"
"tacchino",96.67583,"Good"
"sword pepper",115.1753,"Good"
"blueberries",130.8879,"Good"
"white cheese",151.1706,"Good"
"grapes",169.6087,"Good"
"cheddar spread",193.967,"Good"
"baby wipes",231.4451,"Good"
"rice stick",0,"19"
"nutella",21.42941,"Good"
"oyster sauce",39.92984,"Good"
"canned ham",55.93007,"Good"
"misua",75.3665,"Good"
"puto cheese",96.34799,"Good"
"pet shampoo",125.1687,"Good"
"garlic pack",156.8545,"Good"
"bell pepper",179.3408,"Good"
"grapes",200.8719,"Good"
"white cheese",221.1752,"Good"
"chicken cutlet",238.9594,"Good"
"blueberries",263.1101,"Good"
"grapes",0,"20"
"tacchino",22.35521,"Good"
"mushrooms",46.16374,"Good"
"seaweed",68.11477,"Good"
"cotton buds",90.9867,"Good"
"hazelnut with cocoa spread",115.4193,"Good"
"black roast coffee",134.8552,"Good"
"puto cheese",152.3437,"Good"
"whole grain oats",173.5787,"Good"
"caramel latte mix",191.3628,"Good"
"deodorant",227.5744,"Good"
"cotton buds",0,"21"
"misua",17.36882,"Good"
"ramen",29.98491,"Good"
"shampoo",48.18982,"Good"
"cocoa powder",66.68877,"Good"
"puto cheese",95.80779,"Good"
"mosquito net",141.1661,"Good"
"facial wash",158.9499,"Good"
"pain relief oil",179.2489,"Good"
"rejuvenating serum",196.1192,"Good"
"whitening lotion",212.9595,"Good"
"frozen bangus",267.4044,"Good"
"onion",0,"22"
"white cheese",18.61882,"Good"
"tacchino",34.32504,"Good"
"chicken cutlet",49.70109,"Good"
"grapes",70.07391,"Good"
"chocolate cake bar",95.44407,"Good"
"puto cheese",111.4433,"Good"
"vanilla cake bar",127.7553,"Good"
"cotton buds",160.5485,"Good"
"baby wipes",177.7233,"Good"
"whitening lotion",194.2586,"Good"
"cocoa powder",221.0993,"Good"
"milk tea",238.2745,"Good"
"imported drinks",254.8098,"Good"
"chocolate cake bar",0,"23"
"soy milk drink strawberry flavor",19.86883,"Good"
"cheddar spread",44.91278,"Good"
"muffin",65.91085,"Good"
"mayonnaise",83.80151,"Good"
"nori",112.6058,"Good"
"cotton buds",131.1192,"Good"
"rice stick",147.9656,"Good"
"bell pepper",171.3879,"Good"
"blueberries",198.8552,"Good"
"cloves",228.8364,"Good"
"pain relief oil",269.5383,"Good"
"cheddar spread",0,"24"
"misua",27.38163,"Good"
"chocolate cake bar",50.58257,"Good"
"soy sauce",69.72203,"Good"
"hazelnut with cocoa spread",88.8611,"Good"
"whitening lotion",125.475,"Good"
"baby wipes",141.5507,"Good"
"toilet papers",160.288,"Good"
"imported drinks",192.454,"Good"
"white cheese",215.2693,"Good"
"blueberries",235.2565,"Good"
"garlic pack",260.9481,"Good"
"whole grain oats",0,"25"
"oyster sauce",21.1046,"Good"
"canned ham",45.85062,"Good"
"cocoa powder",68.72316,"Good"
"rice stick",85.67533,"Good"
"seaweed",107.298,"Good"
"yogurt juice",127.6863,"Good"
"facial wash",154.5266,"Good"
"tacchino",189.8178,"Good"
"frozen bangus",212.5987,"Good"
"white cheese",236.0201,"Good"
"shampoo",0,"26"
"pet shampoo",25.48087,"Good"
"cotton buds",43.69704,"Good"
"mayonnaise",78.42347,"Good"
"cocoa powder",100.6848,"Good"
"grapes",117.3262,"Good"
"chicken cutlet",139.6505,"Good"
"bell pepper",162.1373,"Good"
"frozen bangus",192.7421,"Good"
"cheddar spread",217.7269,"Good"
"prune juice",238.0255,"Good"
"facial wash",0,"27"
"pain relief oil",18.29107,"Good"
"mosquito net",38.05675,"Good"
"liquid detergent",63.11409,"Good"
"seaweed",90.67046,"Good"
"misua",112.6059,"Good"
"ramen",125.8107,"Good"
"canned ham",148.2788,"Good"
"garlic pack",170.7484,"Good"
"sword pepper",198.5427,"Good"
"bell pepper",223.1968,"Good"
"watermelon",246.6023,"Good"
"onion",270.6109,"Good"
"yogurt juice",0,"28"
"soy sauce",21.08722,"Good"
"canned ham",38.33795,"Good"
"ramen",55.91479,"Good"
"shampoo",78.17863,"Good"
"chocolate cake bar",96.9883,"Good"
"potato chips",117.69,"Good"
"misua",140.013,"Good"
"pain relief oil",171.5395,"Good"
"rejuvenating serum",188.0909,"Good"
