"sotanghon",0,"1"
"canned pineapple",22.09795,"Good"
"root beer",47.09161,"Good"
"sparkling water",65.08918,"Good"
"plastic plates",90.41402,"Good"
"bleach",107.7435,"Good"
"dustpan",133.0725,"Good"
"baby wipes",152.2464,"Good"
"paper cups",173.0908,"Good"
"basil leaves",213.594,"Good"
"cumin",229.7655,"Good"
"chicken",249.9378,"Good"
"salad",287.7208,"Good"
"beef siomai frozen",316.3482,"Good"
"fruit drink",347.3184,"Good"
"nori",370.2319,"Good"
"shabu sauce",382.7307,"Good"
"toothpaste",0,"2"
"french beans",23.43539,"Good"
"garlic pack",51.76402,"Good"
"umami seasoning",67.4099,"Good"
"cabbage",98.73195,"Good"
"puto cheese",128.7245,"Good"
"sliced bread",144.8987,"Good"
"creamy white coffee",161.0731,"Good"
"coconut oil",185.9092,"Good"
"red wine",214.7511,"Good"
"hair conditioner",237.5875,"Good"
"otap",0,"3"
"salsa",27.44051,"Good"
"powdered detergent",47.10239,"Good"
"corn chip",65.09846,"Good"
"pot holder",98.4272,"Good"
"toilet brush",111.754,"Good"
"skewers",134.413,"Good"
"liquid seasoning",170.9182,"Good"
"odong",192.0931,"Good"
"grapes drink",219.6033,"Good"
"guava",245.1111,"Good"
"basil leaves",267.4633,"Good"
"longganisa",288.6948,"Good"
"carbonated drink",309.5953,"Good"
"wine",0,"4"
"ketchup",20.43368,"Good"
"mozzarella",42.42928,"Good"
"apples",58.75537,"Good"
"pechay",75.41637,"Good"
"tocino mix",112.7426,"Good"
"wheat sesame",136.7353,"Good"
"canola oil",164.5722,"Good"
"tuna mayo spread",186.0806,"Good"
"all-purpose flour",205.2516,"Good"
"tropical fruit cocktail",228.7573,"Good"
"white bread",256.5985,"Good"
"body cream",293.2772,"Good"
"mosquito net",309.472,"Good"
"pot holder",323.6516,"Good"
"aluminum tray",344.5449,"Good"
"brushes",360.7401,"Good"
"rag",383.9869,"Good"
"facial tissue",404.8796,"Good"
"curry sauce",0,"5"
"crackers",18.7627,"Good"
"q tips",51.75557,"Good"
"quekiam",99.41782,"Good"
"whiskey",134.4075,"Good"
"sotanghon",161.2473,"Good"
"cay-cay",198.4182,"Good"
"sweetened mango puree",225.5891,"Good"
"bihon",250.4286,"Good"
"watermelon",0,"6"
"liquid seasoning",33.44356,"Good"
"canned pineapple",55.43293,"Good"
"apple green tea drink",74.42785,"Good"
"unsweetened chocolate drink",87.75408,"Good"
"wheat crd oat",110.7481,"Good"
"skimmed milk",131.4102,"Good"
"rosquillos",164.2486,"Good"
"cheese berry pie",0,"7"
"cotton buds",22.10716,"Good"
"chocolate cake bar",41.43352,"Good"
"pet shampoo",72.09293,"Good"
"floor cleaner",88.41961,"Good"
"dustpan",112.0785,"Good"
"fresh milk",145.0721,"Good"
"potato",164.2463,"Good"
"lettuce",185.0854,"Good"
"blueberries",201.2588,"Good"
"yogurt drink with strawberry",231.4334,"Good"
"whole grain oats",248.9368,"Good"
"luncheon meat",0,"8"
"vinegar",18.7676,"Good"
"conditioner",48.76241,"Good"
"pain relief oil",67.0935,"Good"
"wax paper",83.08787,"Good"
"hair freshener",99.41265,"Good"
"white cheese",137.0714,"Good"
"tocino",156.246,"Good"
"oranges",177.7501,"Good"
"parmesan",0,"9"
"milk",25.10486,"Good"
"mayonnaise",46.43464,"Good"
"disinfectant spray",67.42836,"Good"
"powdered milk drink for adult",89.09041,"Good"
"coffee mix",112.7536,"Good"
"sports drink tropical fruit",134.0834,"Good"
"bread crumbs",153.2552,"Good"
"dustpan",0,"10"
"baby powder",17.764,"Good"
"tocino",61.76007,"Good"
"yogurt milk drink",88.75099,"Good"
"sweet golden melon",105.4117,"Good"
"frozen squid",131.7401,"Good"
"durian",160.2488,"Good"
"fresh milk",180.088,"Good"
"jellies",211.2614,"Good"
"sesame oil",231.436,"Good"
"liver spread",261.6501,"Good"
"hazelnut with cocoa spread",282.5497,"Good"
"all-purpose flour",303.4461,"Good"
"vanilla flavored oat mix",323.6705,"Good"
"cream cheese spread",345.2346,"Good"
"mosquito net",0,"11"
"mixed vegetable and soya",15.7649,"Good"
"liquid detergent",39.43204,"Good"
"brown coffee mix",65.76572,"Good"
"apple flavored drink",89.75769,"Good"
"patty",114.0816,"Good"
"rubbing alcohol",139.7458,"Good"
"otap",171.2526,"Good"
"plastic cups",0,"12"
"baby powder",16.09552,"Good"
"hanger",34.42618,"Good"
"liquid washing",59.75362,"Good"
"puto cheese",87.74849,"Good"
"orange drink",110.41,"Good"
"apple flavored drink",125.7394,"Good"
"soy drink milk",144.7921,"Good"
"kimchi sauce",179.2929,"Good"
"chayote",201.804,"Good"
"tocino",221.976,"Good"
"longganisa",0,"13"
"chicken",24.43379,"Good"
"guava",52.76671,"Good"
"yogurt milk drink",69.095,"Good"
"chili powder",93.09267,"Good"
"refreshment drink",123.42,"Good"
"korean sauce",156.2901,"Good"
"imported drinks",179.4628,"Good"
"special potato chips",204.3016,"Good"
"skewers",229.805,"Good"
"white coffee mix",261.6867,"Good"
"soya oil",286.2816,"Good"
"sweetened mango puree",310.8746,"Good"
"quickmelt cheese",336.4736,"Good"
"meat sauce",0,"14"
"soy sauce",19.10014,"Good"
"instant noodles",34.76231,"Good"
"beauty soap",83.42023,"Good"
"cotton buds",104.0819,"Good"
"kale",152.7358,"Good"
"fusilli",0,"15"
"cream",34.77713,"Good"
"hair freshener",53.44173,"Good"
"tocino",97.1013,"Good"
"grapes",127.7639,"Good"
"bacon",152.6052,"Good"
"pineapple",174.4442,"Good"
"pineapple juice tea drink",210.9513,"Good"
"green peas",231.4541,"Good"
"wheat sesame",266.711,"Good"
"sliced bread",282.2301,"Good"
"pet shampoo",0,"16"
"cotton buds",17.7669,"Good"
"liquid detergent",37.09971,"Good"
"turmeric ginger powdered drink",61.09697,"Good"
"ketchup",84.0917,"Good"
"kimchi",123.749,"Good"
"kale",139.9802,"Good"
"lettuce",0,"17"
"mozzarella",18.09853,"Good"
"yogurt drink with mango",51.76285,"Good"
"ketchup",70.42196,"Good"
"seasoning granules",89.41318,"Good"
"olives",110.7412,"Good"
"plastic cups",141.0694,"Good"
"soap",157.5773,"Good"
"baby powder",175.0862,"Good"
"whitening soap",191.9229,"Good"
"cookie sticks",222.0931,"Good"
"milk",254.605,"Good"
"sesame",284.9975,"Good"
"coffee",300.1858,"Good"
"canned tuna",0,"18"
"noodles",18.42937,"Good"
"jelly powder",36.42869,"Good"
"sports drink grapes flavor",55.4248,"Good"
"mixed fruit",77.753,"Good"
"soap",110.4135,"Good"
"powder",142.4082,"Good"
"gums",164.5774,"Good"
"junk food",182.7508,"Good"
"cleaner",437.2603,"stuck hit!"
"papaya",453.7932,"Good"
"hair conditioner",491.4814,"Good"
"detox powder",512.3766,"Good"
"car sweetener",0,"19"
"yogurt milk drink",40.44351,"Good"
"soy sauce",59.77015,"Good"
"unsweetened chocolate drink",78.42834,"Good"
"beef loaf",118.4227,"Good"
"macaroni",136.2418,"Good"
"sliced bread",161.0834,"Good"
"canola oil",187.924,"Good"
"marshmallows",220.0977,"Good"
"mango drink concentrate",0,"20"
"corn starch",21.77062,"Good"
"apple grape juice",44.76358,"Good"
"cheese cake",81.42249,"Good"
"pocky",99.41376,"Good"
"choco pie",126.0783,"Good"
"chicken",0,"21"
"lettuce",40.1074,"Good"
"coconut",68.7693,"Good"
"tamarind",95.76022,"Good"
"sampalok mix",139.7549,"Good"
"margarita",166.2605,"Good"
"trash bags",194.4319,"Good"
"chocolate",228.6075,"Good"
"pot holder",0,"22"
"brushes",27.10247,"Good"
"meat",65.09719,"Good"
"tomato",93.41888,"Good"
"beer",123.4165,"Good"
"aluminum foil",0,"23"
"basil",36.77223,"Good"
"chocolate cake bar",56.7683,"Good"
"sports drink",90.75868,"Good"
"zucchini",106.0875,"Good"
"biscuits",130.7474,"Good"
"seasoning mix",0,"24"
"chili powder",24.76913,"Good"
"white cheese",51.43326,"Good"
"powder",74.42428,"Good"
"curry",93.75311,"Good"
"chips",109.082,"Good"
"wafer sticks",126.4075,"Good"
"sesame",149.1791,"Good"
"pasta",0,"25"
"instant coffee",18.43457,"Good"
"canned pineapple",40.09726,"Good"
"seasoning granules",61.08928,"Good"
"cola",81.75169,"Good"
"tropical fruit cocktail",102.4103,"Good"
"litter",123.4024,"Good"
"rag",146.9451,"Good"
"green lemon",182.781,"Good"
"grapes",201.2881,"Good"
"rigatoni",228.1243,"Good"
"bbq sauce",244.6338,"Good"
"local snacks",269.7386,"Good"
"polvoron",282.2391,"Good"
"disinfectant spray",306.8293,"Good"
"tocino mix",0,"26"
"decaf coffee",18.10034,"Good"
"gin",41.42695,"Good"
"italian roast coffee",70.08855,"Good"
"pet shampoo",102.0806,"Good"
"skewers",119.7448,"Good"
"almond",147.6652,"Good"
"tea",171.8433,"Good"
"eggplant",202.0161,"Good"
"shrimp",223.5244,"Good"
"lettuce",246.6999,"Good"
"aluminum tray",0,"27"
"umami seasoning",37.77517,"Good"
"red onion",63.76605,"Good"
"yogurt juice",82.42755,"Good"
"charcoal",100.4234,"Good"
"local snacks",136.0828,"Good"
"chocolate",162.9273,"Good"
"unagi",186.0987,"Good"
"cakewich",202.2736,"Good"
"apple cider",226.4461,"Good"
"sampalok mix",254.6203,"Good"
"chicken flakes",273.9361,"Good"
"gin",291.4735,"Good"
"powdered fruit flavored drinks",308.34,"Good"
"coffee jelly",325.8737,"Good"
"water",0,"28"
"icecream",23.09995,"Good"
"sweet golden melon",45.09855,"Good"
"dustpan",78.09617,"Good"
"popcorn",103.0863,"Good"
"misua",126.0784,"Good"
"cheese cake",144.8226,"Good"
"wheat rld oats",168.9983,"Good"
"sweatened thick creamer",0,"29"
"chinese steamed bun",27.10607,"Good"
"curry paste",43.43038,"Good"
"pain relief oil",72.42381,"Good"
"watermelon",105.0871,"Good"
"broccoli",123.4175,"Good"
"cheese berry pie",0,"30"
"ketchup",23.4416,"Good"
"wafers",47.4344,"Good"
"sponge",71.09596,"Good"
"hanger",95.75686,"Good"
"dairy cream",130.7491,"Good"
"pickled mango",147.253,"Good"
"cay-cay",174.0948,"Good"
"chinese steamed bun",189.9338,"Good"
"sardines in olive oil",218.4438,"Good"
"pineapple drink",237.2786,"Good"
"whitening soap",0,"31"
"powdered juice drink",34.77643,"Good"
"palm oil",53.43703,"Good"
"toasted bread",74.43315,"Good"
"umami seasoning",96.42522,"Good"
"brooms",0,"32"
"sponge",13.42997,"Good"
"brown rice",45.77613,"Good"
"celery powder",61.76889,"Good"
"beef tapa",83.76747,"Good"
"pineapple juice drink",116.7596,"Good"
