Customer Number,Sort Time(ns)
1,111800
2,108500
3,265000
4,401200
5,293800
6,181500
7,150500
8,277300
9,299200
10,277800
11,293700
12,554700
13,145200
14,293900
15,298800
16,282600
17,273600
18,269800
19,278300
20,332900
21,775400
22,735800
23,683900
24,612100
25,258400
26,681800
27,264800
28,640600
29,688400
30,677000
31,716800
32,715000
33,673000
34,721400
35,265800
36,663700
37,656700
38,709300
39,672600
40,287400
41,750400
42,591300
43,670000
44,790400
45,695400
46,658100
47,724000
48,737200
49,590600
50,654000
51,323700
52,663900
53,740000
54,290200
55,392000
56,708500
57,266800
58,789900
59,686800
60,688500
61,707800
62,642200
63,697100
64,659800
65,665600
66,690700
67,757400
68,621000
69,776800
70,677800
71,726800
72,629300
73,704200
74,709600
75,669200
76,731500
77,654900
78,358600
79,773900
80,697000
81,581400
82,612500
83,725900
84,712300
85,540400
86,706400
87,648600
88,705400
89,592600
90,689500
91,725500
92,659800
93,667800
94,668900
95,607700
96,690000
97,632500
98,663800
99,773000
