wheat sesame,0,1
misua,28.41899,Good
oyster sauce,42.70707,Good
whole grain oats,64.34995,Good
chicken spread,84.7443,Good
muffin,100.9756,Good
chocolate cake bar,115.5395,Good
yogurt juice,140.9319,Good
cotton buds,159.8096,Good
imported drinks,175.6333,Good
rice stick,191.3106,Good
nutella,212.824,Good
garlic pack,236.4227,Good
onion,254.8854,Good
white cheese,272.2499,Good
blueberries,289.4934,Good
facial wash,318.2089,Good
liquid detergent,339.9297,Good
air freshener,353.9593,Good
mushrooms,0,2
soy sauce,15.35982,Good
cotton buds,30.47836,Good
chocolate cake bar,48.51358,Good
potato chips,66.27029,Good
nori,84.0278,Good
choco pie,103.4499,Good
canned ham,120.6524,Good
imported drinks,138.8467,Good
nutella,159.1125,Good
cocoa powder,178.969,Good
seaweed,197.9851,Good
breakfast cereal,215.752,Good
hazelnut with cocoa spread,236.1571,Good
cayenne pepper,252.8124,Good
sword pepper,276.8986,Good
fries,297.5023,Good
pain relief oil,331.529,Good
liquid detergent,347.5187,Good
toilet papers,362.9491,Good
misua,0,3
oyster sauce,15.49751,Good
hazelnut with cocoa spread,35.2014,Good
whole grain oats,55.59486,Good
soy milk drink strawberry flavor,70.99226,Good
prune juice,86.38262,Good
cheddar spread,104.6879,Good
imported drinks,126.0564,Good
mushrooms,141.7511,Good
potato chips,166.4578,Good
cotton buds,192.6919,Good
milk tea,210.5965,Good
air freshener,244.4596,Good
facial wash,266.9473,Good
toilet papers,284.754,Good
pain relief oil,299.4822,Good
misua,0,4
mayonnaise,22.86224,Good
nutella,38.12059,Good
choco pie,60.86592,Good
chocolate cake bar,83.34404,Good
rice stick,101.6546,Good
cotton buds,117.0531,Good
onion,136.3598,Good
cayenne pepper,157.1801,Good
frozen bangus,177.1703,Good
rejuvenating serum,225.7489,Good
liquid detergent,248.3741,Good
mosquito net,275.8994,Good
pet shampoo,299.9976,Good
air freshener,310.8102,Good
toilet papers,325.5385,Good
muffin,362.0778,Good
vanilla cake bar,375.6866,Good
pet shampoo,0,5
facial wash,20.91626,Good
deodorant,32.56659,Good
pain relief oil,49.07298,Good
dishwashing liquid,66.13628,Good
mayonnaise,95.6914,Good
cheddar spread,110.5348,Good
soy milk drink strawberry flavor,131.4843,Good
whole grain oats,148.001,Good
soy sauce,168.8223,Good
white cheese,189.097,Good
watermelon,206.585,Good
tacchino,224.6301,Good
blueberries,244.3407,Good
chicken cutlet,267.1295,Good
cloves,286.3326,Good
rice stick,306.7954,Good
nutella,326.4203,Good
seaweed,341.2872,Good
potato chips,359.6536,Good
whitening lotion,0,6
baby wipes,14.1083,Good
liquid detergent,35.22627,Good
