Item,Cluster
chicken cutlet,0
fries,0
frozen bangus,0
onion,0
tacchino,0
baby wipes,1
cotton buds,1
deodorant,1
facial wash,1
mosquito net,1
pain relief oil,1
rejuvenating serum,1
shampoo,1
whitening lotion,1
cayenne pepper,2
cloves,2
garlic pack,2
cocoa powder,3
imported drinks,3
misua,3
mushrooms,3
nori,3
oyster sauce,3
ramen,3
rice stick,3
canned ham,4
choco pie,4
chocolate cake bar,4
mayonnaise,4
milk tea,4
nutella,4
potato chips,4
seaweed,4
soy sauce,4
air freshener,5
dishwashing liquid,5
liquid detergent,5
paper plates,5
pet shampoo,5
toilet papers,5
bell pepper,6
blueberries,6
grapes,6
sword pepper,6
watermelon,6
white cheese,6
yogurt juice,6
black roast coffee,7
breakfast cereal,7
caramel latte mix,7
cheddar spread,7
chicken spread,7
hazelnut with cocoa spread,7
muffin,7
prune juice,7
puto cheese,7
soy milk drink strawberry flavor,7
vanilla cake bar,7
wheat sesame,7
whole grain oats,7
