Item,Cluster
air freshener,0
dishwashing liquid,0
liquid detergent,0
pet shampoo,0
toilet papers,0
bell pepper,1
cayenne pepper,1
cloves,1
frozen bangus,1
garlic pack,1
baby wipes,2
deodorant,2
facial wash,2
mosquito net,2
pain relief oil,2
paper plates,2
rejuvenating serum,2
whitening lotion,2
cheddar spread,3
chicken spread,3
chocolate cake bar,3
hazelnut with cocoa spread,3
muffin,3
puto cheese,3
vanilla cake bar,3
canned ham,4
cocoa powder,4
imported drinks,4
milk tea,4
mushrooms,4
nori,4
potato chips,4
rice stick,4
seaweed,4
cotton buds,5
misua,5
oyster sauce,5
soy sauce,5
yogurt juice,5
choco pie,6
mayonnaise,6
nutella,6
ramen,6
shampoo,6
black roast coffee,7
breakfast cereal,7
caramel latte mix,7
prune juice,7
soy milk drink strawberry flavor,7
wheat sesame,7
whole grain oats,7
chicken cutlet,8
fries,8
onion,8
tacchino,8
white cheese,8
blueberries,9
grapes,9
sword pepper,9
watermelon,9
