Customer Number,Sort Time(ns)
1,179900
2,73000
3,56100
4,48700
5,67600
6,50800
7,62500
8,66600
9,69000
10,65900
11,81400
12,81600
13,80100
14,84200
15,67700
16,80100
17,78700
18,63600
19,51200
20,56300
21,201500
22,179200
23,186900
24,182000
25,158800
26,190300
27,72300
28,211200
29,177400
30,179600
31,182300
32,141100
33,146000
34,168400
35,177700
36,126200
37,178500
38,178300
39,175200
40,176900
41,145300
42,173100
43,142200
44,171200
45,176400
46,175800
47,196800
48,173800
49,161900
50,165500
51,190500
52,174700
53,154700
54,170800
55,158000
56,196900
57,168900
58,121800
59,123700
60,185300
61,183300
62,153300
63,185300
64,152700
65,177300
66,136600
67,180100
68,160800
69,135700
70,172900
71,129800
72,175400
73,172700
74,141300
75,173400
76,171300
77,172200
78,181800
79,180200
80,181700
81,176600
82,180400
83,171400
84,172500
85,156000
86,175300
87,126800
88,164800
89,138300
90,174900
91,128900
92,123000
93,143800
94,219500
95,155200
96,200000
97,174700
98,132500
99,168900
