Item,Cluster
black roast coffee,0
breakfast cereal,0
caramel latte mix,0
puto cheese,0
cheddar spread,1
chicken spread,1
cloves,1
baby wipes,2
deodorant,2
mosquito net,2
shampoo,2
whitening lotion,2
bell pepper,3
cayenne pepper,3
chicken cutlet,3
fries,3
frozen bangus,3
grapes,3
yogurt juice,3
choco pie,4
chocolate cake bar,4
cocoa powder,4
imported drinks,4
potato chips,4
rice stick,4
mayonnaise,5
nutella,5
ramen,5
wheat sesame,5
milk tea,6
nori,6
white cheese,6
garlic pack,7
misua,7
onion,7
tacchino,7
canned ham,8
cotton buds,8
oyster sauce,8
seaweed,8
soy sauce,8
air freshener,9
dishwashing liquid,9
pain relief oil,9
paper plates,9
prune juice,10
soy milk drink strawberry flavor,10
whole grain oats,10
facial wash,11
liquid detergent,11
pet shampoo,11
rejuvenating serum,11
toilet papers,11
hazelnut with cocoa spread,12
muffin,12
mushrooms,12
vanilla cake bar,12
blueberries,13
sword pepper,13
watermelon,13
