Item,Cluster
bell pepper,0
cloves,0
tacchino,0
white cheese,0
cayenne pepper,1
chicken cutlet,1
fries,1
frozen bangus,1
garlic pack,1
onion,1
choco pie,2
nutella,2
potato chips,2
seaweed,2
cocoa powder,3
mushrooms,3
oyster sauce,3
ramen,3
yogurt juice,3
baby wipes,4
deodorant,4
facial wash,4
mosquito net,4
rejuvenating serum,4
whitening lotion,4
cheddar spread,5
mayonnaise,5
misua,5
rice stick,5
chocolate cake bar,6
muffin,6
soy sauce,6
blueberries,7
sword pepper,7
black roast coffee,8
puto cheese,8
vanilla cake bar,8
wheat sesame,8
canned ham,9
caramel latte mix,9
cotton buds,10
pain relief oil,10
paper plates,10
toilet papers,10
air freshener,11
liquid detergent,11
pet shampoo,11
breakfast cereal,12
prune juice,12
soy milk drink strawberry flavor,12
whole grain oats,12
grapes,13
watermelon,13
chicken spread,14
hazelnut with cocoa spread,14
imported drinks,15
milk tea,15
nori,15
dishwashing liquid,16
shampoo,16
