canned ham,0,1
soy sauce,17.12418,Good
chocolate cake bar,41.14269,Good
fries,73.15405,Good
cayenne pepper,95.5035,Good
frozen bangus,116.1917,Good
watermelon,147.8692,Good
mosquito net,186.7254,Good
pain relief oil,209.5884,Good
rejuvenating serum,226.1244,Good
vanilla cake bar,269.0764,Good
hazelnut with cocoa spread,283.9811,Good
watermelon,0,2
frozen bangus,30.12753,Good
cayenne pepper,49.14736,Good
tacchino,72.83009,Good
deodorant,111.8337,Good
air freshener,134.5218,Good
pet shampoo,148.4058,Good
pain relief oil,167.607,Good
hazelnut with cocoa spread,204.7956,Good
breakfast cereal,227.6622,Good
imported drinks,249.1941,Good
ramen,262.2527,Good
nori,277.1279,Good
rice stick,290.9939,Good
air freshener,0,3
shampoo,24.45774,Good
baby wipes,41.81517,Good
cotton buds,58.83837,Good
dishwashing liquid,78.85782,Good
milk tea,113.5344,Good
soy sauce,132.22,Good
mayonnaise,152.4238,Good
choco pie,176.3807,Good
black roast coffee,200.3312,Good
garlic pack,220.1935,Good
frozen bangus,241.7273,Good
grapes,275.0603,Good
shampoo,0,4
cotton buds,15.13621,Good
garlic pack,35.49629,Good
tacchino,60.8438,Good
pet shampoo,100.5162,Good
air freshener,113.5387,Good
vanilla cake bar,146.5478,Good
muffin,162.4175,Good
whole grain oats,183.9508,Good
prune juice,199.821,Good
vanilla cake bar,0,5
misua,26.79279,Good
chicken cutlet,72.45966,Good
blueberries,98.47681,Good
grapes,111.4963,Good
watermelon,124.523,Good
choco pie,152.813,Good
shampoo,180.7526,Good
cocoa powder,199.2638,Good
mosquito net,232.542,Good
pain relief oil,255.0532,Good
liquid detergent,274.6636,Good
pet shampoo,290.8807,Good
rejuvenating serum,311.4624,Good
cocoa powder,0,6
rice stick,17.45691,Good
imported drinks,32.44017,Good
nutella,55.17886,Good
fries,86.19046,Good
mosquito net,130.8596,Good
facial wash,147.7311,Good
air freshener,170.9296,Good
caramel latte mix,198.7912,Good
muffin,217.658,Good
whitening lotion,0,7
air freshener,22.45733,Good
toilet papers,39.14684,Good
facial wash,60.16492,Good
paper plates,81.51683,Good
milk tea,118.8558,Good
ramen,137.7391,Good
canned ham,158.2723,Good
blueberries,189.4655,Good
cayenne pepper,219.3267,Good
onion,240.8605,Good
wheat sesame,261.8916,Good
muffin,281.4446,Good
oyster sauce,0,8
wheat sesame,33.12518,Good
muffin,53.81065,Good
caramel latte mix,73.8282,Good
fries,103.5079,Good
bell pepper,123.5275,Good
frozen bangus,149.43,Good
yogurt juice,179.6237,Good
air freshener,227.1773,Good
facial wash,253.3533,Good
potato chips,280.5934,Good
seaweed,302.1815,Good
mushrooms,325.113,Good
milk tea,342.0037,Good
breakfast cereal,0,9
whole grain oats,15.12629,Good
mayonnaise,40.14694,Good
soy sauce,64.16578,Good
prune juice,89.18397,Good
soy milk drink strawberry flavor,106.2063,Good
bell pepper,135.2186,Good
grapes,159.7519,Good
cloves,187.9494,Good
mosquito net,239.1276,Good
toilet papers,263.0463,Good
air freshener,279.5988,Good
facial wash,303.2034,Good
cocoa powder,334.86,Good
garlic pack,0,10
bell pepper,17.45541,Good
rice stick,37.81423,Good
ramen,58.5007,Good
cocoa powder,77.52238,Good
cotton buds,95.30706,Good
choco pie,118.7316,Good
prune juice,137.9306,Good
black roast coffee,154.5168,Good
muffin,172.0766,Good
pain relief oil,205.9346,Good
deodorant,224.4868,Good
baby wipes,239.687,Good
pet shampoo,260.9265,Good
chicken spread,0,11
dishwashing liquid,28.45796,Good
toilet papers,45.14627,Good
shampoo,61.1711,Good
deodorant,77.52605,Good
nori,103.2088,Good
white cheese,124.6577,Good
garlic pack,148.3088,Good
blueberries,173.1707,Good
frozen bangus,202.4377,Good
vanilla cake bar,0,12
muffin,15.12329,Good
hazelnut with cocoa spread,29.81327,Good
whitening lotion,75.14983,Good
air freshener,97.49899,Good
blueberries,139.1705,Good
chicken cutlet,166.4491,Good
imported drinks,195.2899,Good
choco pie,221.8209,Good
milk tea,246.1103,Good
mayonnaise,0,13
choco pie,24.79518,Good
seaweed,45.5979,Good
sword pepper,69.27586,Good
cloves,94.95509,Good
bell pepper,112.6421,Good
frozen bangus,131.9928,Good
onion,151.1973,Good
mosquito net,188.3846,Good
toilet papers,208.5887,Good
rejuvenating serum,227.1239,Good
deodorant,243.3257,Good
facial wash,257.2023,Good
grapes,0,14
chicken cutlet,23.45814,Good
cayenne pepper,45.1476,Good
white cheese,69.82948,Good
air freshener,107.502,Good
wheat sesame,134.8489,Good
muffin,154.3828,Good
oyster sauce,174.5833,Good
black roast coffee,198.7806,Good
caramel latte mix,212.6485,Good
nutella,233.1858,Good
cocoa powder,255.0537,Good
yogurt juice,0,15
imported drinks,15.78774,Good
rice stick,30.81434,Good
whitening lotion,65.82957,Good
rejuvenating serum,80.18073,Good
toilet papers,100.8657,Good
onion,143.2037,Good
chicken cutlet,161.742,Good
fries,178.6132,Good
puto cheese,210.4717,Good
prune juice,231.0047,Good
muffin,254.5362,Good
cheddar spread,274.5555,Good
rejuvenating serum,0,16
cotton buds,16.79385,Good
paper plates,31.48602,Good
pain relief oil,47.17392,Good
liquid detergent,65.52618,Good
black roast coffee,89.20971,Good
puto cheese,104.2288,Good
chicken spread,122.917,Good
chocolate cake bar,140.5355,Good
potato chips,167.0499,Good
potato chips,0,17
mayonnaise,20.45763,Good
shampoo,44.81081,Good
rejuvenating serum,76.82047,Good
paper plates,96.17187,Good
pain relief oil,113.1913,Good
whitening lotion,129.5515,Good
liquid detergent,153.4158,Good
bell pepper,195.2706,Good
onion,219.4696,Good
chicken spread,241.6669,Good
whole grain oats,264.6009,Good
black roast coffee,281.9226,Good
hazelnut with cocoa spread,300.4797,Good
soy sauce,0,18
milk tea,19.12499,Good
tacchino,45.47181,Good
garlic pack,72.1558,Good
white cheese,100.5051,Good
cheddar spread,129.5171,Good
soy milk drink strawberry flavor,155.3792,Good
muffin,175.2513,Good
whole grain oats,199.1143,Good
whitening lotion,237.3022,Good
air freshener,261.2259,Good
liquid detergent,277.4465,Good
mushrooms,0,19
yogurt juice,17.12368,Good
seaweed,36.14703,Good
chocolate cake bar,55.16573,Good
hazelnut with cocoa spread,82.25549,Good
chicken spread,96.91732,Good
cheddar spread,111.9433,Good
sword pepper,137.2936,Good
cayenne pepper,163.8209,Good
watermelon,188.021,Good
paper plates,220.5459,Good
toilet papers,234.4125,Good
baby wipes,252.6147,Good
facial wash,266.5303,Good
bell pepper,0,20
cloves,27.46086,Good
sword pepper,54.8083,Good
tacchino,72.82574,Good
chicken cutlet,87.84853,Good
misua,112.2025,Good
seaweed,133.886,Good
paper plates,163.75,Good
mosquito net,185.6163,Good
muffin,226.1357,Good
puto cheese,241.959,Good
