Customer Number,Sort Time(ns)
1,79900
2,51100
3,65400
4,64800
5,65700
6,53400
7,74400
8,47500
9,51300
10,113600
11,68100
12,52500
13,64400
14,48700
15,66200
16,47400
17,107700
18,48700
19,49100
20,52000
21,300500
22,294200
23,388000
24,291500
25,302200
26,270000
27,259500
28,331800
29,295900
30,322000
31,291100
32,286400
33,382400
34,282100
35,95600
36,320700
37,346900
38,309500
39,307700
40,349400
41,274900
42,390100
43,285900
44,299500
45,354900
46,278700
47,361000
48,345400
49,299700
50,289700
51,331800
52,342800
53,279700
54,354400
55,281100
56,316700
57,321900
58,306300
59,279000
60,328500
61,303900
62,282200
63,270000
64,227600
65,258200
66,337300
67,264400
68,299000
69,254700
70,338300
71,263500
72,286300
73,267900
74,297300
75,257700
76,248200
77,261000
78,260800
79,299100
80,328800
81,234500
82,261200
83,259800
84,269600
85,285600
86,203800
87,269400
88,247000
89,263900
90,279500
91,254000
92,259200
93,266400
94,278900
95,263600
96,298500
97,202300
98,212700
99,275100
