Item,Cluster
garlic pack,0
misua,0
baby wipes,1
deodorant,1
potato chips,1
blueberries,2
cloves,2
watermelon,2
cheddar spread,3
chicken spread,3
soy milk drink strawberry flavor,3
bell pepper,4
white cheese,4
frozen bangus,5
onion,5
tacchino,5
cayenne pepper,6
chicken cutlet,6
fries,6
pet shampoo,7
rejuvenating serum,7
whitening lotion,7
ramen,8
wheat sesame,8
muffin,9
vanilla cake bar,9
breakfast cereal,10
oyster sauce,10
soy sauce,10
grapes,11
rice stick,11
yogurt juice,11
facial wash,12
mosquito net,12
pain relief oil,13
paper plates,13
chocolate cake bar,14
puto cheese,14
liquid detergent,15
toilet papers,15
canned ham,16
choco pie,16
cocoa powder,17
imported drinks,17
hazelnut with cocoa spread,18
mayonnaise,18
prune juice,19
whole grain oats,19
milk tea,20
nori,20
air freshener,21
black roast coffee,22
caramel latte mix,22
sword pepper,23
cotton buds,24
mushrooms,24
dishwashing liquid,25
shampoo,25
nutella,26
seaweed,26
