"chocolate cake bar",0,"1"
"oyster sauce",21.1042,"Good"
"cotton buds",37.08955,"Good"
"rice stick",52.77794,"Good"
"nutella",73.44761,"Good"
"misua",94.4292,"Good"
"yogurt juice",110.7412,"Good"
"imported drinks",126.742,"Good"
"liquid detergent",155.4093,"Good"
"facial wash",178.5016,"Good"
"air freshener",200.3288,"Good"
"chicken spread",229.9637,"Good"
"whole grain oats",251.1687,"Good"
"wheat sesame",268.5294,"Good"
"muffin",285.9253,"Good"
"onion",308.6555,"Good"
"garlic pack",326.6794,"Good"
"blueberries",350.9981,"Good"
"white cheese",368.7082,"Good"
"choco pie",0,"2"
"chocolate cake bar",20.49203,"Good"
"cocoa powder",36.47686,"Good"
"potato chips",55.60136,"Good"
"cotton buds",78.8002,"Good"
"seaweed",99.46986,"Good"
"nori",118.9057,"Good"
"soy sauce",140.3926,"Good"
"canned ham",157.2458,"Good"
"mushrooms",174.3881,"Good"
"nutella",191.2186,"Good"
"imported drinks",213.0464,"Good"
"toilet papers",244.2612,"Good"
"pain relief oil",261.3497,"Good"
"liquid detergent",278.7457,"Good"
"breakfast cereal",300.217,"Good"
"hazelnut with cocoa spread",320.4302,"Good"
"sword pepper",350.0998,"Good"
"fries",372.2296,"Good"
"cayenne pepper",390.8687,"Good"
"milk tea",0,"3"
"cotton buds",17.33746,"Good"
"mushrooms",34.88695,"Good"
"potato chips",54.01195,"Good"
"oyster sauce",75.63408,"Good"
"misua",91.64886,"Good"
"imported drinks",107.6491,"Good"
"facial wash",134.285,"Good"
"pain relief oil",152.0682,"Good"
"air freshener",169.8519,"Good"
"toilet papers",186.7315,"Good"
"soy milk drink strawberry flavor",216.0561,"Good"
"hazelnut with cocoa spread",234.152,"Good"
"whole grain oats",255.0587,"Good"
"prune juice",270.6203,"Good"
"cheddar spread",288.0163,"Good"
"cotton buds",0,"4"
"chocolate cake bar",19.54197,"Good"
"misua",36.81459,"Good"
"rice stick",50.31717,"Good"
"choco pie",75.37502,"Good"
"mayonnaise",96.37198,"Good"
"nutella",112.9979,"Good"
"air freshener",138.0697,"Good"
"toilet papers",154.9168,"Good"
"pet shampoo",171.7802,"Good"
"rejuvenating serum",191.7511,"Good"
"mosquito net",209.5343,"Good"
"liquid detergent",234.5021,"Good"
"muffin",263.6033,"Good"
"vanilla cake bar",279.1089,"Good"
"onion",300.6099,"Good"
"cayenne pepper",318.334,"Good"
"frozen bangus",336.058,"Good"
"soy sauce",0,"5"
"rice stick",19.54057,"Good"
"mayonnaise",41.16458,"Good"
"potato chips",58.96739,"Good"
"seaweed",78.08543,"Good"
"nutella",94.39697,"Good"
"deodorant",121.018,"Good"
"dishwashing liquid",143.6209,"Good"
"pet shampoo",160.139,"Good"
"facial wash",182.0144,"Good"
"pain relief oil",200.1109,"Good"
"whole grain oats",226.9353,"Good"
"cheddar spread",246.6304,"Good"
"soy milk drink strawberry flavor",268.9201,"Good"
"tacchino",296.0726,"Good"
"watermelon",314.0811,"Good"
"white cheese",330.5182,"Good"
"blueberries",348.2136,"Good"
"chicken cutlet",369.6999,"Good"
"cloves",389.2845,"Good"
"potato chips",0,"6"
"nutella",19.83847,"Good"
"oyster sauce",37.69731,"Good"
"mayonnaise",55.24419,"Good"
"canned ham",71.55684,"Good"
"soy sauce",87.86938,"Good"
"rice stick",107.3373,"Good"
"whitening lotion",134.5653,"Good"
"liquid detergent",156.721,"Good"
"baby wipes",179.1932,"Good"
"prune juice",209.4513,"Good"
"vanilla cake bar",229.4046,"Good"
"hazelnut with cocoa spread",246.5628,"Good"
"chicken spread",262.6953,"Good"
"tacchino",286.3701,"Good"
"watermelon",303.4344,"Good"
"onion",324.2932,"Good"
"blueberries",346.4231,"Good"
"cayenne pepper",370.1118,"Good"
"grapes",391.5974,"Good"
"white cheese",408.034,"Good"
"cotton buds",0,"7"
"nori",17.01031,"Good"
"seaweed",36.48303,"Good"
"nutella",52.79508,"Good"
"shampoo",73.79305,"Good"
"choco pie",96.6656,"Good"
"pet shampoo",121.41,"Good"
"facial wash",143.0901,"Good"
"rejuvenating serum",159.2969,"Good"
"dishwashing liquid",179.6118,"Good"
"prune juice",203.6258,"Good"
"hazelnut with cocoa spread",225.4684,"Good"
"breakfast cereal",247.3129,"Good"
"black roast coffee",263.6378,"Good"
"muffin",279.7744,"Good"
"frozen bangus",302.219,"Good"
"watermelon",327.1669,"Good"
"tacchino",344.2333,"Good"
"chicken cutlet",359.11,"Good"
"white cheese",374.6436,"Good"
"bell pepper",389.8345,"Good"
"nori",0,"8"
"cotton buds",17.02433,"Good"
"rice stick",32.70054,"Good"
"misua",45.8899,"Good"
"nutella",69.05769,"Good"
"oyster sauce",87.54166,"Good"
"ramen",107.6283,"Good"
"imported drinks",126.4225,"Good"
"potato chips",147.8817,"Good"
"mayonnaise",167.5217,"Good"
"deodorant",194.0517,"Good"
"facial wash",208.3826,"Good"
"mosquito net",226.4618,"Good"
"black roast coffee",259.8908,"Good"
"vanilla cake bar",275.0833,"Good"
"wheat sesame",291.5204,"Good"
"whole grain oats",307.9563,"Good"
"onion",329.4282,"Good"
"cloves",347.4378,"Good"
"grapes",368.9102,"Good"
"sword pepper",385.6754,"Good"
"milk tea",0,"9"
"mushrooms",16.74306,"Good"
"canned ham",33.99564,"Good"
"yogurt juice",56.22696,"Good"
"rice stick",72.52354,"Good"
"mayonnaise",93.83344,"Good"
"dishwashing liquid",118.8757,"Good"
"facial wash",140.987,"Good"
"pet shampoo",162.8305,"Good"
"whitening lotion",183.7202,"Good"
"deodorant",199.9271,"Good"
"chicken spread",236.1215,"Good"
"muffin",253.5928,"Good"
"vanilla cake bar",268.7055,"Good"
"black roast coffee",283.5684,"Good"
"tacchino",306.3136,"Good"
"watermelon",323.4085,"Good"
"chicken cutlet",343.0063,"Good"
"blueberries",364.5059,"Good"
"cayenne pepper",388.1813,"Good"
"mayonnaise",0,"10"
"choco pie",21.08848,"Good"
"ramen",41.14916,"Good"
"milk tea",59.02485,"Good"
"imported drinks",75.02406,"Good"
"cotton buds",91.3374,"Good"
"mushrooms",107.633,"Good"
"nori",123.9455,"Good"
"dishwashing liquid",153.022,"Good"
"mosquito net",177.6596,"Good"
"air freshener",201.3623,"Good"
"chicken spread",230.9963,"Good"
"caramel latte mix",249.3879,"Good"
"whole grain oats",265.4312,"Good"
"grapes",288.5048,"Good"
"garlic pack",309.9915,"Good"
"sword pepper",335.2688,"Good"
"nutella",0,"11"
"misua",21.41673,"Good"
"imported drinks",37.12179,"Good"
"rice stick",53.43333,"Good"
"facial wash",80.69344,"Good"
"deodorant",93.8832,"Good"
"liquid detergent",118.3153,"Good"
"rejuvenating serum",138.8558,"Good"
"soy milk drink strawberry flavor",170.0843,"Good"
"vanilla cake bar",188.807,"Good"
"breakfast cereal",208.4798,"Good"
"black roast coffee",225.327,"Good"
"white cheese",250.2952,"Good"
"tacchino",265.9076,"Good"
"blueberries",284.5756,"Good"
"bell pepper",300.0955,"Good"
"sword pepper",314.9738,"Good"
"garlic pack",340.2503,"Good"
"rice stick",0,"12"
"cocoa powder",17.38294,"Good"
"soy sauce",36.52645,"Good"
"choco pie",56.89926,"Good"
"misua",79.47244,"Good"
"shampoo",95.16133,"Good"
"seaweed",116.7995,"Good"
"cotton buds",137.5335,"Good"
"oyster sauce",154.0672,"Good"
"nutella",172.8222,"Good"
"baby wipes",200.9117,"Good"
"rejuvenating serum",217.4632,"Good"
"paper plates",236.4962,"Good"
"vanilla cake bar",267.4837,"Good"
"muffin",282.6905,"Good"
"black roast coffee",299.1557,"Good"
"chicken spread",315.935,"Good"
"fries",336.8077,"Good"
"onion",353.8878,"Good"
"frozen bangus",371.9107,"Good"
"chicken cutlet",390.2656,"Good"
"choco pie",0,"13"
"yogurt juice",21.11923,"Good"
"seaweed",40.2599,"Good"
"chocolate cake bar",59.3834,"Good"
"imported drinks",76.02384,"Good"
"milk tea",92.36593,"Good"
"deodorant",117.722,"Good"
"whitening lotion",133.5131,"Good"
"wheat sesame",165.0226,"Good"
"puto cheese",181.5403,"Good"
"black roast coffee",198.0748,"Good"
"tacchino",222.4006,"Good"
"blueberries",242.6829,"Good"
"fries",268.368,"Good"
"grapes",290.1828,"Good"
"white cheese",306.3199,"Good"
"cocoa powder",0,"14"
"oyster sauce",19.8531,"Good"
"shampoo",35.52712,"Good"
"imported drinks",51.52693,"Good"
"soy sauce",71.89994,"Good"
"potato chips",93.19326,"Good"
"cotton buds",116.69,"Good"
"chocolate cake bar",136.4625,"Good"
"nutella",157.3856,"Good"
"pain relief oil",185.1647,"Good"
"caramel latte mix",211.9888,"Good"
"cheddar spread",228.8355,"Good"
"soy milk drink strawberry flavor",251.2885,"Good"
"chicken cutlet",279.6474,"Good"
"garlic pack",299.5463,"Good"
"frozen bangus",316.9268,"Good"
"tacchino",337.4535,"Good"
"soy sauce",0,"15"
"canned ham",16.08695,"Good"
"cotton buds",33.96492,"Good"
"oyster sauce",49.96614,"Good"
"nutella",67.84133,"Good"
"imported drinks",89.44798,"Good"
"whitening lotion",115.4418,"Good"
"liquid detergent",136.4238,"Good"
"air freshener",153.2538,"Good"
"rejuvenating serum",172.599,"Good"
"muffin",206.6076,"Good"
"wheat sesame",225.9524,"Good"
"caramel latte mix",242.1587,"Good"
"bell pepper",261.5692,"Good"
"chicken cutlet",278.6253,"Good"
"cloves",297.9413,"Good"
"onion",315.65,"Good"
"frozen bangus",333.9901,"Good"
"blueberries",361.18,"Good"
"choco pie",0,"16"
"shampoo",24.23137,"Good"
