vanilla cake bar,0,1
breakfast cereal,17.59132,Good
cheddar spread,34.07836,Good
cloves,47.91972,Good
blueberries,71.51753,Good
watermelon,82.77907,Good
cheddar spread,0,2
soy milk drink strawberry flavor,23.11467,Good
rice stick,47.14253,Good
cocoa powder,63.39799,Good
white cheese,85.01156,Good
blueberries,0,3
tacchino,17.55829,Good
caramel latte mix,48.97675,Good
breakfast cereal,64.62193,Good
hazelnut with cocoa spread,85.9341,Good
whole grain oats,106.2474,Good
frozen bangus,0,4
bell pepper,23.7548,Good
seaweed,52.40277,Good
rice stick,76.71748,Good
vanilla cake bar,100.6975,Good
dishwashing liquid,0,5
facial wash,25.08883,Good
pain relief oil,44.06792,Good
chocolate cake bar,79.71332,Good
puto cheese,95.02288,Good
chicken cutlet,123.0005,Good
black roast coffee,0,6
whole grain oats,17.39129,Good
yogurt juice,45.68993,Good
rice stick,67.99865,Good
rejuvenating serum,98.64539,Good
pet shampoo,118.956,Good
paper plates,135.4702,Good
whole grain oats,0,7
ramen,19.0813,Good
nori,41.06395,Good
choco pie,63.70578,Good
frozen bangus,97.34917,Good
vanilla cake bar,0,8
bell pepper,26.75901,Good
onion,41.40288,Good
milk tea,70.02976,Good
mushrooms,88.67199,Good
white cheese,0,9
whitening lotion,37.75986,Good
rejuvenating serum,52.38533,Good
black roast coffee,85.36318,Good
muffin,103.3418,Good
imported drinks,129.6354,Good
nutella,153.793,Good
shampoo,0,10
ramen,27.42158,Good
mayonnaise,44.73318,Good
wheat sesame,67.69888,Good
cayenne pepper,84.67742,Good
tacchino,112.3226,Good
onion,131.9669,Good
pet shampoo,0,11
facial wash,25.08623,Good
mosquito net,42.06761,Good
yogurt juice,81.04407,Good
rice stick,103.3557,Good
soy milk drink strawberry flavor,0,12
chicken spread,22.41315,Good
black roast coffee,41.73156,Good
bell pepper,71.70727,Good
yogurt juice,87.99702,Good
grapes,104.3089,Good
rice stick,124.2859,Good
cayenne pepper,0,13
chicken cutlet,23.75189,Good
whitening lotion,66.06266,Good
puto cheese,103.7025,Good
choco pie,129.0131,Good
nutella,153.5053,Good
prune juice,0,14
grapes,28.75862,Good
sword pepper,48.06632,Good
fries,77.37839,Good
cotton buds,130.0164,Good
pain relief oil,146.5073,Good
facial wash,166.9962,Good
soy sauce,0,15
potato chips,24.42677,Good
cotton buds,52.0649,Good
baby wipes,89.69093,Good
breakfast cereal,124.6642,Good
ramen,0,16
liquid detergent,30.76163,Good
facial wash,54.40806,Good
rejuvenating serum,70.05454,Good
cloves,105.7008,Good
vanilla cake bar,127.01,Good
oyster sauce,0,17
chicken spread,23.42417,Good
cayenne pepper,38.73387,Good
fries,59.04609,Good
bell pepper,83.02579,Good
white cheese,0,18
frozen bangus,23.08512,Good
facial wash,66.06212,Good
mosquito net,82.37374,Good
black roast coffee,116.6848,Good
nutella,136.0235,Good
mushrooms,157.1793,Good
dishwashing liquid,0,19
mayonnaise,29.75812,Good
ramen,55.05497,Good
nutella,70.01346,Good
frozen bangus,98.99252,Good
white cheese,121.9711,Good
caramel latte mix,0,20
misua,33.76356,Good
yogurt juice,81.06885,Good
cayenne pepper,108.7114,Good
deodorant,156.688,Good
mosquito net,174.5155,Good
soy sauce,0,21
breakfast cereal,23.42096,Good
oyster sauce,50.73377,Good
seaweed,86.70869,Good
nutella,101.6884,Good
white cheese,136.6689,Good
nori,0,22
seaweed,23.42196,Good
rice stick,50.39895,Good
bell pepper,74.37785,Good
black roast coffee,97.02498,Good
air freshener,129.3343,Good
caramel latte mix,0,23
soy sauce,19.74688,Good
black roast coffee,40.39482,Good
pain relief oil,70.36993,Good
sword pepper,105.344,Good
cayenne pepper,133.9914,Good
cotton buds,0,24
yogurt juice,36.42519,Good
chocolate cake bar,53.06992,Good
breakfast cereal,82.37939,Good
muffin,105.6941,Good
fries,136.0006,Good
ramen,0,25
canned ham,19.41665,Good
sword pepper,47.06206,Good
cloves,73.70959,Good
fries,93.02126,Good
mosquito net,132.9953,Good
cheddar spread,170.1518,Good
misua,0,26
whitening lotion,29.42389,Good
pet shampoo,50.40527,Good
onion,84.04845,Good
chicken spread,105.0278,Good
muffin,122.3392,Good
canned ham,0,27
chocolate cake bar,27.09325,Good
cheddar spread,55.73382,Good
baby wipes,99.71172,Good
frozen bangus,154.684,Good
tacchino,181.173,Good
hazelnut with cocoa spread,0,28
breakfast cereal,21.08972,Good
shampoo,40.05304,Good
deodorant,69.36012,Good
fries,107.6711,Good
frozen bangus,123.6486,Good
bell pepper,145.1882,Good
deodorant,0,29
rejuvenating serum,16.42214,Good
dishwashing liquid,38.07011,Good
nutella,65.71479,Good
bell pepper,90.69375,Good
onion,105.3357,Good
shampoo,0,30
dishwashing liquid,25.7548,Good
sword pepper,65.39854,Good
onion,89.37724,Good
whole grain oats,114.0173,Good
cayenne pepper,0,31
whitening lotion,44.75891,Good
pet shampoo,68.4052,Good
cocoa powder,108.7154,Good
hazelnut with cocoa spread,142.3608,Good
rejuvenating serum,0,32
misua,38.4299,Good
cloves,71.07134,Good
nori,97.71758,Good
ramen,117.025,Good
ramen,0,33
canned ham,18.41944,Good
cheddar spread,37.39746,Good
chicken spread,52.02584,Good
chicken cutlet,76.00434,Good
onion,0,34
soy sauce,22.75109,Good
hazelnut with cocoa spread,50.73124,Good
vanilla cake bar,67.04815,Good
rejuvenating serum,107.0179,Good
prune juice,0,35
chicken spread,22.74648,Good
whole grain oats,46.04152,Good
canned ham,63.6862,Good
chicken cutlet,94.00013,Good
air freshener,136.312,Good
deodorant,161.4645,Good
muffin,0,36
wheat sesame,20.08311,Good
paper plates,51.72599,Good
rejuvenating serum,71.35622,Good
fries,114.9956,Good
milk tea,144.3066,Good
soy milk drink strawberry flavor,0,37
black roast coffee,19.75368,Good
white cheese,45.06636,Good
cotton buds,66.70955,Good
cocoa powder,85.68539,Good
facial wash,112.9969,Good
milk tea,0,38
ramen,17.41463,Good
cotton buds,39.06415,Good
mosquito net,69.70829,Good
baby wipes,85.35007,Good
black roast coffee,116.9951,Good
whole grain oats,133.6939,Good
chocolate cake bar,0,39
rice stick,20.08231,Good
cheddar spread,41.39526,Good
frozen bangus,65.37327,Good
white cheese,90.33426,Good
deodorant,0,40
pain relief oil,19.08551,Good
nori,49.39558,Good
frozen bangus,82.03902,Good
onion,102.3494,Good
soy milk drink strawberry flavor,130.3288,Good
toilet papers,0,41
rejuvenating serum,18.41754,Good
liquid detergent,38.73204,Good
yogurt juice,69.7075,Good
vanilla cake bar,94.33418,Good
muffin,108.9608,Good
frozen bangus,131.944,Good
garlic pack,0,42
fries,20.42035,Good
blueberries,47.72726,Good
onion,72.37669,Good
mosquito net,111.6846,Good
deodorant,127.3284,Good
black roast coffee,161.818,Good
vanilla cake bar,179.306,Good
whole grain oats,200.7948,Good
nutella,221.287,Good
potato chips,243.1162,Good
chocolate cake bar,0,43
tacchino,30.09236,Good
frozen bangus,53.73698,Good
pain relief oil,97.37917,Good
rice stick,131.0247,Good
hazelnut with cocoa spread,0,44
cheddar spread,18.41644,Good
soy milk drink strawberry flavor,41.71354,Good
mayonnaise,63.35962,Good
paper plates,100.0022,Good
pain relief oil,117.6494,Good
cayenne pepper,0,45
shampoo,36.4282,Good
mosquito net,64.06859,Good
dishwashing liquid,93.69862,Good
soy sauce,123.3452,Good
rice stick,146.864,Good
nutella,0,46
soy milk drink strawberry flavor,23.08582,Good
chicken spread,45.39269,Good
pet shampoo,79.3764,Good
toilet papers,95.68983,Good
deodorant,115.3385,Good
bell pepper,156.9768,Good
chocolate cake bar,0,47
facial wash,29.42659,Good
rejuvenating serum,45.73554,Good
blueberries,77.37854,Good
caramel latte mix,104.0245,Good
chicken spread,123.0027,Good
puto cheese,144.1596,Good
dishwashing liquid,0,48
deodorant,23.7559,Good
pain relief oil,42.06985,Good
air freshener,59.71933,Good
chicken cutlet,96.69328,Good
bell pepper,0,49
fries,24.41947,Good
sword pepper,49.73357,Good
soy sauce,79.04595,Good
canned ham,94.0236,Good
baby wipes,127.6663,Good
paper plates,147.4885,Good
