mosquito net,0,1
pain relief oil,17.57465,Good
rejuvenating serum,30.73761,Good
canned ham,56.17088,Good
chocolate cake bar,76.74235,Good
soy sauce,95.09759,Good
hazelnut with cocoa spread,115.6688,Good
vanilla cake bar,130.9956,Good
fries,158.1701,Good
cayenne pepper,178.3434,Good
frozen bangus,197.8479,Good
watermelon,225.3546,Good
pet shampoo,0,2
air freshener,13.43007,Good
deodorant,40.43952,Good
pain relief oil,61.09972,Good
rice stick,99.75833,Good
imported drinks,115.0889,Good
nori,130.4158,Good
ramen,151.9258,Good
tacchino,186.7648,Good
frozen bangus,214.2755,Good
cayenne pepper,237.1151,Good
watermelon,268.7198,Good
breakfast cereal,299.6899,Good
hazelnut with cocoa spread,324.9521,Good
shampoo,0,3
soy sauce,16.76359,Good
cotton buds,32.09766,Good
milk tea,49.7564,Good
mayonnaise,69.08694,Good
choco pie,90.41158,Good
grapes,115.0729,Good
frozen bangus,141.3986,Good
garlic pack,160.9089,Good
baby wipes,198.4132,Good
dishwashing liquid,221.2572,Good
air freshener,238.0973,Good
black roast coffee,264.3349,Good
prune juice,0,4
whole grain oats,15.42472,Good
vanilla cake bar,35.42532,Good
muffin,50.75146,Good
tacchino,77.74749,Good
garlic pack,100.406,Good
cotton buds,119.7352,Good
shampoo,135.3197,Good
pet shampoo,164.4906,Good
air freshener,178.6631,Good
liquid detergent,0,5
rejuvenating serum,20.76871,Good
mosquito net,38.10108,Good
pet shampoo,60.76329,Good
shampoo,75.42419,Good
pain relief oil,92.4155,Good
watermelon,122.4099,Good
chicken cutlet,143.5328,Good
grapes,165.0425,Good
blueberries,181.5484,Good
cocoa powder,198.7247,Good
choco pie,220.9015,Good
misua,244.409,Good
vanilla cake bar,267.1987,Good
muffin,0,6
caramel latte mix,19.10034,Good
facial wash,55.42824,Good
mosquito net,72.09124,Good
air freshener,98.08372,Good
fries,140.0736,Good
cocoa powder,169.5817,Good
imported drinks,187.0846,Good
rice stick,203.256,Good
nutella,227.4321,Good
blueberries,0,7
cayenne pepper,29.77505,Good
onion,51.10202,Good
wheat sesame,71.4327,Good
muffin,92.0946,Good
whitening lotion,136.0847,Good
facial wash,151.5968,Good
air freshener,177.1004,Good
toilet papers,195.2737,Good
paper plates,209.4447,Good
milk tea,248.9525,Good
canned ham,273.7799,Good
ramen,288.2954,Good
caramel latte mix,0,8
oyster sauce,24.76813,Good
wheat sesame,50.76374,Good
muffin,70.09378,Good
mushrooms,91.0895,Good
yogurt juice,114.4185,Good
potato chips,134.4103,Good
seaweed,155.919,Good
milk tea,176.7606,Good
facial wash,205.5979,Good
air freshener,228.4415,Good
bell pepper,261.9941,Good
fries,279.8637,Good
frozen bangus,295.7201,Good
facial wash,0,9
mosquito net,16.7702,Good
air freshener,42.09637,Good
toilet papers,59.42211,Good
breakfast cereal,88.08742,Good
soy sauce,110.0782,Good
mayonnaise,134.7393,Good
prune juice,157.9133,Good
soy milk drink strawberry flavor,176.0853,Good
whole grain oats,192.9278,Good
cloves,217.1057,Good
grapes,243.2746,Good
bell pepper,262.8343,Good
cocoa powder,283.3971,Good
bell pepper,0,10
garlic pack,27.10377,Good
prune juice,47.7655,Good
black roast coffee,63.75906,Good
