cocoa powder,0,1
shampoo,16.85445,Good
rice stick,33.15499,Good
mayonnaise,58.54103,Good
blueberries,87.03448,Good
grapes,100.5206,Good
white cheese,124.9542,Good
facial wash,169.4274,Good
toilet papers,191.8975,Good
whitening lotion,213.7237,Good
pain relief oil,233.0523,Good
rejuvenating serum,249.8822,Good
mosquito net,269.5988,Good
air freshener,296.434,Good
hazelnut with cocoa spread,336.1608,Good
whole grain oats,358.9048,Good
vanilla cake bar,381.0215,Good
muffin,397.4856,Good
cheddar spread,418.3434,Good
breakfast cereal,438.2556,Good
puto cheese,0,2
black roast coffee,17.03996,Good
soy milk drink strawberry flavor,38.65089,Good
yogurt juice,69.31457,Good
choco pie,94.07504,Good
cocoa powder,118.8205,Good
shampoo,137.179,Good
cotton buds,155.3084,Good
nori,174.9484,Good
potato chips,198.0255,Good
cayenne pepper,230.7847,Good
deodorant,276.818,Good
pet shampoo,300.194,Good
baby wipes,322.9237,Good
dishwashing liquid,347.858,Good
sword pepper,0,3
garlic pack,31.09152,Good
grapes,56.44771,Good
frozen bangus,85.86208,Good
tacchino,109.4258,Good
onion,128.2385,Good
fries,147.2878,Good
watermelon,174.1455,Good
misua,194.1161,Good
canned ham,215.9424,Good
cheddar spread,237.1626,Good
puto cheese,257.1244,Good
prune juice,275.1616,Good
breakfast cereal,285.9348,Good
chicken spread,307.7352,Good
wheat sesame,323.8713,Good
deodorant,361.4077,Good
pet shampoo,383.8237,Good
whitening lotion,405.6235,Good
toilet papers,425.2373,Good
liquid detergent,0,4
air freshener,17.02433,Good
rejuvenating serum,38.01014,Good
whitening lotion,54.62003,Good
baby wipes,70.93118,Good
potato chips,97.55206,Good
seaweed,119.1742,Good
milk tea,140.995,Good
garlic pack,169.7103,Good
frozen bangus,191.2247,Good
grapes,222.1085,Good
white cheese,241.7495,Good
hazelnut with cocoa spread,275.9264,Good
chicken spread,291.7325,Good
breakfast cereal,313.205,Good
vanilla cake bar,333.4181,Good
vanilla cake bar,0,5
mayonnaise,19.21272,Good
wheat sesame,37.71275,Good
hazelnut with cocoa spread,58.06979,Good
soy milk drink strawberry flavor,78.09922,Good
whole grain oats,95.66108,Good
mosquito net,137.2883,Good
air freshener,165.6739,Good
dishwashing liquid,182.8162,Good
paper plates,203.0828,Good
pet shampoo,221.1616,Good
mushrooms,249.565,Good
yogurt juice,275.353,Good
bell pepper,297.1672,Good
cayenne pepper,328.7104,Good
cloves,344.5472,Good
blueberries,0,6
sword pepper,16.72773,Good
onion,40.54082,Good
breakfast cereal,64.33327,Good
