"chicken spread",0,"1"
"cloves",15.79658,"Good"
"onion",36.23922,"Good"
"yogurt juice",58.14846,"Good"
"bell pepper",73.84686,"Good"
"choco pie",108.2446,"Good"
"potato chips",122.3857,"Good"
"milk tea",143.8383,"Good"
"seaweed",165.7143,"Good"
"nutella",180.7585,"Good"
"deodorant",214.7424,"Good"
"air freshener",240.2588,"Good"
"mayonnaise",0,"2"
"choco pie",21.15188,"Good"
"yogurt juice",42.67925,"Good"
"misua",57.54556,"Good"
"cocoa powder",89.45161,"Good"
"rice stick",104.9478,"Good"
"soy sauce",119.7744,"Good"
"watermelon",139.2608,"Good"
"grapes",153.0266,"Good"
"garlic pack",180.3903,"Good"
"frozen bangus",199.0023,"Good"
"fries",213.8438,"Good"
"bell pepper",232.2927,"Good"
"tacchino",252.9261,"Good"
"mosquito net",290.3707,"Good"
"whitening lotion",305.6146,"Good"
"pet shampoo",324.9241,"Good"
"air freshener",335.7198,"Good"
"liquid detergent",349.4098,"Good"
"wheat sesame",375.0076,"Good"
"cheddar spread",388.416,"Good"
"imported drinks",0,"3"
"breakfast cereal",18.7016,"Good"
"muffin",37.6712,"Good"
"liquid detergent",65.98221,"Good"
"frozen bangus",100.6528,"Good"
"onion",118.4279,"Good"
"chicken cutlet",134.4882,"Good"
"mushrooms",0,"4"
"milk tea",22.45726,"Good"
"oyster sauce",41.30497,"Good"
"cocoa powder",61.98893,"Good"
"canned ham",86.93571,"Good"
"chocolate cake bar",118.6463,"Good"
"hazelnut with cocoa spread",151.596,"Good"
"prune juice",175.3926,"Good"
"pet shampoo",202.7627,"Good"
"rejuvenating serum",223.3245,"Good"
"grapes",259.9631,"Good"
"cayenne pepper",284.8854,"Good"
"frozen bangus",303.126,"Good"
"canned ham",0,"5"
"imported drinks",18.52868,"Good"
"mushrooms",38.3927,"Good"
"sword pepper",64.76239,"Good"
"cloves",92.52026,"Good"
"cayenne pepper",103.6179,"Good"
"white cheese",126.974,"Good"
"mosquito net",162.3599,"Good"
"baby wipes",177.6884,"Good"
"whitening lotion",190.4334,"Good"
"air freshener",210.155,"Good"
"toilet papers",225.3753,"Good"
"whole grain oats",251.6253,"Good"
"prune juice",265.9167,"Good"
"puto cheese",291.0939,"Good"
"prune juice",0,"6"
"puto cheese",18.32689,"Good"
"deodorant",55.35381,"Good"
"shampoo",71.3325,"Good"
"dishwashing liquid",95.61357,"Good"
"paper plates",112.9527,"Good"
"toilet papers",124.3145,"Good"
"watermelon",164.1778,"Good"
"cayenne pepper",188.2721,"Good"
"tacchino",219.8224,"Good"
"chicken cutlet",252.0761,"Good"
"chocolate cake bar",0,"7"
"oyster sauce",19.7317,"Good"
"nori",36.30939,"Good"
"imported drinks",50.77271,"Good"
"yogurt juice",65.85365,"Good"
"misua",85.66038,"Good"
"watermelon",102.8202,"Good"
"blueberries",116.9416,"Good"
"sword pepper",131.0777,"Good"
"cayenne pepper",157.691,"Good"
"chicken spread",176.713,"Good"
"caramel latte mix",193.6043,"Good"
"wheat sesame",208.1849,"Good"
"puto cheese",223.7258,"Good"
"pet shampoo",250.5866,"Good"
"pain relief oil",269.6905,"Good"
"baby wipes",285.2794,"Good"
"mosquito net",299.8267,"Good"
"rejuvenating serum",314.6606,"Good"
"dishwashing liquid",332.7921,"Good"
"seaweed",0,"8"
"cloves",31.21514,"Good"
"deodorant",82.97233,"Good"
"baby wipes",96.85248,"Good"
"pet shampoo",118.57,"Good"
"toilet papers",134.0524,"Good"
"chicken spread",0,"9"
"hazelnut with cocoa spread",14.24703,"Good"
"misua",46.05801,"Good"
"mosquito net",81.24548,"Good"
"air freshener",102.264,"Good"
"choco pie",127.4451,"Good"
"nori",148.8786,"Good"
"rice stick",162.6956,"Good"
"imported drinks",175.4846,"Good"
"yogurt juice",191.0685,"Good"
"blueberries",207.289,"Good"
"frozen bangus",235.4467,"Good"
"onion",258.742,"Good"
"whitening lotion",0,"10"
"cotton buds",16.52996,"Good"
"canned ham",43.9127,"Good"
"nori",63.95212,"Good"
"breakfast cereal",84.32374,"Good"
"chicken spread",105.7283,"Good"
"vanilla cake bar",124.3086,"Good"
"cloves",144.9442,"Good"
"breakfast cereal",0,"11"
"white cheese",27.06815,"Good"
"rice stick",49.46161,"Good"
"mushrooms",63.94683,"Good"
"imported drinks",79.41044,"Good"
"ramen",91.48202,"Good"
"air freshener",0,"12"
"shampoo",14.46478,"Good"
"pet shampoo",28.95602,"Good"
"deodorant",51.92557,"Good"
"potato chips",77.20576,"Good"
"seaweed",97.57789,"Good"
"toilet papers",0,"13"
"pain relief oil",15.63371,"Good"
"deodorant",33.58869,"Good"
"whitening lotion",48.91779,"Good"
"imported drinks",74.67339,"Good"
"mushrooms",89.14284,"Good"
"misua",103.3642,"Good"
"grapes",120.2786,"Good"
"garlic pack",142.1646,"Good"
"cloves",154.1223,"Good"
"chicken cutlet",174.3949,"Good"
"breakfast cereal",199.9287,"Good"
"puto cheese",216.8306,"Good"
"hazelnut with cocoa spread",233.2882,"Good"
"wheat sesame",0,"14"
"black roast coffee",14.08575,"Good"
"vanilla cake bar",29.77321,"Good"
"bell pepper",62.78049,"Good"
"chicken cutlet",82.9532,"Good"
"oyster sauce",0,"15"
"nori",16.89241,"Good"
"misua",31.36334,"Good"
"canned ham",49.8049,"Good"
"nutella",64.90164,"Good"
"wheat sesame",85.9155,"Good"
"black roast coffee",100.4439,"Good"
"toilet papers",128.5306,"Good"
"choco pie",0,"16"
"nutella",22.60065,"Good"
"soy sauce",39.61918,"Good"
"breakfast cereal",55.35741,"Good"
"caramel latte mix",69.9952,"Good"
"mosquito net",106.5516,"Good"
"dishwashing liquid",132.8645,"Good"
"liquid detergent",150.2712,"Good"
"yogurt juice",0,"17"
"bell pepper",21.23475,"Good"
"pain relief oil",55.09721,"Good"
"mosquito net",74.64133,"Good"
"vanilla cake bar",114.5402,"Good"
"shampoo",0,"18"
"sword pepper",34.09303,"Good"
"cayenne pepper",59.45491,"Good"
"cloves",71.09544,"Good"
"onion",88.35761,"Good"
"yogurt juice",107.4882,"Good"
"imported drinks",125.2815,"Good"
"milk tea",140.0464,"Good"
"oyster sauce",157.3643,"Good"
"choco pie",176.8147,"Good"
"potato chips",192.3791,"Good"
"chocolate cake bar",210.5258,"Good"
"soy sauce",230.4189,"Good"
"ramen",247.4249,"Good"
"black roast coffee",264.1377,"Good"
"muffin",278.7661,"Good"
"toilet papers",0,"19"
"rejuvenating serum",17.5886,"Good"
"cotton buds",33.67933,"Good"
"cheddar spread",63.78337,"Good"
"whole grain oats",83.86583,"Good"
"breakfast cereal",99.82726,"Good"
"soy milk drink strawberry flavor",114.2796,"Good"
"misua",134.8313,"Good"
"milk tea",166.7768,"Good"
"imported drinks",185.3495,"Good"
"mushrooms",200.67,"Good"
"canned ham",217.6853,"Good"
"choco pie",236.0295,"Good"
"seaweed",256.9255,"Good"
"blueberries",277.1528,"Good"
"watermelon",287.852,"Good"
"cayenne pepper",312.2705,"Good"
"garlic pack",322.5325,"Good"
"bell pepper",337.9382,"Good"
"caramel latte mix",0,"20"
"breakfast cereal",14.96456,"Good"
"puto cheese",32.07922,"Good"
"rejuvenating serum",67.45364,"Good"
"seaweed",95.35542,"Good"
"yogurt juice",0,"21"
"milk tea",15.23656,"Good"
"potato chips",35.08181,"Good"
"misua",56.59964,"Good"
"cotton buds",75.05807,"Good"
"imported drinks",90.52266,"Good"
"nori",107.915,"Good"
"rice stick",122.2603,"Good"
"muffin",147.564,"Good"
"vanilla cake bar",163.7908,"Good"
"caramel latte mix",180.4868,"Good"
"puto cheese",196.1595,"Good"
"whole grain oats",215.6046,"Good"
"liquid detergent",241.8507,"Good"
"pain relief oil",260.8255,"Good"
"baby wipes",277.238,"Good"
"facial wash",291.4851,"Good"
"onion",332.5293,"Good"
"frozen bangus",350.8268,"Good"
"bell pepper",371.8379,"Good"
"white cheese",388.5348,"Good"
"milk tea",0,"22"
"canned ham",20.54915,"Good"
"dishwashing liquid",43.513,"Good"
"toilet papers",59.4854,"Good"
"paper plates",71.14951,"Good"
"black roast coffee",97.53565,"Good"
"hazelnut with cocoa spread",114.8108,"Good"
"chicken spread",129.9879,"Good"
"prune juice",149.4325,"Good"
"sword pepper",176.7007,"Good"
"cloves",203.4428,"Good"
"onion",221.7132,"Good"
"white cheese",240.3758,"Good"
"imported drinks",0,"23"
"rice stick",14.82234,"Good"
"shampoo",30.29632,"Good"
"mayonnaise",51.70117,"Good"
"chocolate cake bar",70.49675,"Good"
"air freshener",102.843,"Good"
"pain relief oil",118.5007,"Good"
"dishwashing liquid",138.4845,"Good"
"muffin",169.8839,"Good"
"wheat sesame",188.919,"Good"
"caramel latte mix",203.4933,"Good"
"soy milk drink strawberry flavor",222.411,"Good"
"hazelnut with cocoa spread",240.1076,"Good"
"watermelon",267.5263,"Good"
"white cheese",283.3926,"Good"
"nutella",0,"24"
"potato chips",19.18629,"Good"
"choco pie",32.41451,"Good"
"mushrooms",54.53625,"Good"
"rice stick",67.81005,"Good"
"vanilla cake bar",88.71725,"Good"
"wheat sesame",105.3928,"Good"
"soy milk drink strawberry flavor",124.5306,"Good"
"puto cheese",159.3249,"Good"
"watermelon",185.6535,"Good"
"cloves",218.1744,"Good"
"mosquito net",0,"25"
"choco pie",23.92501,"Good"
"canned ham",41.42126,"Good"
"imported drinks",60.36627,"Good"
"blueberries",77.73514,"Good"
"grapes",89.07166,"Good"
"fries",121.274,"Good"
"wheat sesame",0,"26"
"oyster sauce",45.98046,"Good"
"chocolate cake bar",65.86483,"Good"
"soy sauce",98.30132,"Good"
"whole grain oats",119.7551,"Good"
"prune juice",132.3071,"Good"
"blueberries",164.6364,"Good"
"yogurt juice",182.0874,"Good"
"garlic pack",208.6839,"Good"
"cloves",222.2057,"Good"
"white cheese",257.4422,"Good"
"imported drinks",280.2419,"Good"
"cocoa powder",294.864,"Good"
"nori",308.0357,"Good"
"deodorant",339.3635,"Good"
"mosquito net",372.906,"Good"
"paper plates",393.629,"Good"
"liquid detergent",0,"27"
"toilet papers",16.61643,"Good"
"cotton buds",29.33584,"Good"
"onion",63.87322,"Good"
"bell pepper",79.20579,"Good"
"white cheese",93.86958,"Good"
"rice stick",114.5213,"Good"
"mushrooms",127.6267,"Good"
"soy sauce",144.985,"Good"
"ramen",158.2618,"Good"
"chocolate cake bar",193.1874,"Good"
"nutella",213.036,"Good"
"cheddar spread",249.7747,"Good"
"fries",0,"28"
"vanilla cake bar",29.62283,"Good"
"liquid detergent",63.79401,"Good"
"deodorant",95.43924,"Good"
"dishwashing liquid",120.3573,"Good"
"whitening lotion",0,"29"
"facial wash",13.43968,"Good"
"black roast coffee",65.18562,"Good"
"vanilla cake bar",81.82104,"Good"
"oyster sauce",105.5555,"Good"
"mushrooms",137.8829,"Good"
"cocoa powder",171.1552,"Good"
"rice stick",188.8612,"Good"
"watermelon",228.5125,"Good"
"sword pepper",247.4141,"Good"
"cayenne pepper",280.2442,"Good"
"misua",0,"30"
"puto cheese",31.73615,"Good"
"muffin",46.64143,"Good"
"oyster sauce",65.85394,"Good"
"whole grain oats",87.3845,"Good"
"shampoo",107.0643,"Good"
"choco pie",139.2223,"Good"
"milk tea",174.1461,"Good"
"nutella",194.2027,"Good"
"rice stick",216.3337,"Good"
"nori",230.5415,"Good"
"watermelon",265.5732,"Good"
"blueberries",279.1807,"Good"
"pet shampoo",313.6086,"Good"
"pain relief oil",345.6442,"Good"
"whitening lotion",359.8831,"Good"
"paper plates",378.0759,"Good"
"rejuvenating serum",395.0159,"Good"
"sword pepper",0,"31"
"garlic pack",34.19775,"Good"
"grapes",67.86356,"Good"
"cayenne pepper",99.41656,"Good"
"chicken cutlet",120.9809,"Good"
"bell pepper",137.461,"Good"
"white cheese",170.7333,"Good"
"rice stick",203.1383,"Good"
"imported drinks",216.7183,"Good"
"choco pie",251.7303,"Good"
