"brushes",0,"force hit!"
"green tea drink",0,"1"
"lasagna",40.72017,"Good"
"soap",90.64131,"Good"
"menstrual pads",154.5628,"Good"
"pantyliner",154.5628,"stuck hit!"
"liquid soap",449.5726,"Good"
"liquid soap",449.5726,"stuck hit!"
"soap",449.5726,"stuck hit!"
"soap",965.9791,"Good"
"menstrual pads",1000.466,"Good"
"pantyliner",1000.466,"stuck hit!"
"prune juice",1308.155,"Good"
"cola",1308.155,"stuck hit!"
"grapes drink",1609.59,"Good"
"salad dressing",1651.007,"Good"
"fruit juice",1708.657,"Good"
"vanilla cake bar",1708.657,"stuck hit!"
"yogurt drink with mixed fruits",2012.01,"Good"
"whiskey",2068.41,"Good"
"hair conditioner",2108.849,"Good"
"soy sauce",0,"6"
"chocolate cake sandwich",50.4804,"Good"
"biscuits",104.8016,"Good"
"deodorant",159.5229,"Good"
"papaya",204.9639,"Good"
"battery",260.3244,"Good"
"soap",321.1942,"Good"
"disinfectant",375.425,"Good"
"car sweetener",431.6556,"Good"
"carbonated drinks",0,"8"
"cay-cay",47.36032,"Good"
"hotcake mix",101.0415,"Good"
"original instant coffee",149.6827,"Good"
"toilet brush",221.1243,"Good"
"fusilli",221.1243,"stuck hit!"
"butter toasted bread",539.648,"Good"
"margarine",539.648,"stuck hit!"
"margarine",828.1896,"Good"
"cream cheese spread",833.8708,"Good"
"beancurd",880.8409,"Good"
"rodent bait",880.8409,"stuck hit!"
"pet food",1235.075,"Good"
"kitchen towel",1312.953,"Good"
"bleach",1429.609,"Good"
"powdered detergent",1525.236,"Good"
"soy milk drink",1565.294,"Good"
"tuna mayo spread",1625.901,"Good"
"liquid seasoning",1625.901,"stuck hit!"
"moisturizer",1949.643,"Good"
"flavored beer",0,"12"
"gin",36.24007,"Good"
"vodka",218.4842,"Good"
"canned beer",310.236,"Good"
"lime juice",349.3494,"Good"
"fresh milk",0,"13"
"potato chips",349.3494,"stuck hit!"
"honey",293.4388,"Good"
"sesame oil",293.4388,"stuck hit!"
"nori",706.1636,"Good"
"sponge",706.1636,"stuck hit!"
"sponge",0,"14"
"conditioner",20.87998,"Good"
"trash bags",107.3617,"Good"
"fabric conditioner",149.0426,"Good"
"dishwashing liquid and paste",204.2439,"Good"
"facial tissue",204.2439,"stuck hit!"
"paper tray",204.2439,"stuck hit!"
"aluminum tray",204.2439,"stuck hit!"
"skewers",0,"15"
"plastic spoon and fork",204.2439,"stuck hit!"
"menstrual pads",204.2439,"stuck hit!"
"liquid soap",204.2439,"stuck hit!"
"pantyliner",204.2439,"stuck hit!"
"soap",204.2439,"stuck hit!"
"litter",204.2439,"stuck hit!"
"pet shampoo",204.2439,"stuck hit!"
"air freshener",204.2439,"stuck hit!"
"pet accessories",204.2439,"stuck hit!"
"rodent bait",204.2439,"stuck hit!"
"soya milk",2631.117,"Good"
"white coffee mix",2631.117,"stuck hit!"
"pepsi",2631.117,"stuck hit!"
"sweetened mango puree",2631.117,"stuck hit!"
