Item,Cluster
chiffon choco,0
citrus drink,0
pineapple juice drink,0
hot pepper,1
pickled mango,1
sugarbeets,1
mango juice drink,2
sweetened mango puree,2
whiskey,2
corn chip,3
liquor,3
shabu sauce,3
canned carrots,4
snacks,4
canned pineapple,5
odong,5
caramel flavored milk tea,6
chicken spread,6
cinnamon,6
basil,7
chocolate milk drink for adult,7
powdered milk drink for pregnant,7
sampalok mix,7
black roast coffee,8
skimmed milk,8
vanilla cake bar,8
cream,9
hair freshener,9
burdock,10
cayenne pepper,10
sweet golden melon,10
camote,11
mangosteen,11
white cheese,11
cigarette,12
toilet brush,12
breakfast cereal,13
soy milk drink,13
turmeric ginger powdered drink,13
white coffee mix,13
korean sauce,14
oyster sauce,14
powder,14
rice stick,14
sandwich spread,15
thousand island dressing,15
thyme leaves,15
air freshener,16
feminine care,16
whitening soap,16
alugbate,17
watermelon,17
butter,18
pineapple,18
water,18
light gin,19
milk cream,19
junk food,20
women cologne,20
pantyliner,21
skewers,21
corn coffee,22
salsa,22
toasted bread,22
chocolate,23
wafers,23
bell pepper,24
kiwi,24
string beans,24
car sweetener,25
mixed vegetable and soya,25
berry special granola,26
canola oil,26
cheese block,27
meat,27
pork and beans,27
multi grain drink mix,28
puto cheese,28
hotdog,29
juice drink,29
parmesan,29
kimchi,30
seaweed,30
soju,30
strawberry jam,30
no sugar pineapple drink,31
sparkling water,31
yogurt drink with strawberry,31
body cream,32
deodorant,32
mosquito net,32
bbq sauce,33
cookie sticks,33
bangus in olive oil,34
canned mushroom,34
ion supply juice drink,35
nutella,35
liver spread,36
sweatened condensed milk,36
sweatened thick creamer,36
palabok,37
unsweetened chocolate drink,37
apple flavored drink,38
evaporated creamer,38
gin,38
yogurt flavored drink with nata de coco,38
dustbin,39
dustpan,39
green lemon,40
salad area,40
hanger,41
pot holder,41
squash,42
tacchino,42
tomato,42
chocolate cake bar,43
cocoa powder,43
powdered milk drink,43
dried kelp,44
kiat-kiat,44
cheese berry pie,45
sliced bread,45
apple cider,46
cookie mix,46
milk,46
choco pie,47
marshmallows,47
detox powder,48
pet accessories,48
pain relief oil,49
vitamins,49
apple grape juice,50
yogurt drink with mixed fruits,50
piaya,51
tropical fruit cocktail,51
all purpose cleaner,52
otap,52
low sugar milk,53
milo,53
ready made chocolate beverage,53
cream roll,54
prune juice,54
soy milk drink oat flavor,54
charcoal,55
pechay,55
egg,56
molo wrapper,56
white pepper,56
sardines,57
soy drink milk,57
winter melon flavored milk tea,57
garlic,58
ginger,58
onion,58
crackers,59
honey,59
banana,60
italian roast coffee,60
jellies,61
macaroni cheese,61
soya oil,62
strawberry milk drink for adult,62
tuna mayo spread,63
vodka,63
chicken,64
fish,64
bacon,65
shrimp,65
tocino,65
caesar dressing,66
canned softdrink,66
chocolate cake sandwich,66
banana chips,67
q tips,67
corn starch,68
