dumpling fries,0,1
chicken cutlet,57.90509,Good
cheese,120.4423,Good
brushes,196.423,Good
toothbrush,245.2678,Good
kitchen towel,302.5844,Good
hot sauce,373.7888,Good
yogurt drink with mixed fruits,415.02,Good
canned pineapple,470.3184,Good
carbonated drinks,524.8959,Good
whole grain oats,595.506,Good
pancake syrup,656.9166,Good
peanut butter,733.5896,Good
meat sauce,809.2852,Good
creamy white coffee,871.1534,Good
corn coffee,930.8833,Good
fusilli,987.9044,Good
bambooshoot,1035.094,Good
bambooshoot,1083.847,Good
frozen bangus,0,2
sugarbeets,78.94412,Good
chayote,130.9659,Good
toothpaste,206.0198,Good
olives,292.9875,Good
pancake,336.2729,Good
no sugar pineapple drink,382.6025,Good
sausage,446.5377,Good
hot sauce,501.8686,Good
wine,592.6084,Good
cheese berry pie,654.049,Good
bbq sauce,714.3488,Good
cookies,765.3829,Good
tamarind,0,3
vinegar,48.48351,Good
misua,101.447,Good
plastic plates,168.6917,Good
scrubs,215.683,Good
facial wash,264.3957,Good
microwavable plastic containers,315.6228,Good
chocolate flavored oat mix,371.748,Good
cream roll,415.9598,Good
hot sauce,477.1155,Good
cookies,0,4
toothpaste,61.31331,Good
cheese berry pie,124.7444,Good
bbq sauce,189.0768,Good
chayote,258.1742,Good
frozen bangus,312.9759,Good
sugarbeets,381.5436,Good
parmesan,436.2128,Good
no sugar pineapple drink,507.4284,Good
hot sauce,569.6576,Good
olives,626.8214,Good
sausage,692.8232,Good
pancake,740.4364,Good
basil,0,5
ham,61.58047,Good
low calorie beer,139.7023,Good
original instant coffee,208.2705,Good
blended juice drinks,266.778,Good
cheese block,315.8878,Good
berry special granola,371.2188,Good
pepsi,425.4908,Good
bagoong,495.25,Good
chicken flakes,541.2893,Good
napkin,618.1252,Good
paper tray,0,6
litter,60.51143,Good
pet food,115.7431,Good
molo wrapper,199.1358,Good
tocino,239.9731,Good
icecream,299.0027,Good
jellies,366.3795,Good
macaroni,423.7615,Good
powder,485.7115,Good
banana chips,554.2532,Good
cheese berry pie,623.9614,Good
liver spread,690.9528,Good
coconut oil,751.1103,Good
pepsi,816.3995,Good
pepsi,893.0931,Good
pork and beans,0,7
chocolate flavored oat mix,43.87206,Good
pasta sauce,109.1832,Good
vanilla cake bar,176.7393,Good
gin,233.3941,Good
ion supply juice drink,294.1515,Good
dairy cream,368.6769,Good
salt,422.2206,Good
beef,465.6386,Good
nutella,542.6855,Good
jellies,592.5084,Good
donut,661.645,Good
facial wash,0,8
moisturizer,38.32654,Good
beef tapa,104.2272,Good
hot pepper,161.5438,Good
basil leaves,233.2886,Good
umami seasoning,0,9
egg,49.2854,Good
pasta sauce,95.62299,Good
canned tuna,157.4404,Good
lychees,227.7292,Good
sandwich spread,282.3984,Good
canned softdrink,347.5246,Good
apple cider,0,10
pocky,45.14258,Good
macaroni cheese,96.41724,Good
milk for kids,154.1309,Good
litter,211.8446,Good
mouth wash,266.7784,Good
pet food,319.8591,Good
facial wash,384.1914,Good
canned corn,464.2096,Good
skimmed milk,533.8057,Good
milo,594.2482,Good
cheese block,667.5204,Good
yogurt drink with mixed fruits,724.6843,Good
pastry wrappers,781.9904,Good
pastry wrappers,843.7159,Good
frozen squid,0,11
nutella,51.4239,Good
sesame oil,110.8459,Good
milk tea,154.2535,Good
spaghetti,216.8648,Good
macaroni,259.091,Good
odong,315.6133,Good
hotcake mix,0,12
carbonated drinks,58.35891,Good
unagi,109.9044,Good
conditioner,160.7349,Good
cookie sticks,218.8457,Good
soju,0,13
puto cheese,47.41486,Good
bagoong,106.345,Good
fruits and nuts oats,161.1467,Good
cabbage,217.4377,Good
ponkan,269.2766,Good
tomato,310.6824,Good
fish balls,354.3261,Good
sampalok mix,0,14
sparkling water,65.71045,Good
rubbing alcohol,134.4504,Good
fruit drink,193.7526,Good
beancurd,253.1869,Good
pineapple slice,297.3987,Good
broccoli bowl,363.4516,Good
local snacks,0,15
cleaner,228.8361,stuck hit!
spaghetti sauce,288.1474,Good
corned beef,329.8039,Good
quickmelt cheese,378.7999,Good
jelly powder,432.1599,Good
q tips,512.108,Good
beauty soap,576.124,Good
hotdog,658.7957,Good
ponkan,704.2264,Good
margarine,0,16
cheddar spread,49.83855,Good
cornflakes cereal,104.3252,Good
green tea latte drink,161.057,Good
cumin,210.7806,Good
paper cups,286.8199,Good
slippers,345.4695,Good
special potato chips,400.8131,Good
rice stick,467.0347,Good
curry sauce,506.0164,Good
polvoron,563.2587,Good
powdered juice drink,0,17
caramel flavored milk tea,51.30694,Good
creamy white coffee,100.4901,Good
white bread,138.9727,Good
cay-cay,184.5302,Good
sports drink lime flavor,250.1888,Good
tequila,298.5234,Good
grapes drink,349.532,Good
hair styling wax,415.9821,Good
lumpia wrapper,497.1249,Good
ginger,558.5616,Good
onion,620.9998,Good
beef,685.7186,Good
sugarbeets,0,18
okra,41.96147,Good
brown rice,105.2512,Good
butter,183.1421,Good
lychees,270.2899,Good
orange drink,321.5999,Good
coffee jelly,363.3889,Good
toasted bread,435.1964,Good
sweatened thick creamer,495.367,Good
vinegar,552.1931,Good
royal,607.0228,Good
canned tuna,680.4378,Good
broth cube,733.274,Good
almond,981.1169,stuck hit!
mouth wash,1051.33,Good
air freshener,1115.417,Good
pet food,1159.363,Good
paper plates,0,19
mushrooms,61.72107,Good
pretzels,124.4259,Good
bread stick,186.7781,Good
special snacks,237.2289,Good
olives,0,20
sparkling wine,49.41878,Good
yogurt juice,119.6064,Good
mangosteen,161.2026,Good
kimchi,214.7729,Good
mozzarella,256.3373,Good
white cheese,302.4606,Good
powdered detergent,361.028,Good
battery,434.0261,Good
chicken spread,0,21
pineapple drink,58.78388,Good
soya milk,100.8209,Good
bathroom tissue,178.1889,Good
soap and body wash,0,22
guava,70.47238,Good
dairy cream,131.4103,Good
lime juice,193.8232,Good
pasta sauce,236.0494,Good
gums,297.4693,Good
unagi,351.5208,Good
seaweed,397.2767,Good
palm oil,0,23
powdered juice drink,63.5904,Good
toasted bread,125.2856,Good
umami seasoning,172.2979,Good
body cream,0,24
baby wash,47.90273,Good
lasagna,105.7138,Good
tea,150.4778,Good
margarita,226.716,Good
tomato sauce,293.2339,Good
vodka,361.3391,Good
hazelnut with cocoa spread,408.616,Good
ion supply juice drink,478.9691,Good
cornflakes cereal,534.1774,Good
avocado,595.9858,Good
parmesan,662.4935,Good
green apples,729.4998,Good
mangosteen,798.9272,Good
tomato,853.9711,Good
tomato,911.1507,Good
insect killer,0,25
white cheese,76.28961,Good
thyme leaves,145.8492,Good
sparkling water,209.1274,Good
marshmallows,260.4375,Good
marshmallows,331.7165,Good
whole grain oats,0,26
margarine,57.74487,Good
hopia,104.134,Good
kale,166.7453,Good
oranges,209.5007,Good
crab sticks,263.7728,Good
water,322.81,Good
dishwashing liquid,401.3055,Good
conditioner,449.2235,Good
sponge,485.6254,Good
beauty soap,0,27
cotton buds,47.1469,Good
strawberry jam,123.1659,Good
donut,194.2461,Good
dried mangoes,243.5067,Good
nori,305.0655,Good
seaweed,363.7813,Good
patty,444.7139,Good
kale,502.2396,Good
okra,765.5974,stuck hit!
string beans,819.5021,Good
margarine,900.1803,Good
cola,962.7005,Good
sampalok mix,1015.679,Good
seasoning granules,1053.489,Good
moisturizer,0,28
vegetable oil,71.72723,Good
seasoning mix,123.1036,Good
marshmallows,185.3237,Good
peanuts,429.4129,stuck hit!
ramen,470.1442,Good
tomato,540.7668,Good
durian,608.4139,Good
bread crumbs,0,29
imported drinks,70.93378,Good
dried mangoes,142.7416,Good
grind meat,207.6726,Good
