Item,Cluster
cheese cake,0
local snacks,0
pears,0
spray,0
diaper,1
plastic plates,1
sesame oil,1
soap,1
chicharon,2
dairy cream,2
spaghetti,2
vinegar,2
cloves,3
icecream,3
juice drink,3
parmesan,3
canned pineapple,4
green peas,4
piaya,4
sotanghon,4
tropical fruit cocktail,4
cornflakes cereal,5
fruit juice,5
noodles,5
tea,5
eggplant,6
frozen bangus,6
garlic pack,6
taugi,6
microwavable plastic containers,7
rejuvenating serum,7
whitening lotion,7
canned softdrink,8
margarine,8
mayonnaise,8
sponge,8
cookie mix,9
disinfectant spray,9
milk,9
spaghetti sauce,9
chocolate flavored milk tea,10
palm oil,10
seasoning granules,10
tocino mix,10
dried fish,11
patty,11
quekiam,11
sack of rice,11
avocado,12
cajun seasoning,12
lemon,12
roasted garlic,12
chocolate tablets,13
four season juice drink,13
low calorie beer,13
orange juice drink,13
sweetened rice cereal,13
body lotion,14
fabric conditioner,14
facial wash,14
plastic spoon and fork,14
coconut,15
okra,15
special snacks,15
yogurt juice,15
all purpose cleaner,16
mouth wash,16
otap,16
canned tuna,17
iced tea,17
nori,17
oatmeal,17
baby cologne,18
banana chips,18
q tips,18
special oatmeals,18
junk food,19
milk for kids,19
paper plates,19
women cologne,19
liquid washing,20
powdered detergent,20
rag,20
toothpaste,20
black pepper,21
cay-cay,21
creamy white coffee,21
fruits and nuts oats,21
classic decaf coffee,22
decaf coffee,22
strawberry and yogurt granola,22
wheat rld oats,22
cheese,23
hotdog,23
salt,23
basil,24
caesar dressing,24
chocolate cake sandwich,24
sampalok mix,24
apple grape juice,25
blended juice drinks,25
raisin load,25
yogurt drink with mixed fruits,25
pasta,26
polvoron,26
wafers,26
candies,27
dried kelp,27
kiat-kiat,27
tamarind,27
all purpose cream,28
lychees,28
orange drink,28
powdered juice drink,28
bok choi,29
lettuce,29
potato,29
alugbate,30
charcoal,30
pechay,30
watermelon,30
canned beer,31
pineapple drink,31
bottled water,32
corned beef,32
ketchup,32
pasta sauce,32
fresh milk,33
no sugar pineapple drink,33
sparkling water,33
vanilla flavored oat mix,33
canton,34
carbonara,34
skimmed milk,34
vanilla cake bar,34
breakfast cereal,35
soy milk drink,35
turmeric ginger powdered drink,35
white coffee mix,35
car sweetener,36
liquid detergent,36
mixed vegetable and soya,36
japanese rich drink,37
mango drink concentrate,37
sardines in olive oil,37
sports drink tropical fruit,37
carbonated drinks,38
hotcake mix,38
jelly powder,38
luncheon meat,38
broth cube,39
pancake,39
tomato sauce,39
yogurt drink with mango,39
all-purpose flour,40
bagoong,40
mango juice drink,40
sweetened mango puree,40
whiskey,40
guava,41
imported drinks,41
instant noodles,41
baby powder,42
cream,42
hair freshener,42
hair styling wax,42
basil leaves,43
broccoli bowl,43
corn grits,43
gouda,43
almond milk,44
apple green tea drink,44
coffee jelly,44
green tea drink,44
chayote,45
red onion,45
sesame,45
hot sauce,46
salted black beans,46
sausage,46
quickcook oatmeal,47
red wine,47
spirit drink,47
whole grain oats,47
chocolate cake bar,48
mamon,48
powdered milk drink,48
salad dressing,48
brushes,49
plastic cups,49
wax paper,49
beancurd,50
royal,50
beauty soap,51
rodent bait,51
sandwich spread,52
thousand island dressing,52
thyme leaves,52
oyster sauce,53
powder,53
rice stick,53
cola,54
sparkling softdrinks,54
tequila,54
multi grain drink mix,55
puto cheese,55
air purifier,56
bathroom tissue,56
feminine care,56
whitening soap,56
canned ham,57
soy sauce,57
tuna mayo spread,57
vodka,57
cheese spread,58
cookies,58
potato strings,58
burdock,59
cayenne pepper,59
sweet golden melon,59
cheese block,60
meat,60
pork and beans,60
hot pepper,61
pickled mango,61
sugarbeets,61
