Number of Items,Run 1,Run 2
8,525.4114,0.0
6,408.2171,461.7893
16,0.0,63.54534
16,0.0,63.54534
13,741.252,913.3298
13,741.252,913.3298
17,63.54534,120.4273
17,63.54534,120.4273
10,251.7809,415.4942
10,251.7809,415.4942
6,408.2171,461.7893
6,408.2171,461.7893
3,183.9882,260.8933
3,183.9882,260.8933
13,741.252,913.3298
13,741.252,913.3298
12,574.189,741.252
12,574.189,741.252
13,741.252,913.3298
12,574.189,741.252
7,461.7893,525.4114
6,408.2171,461.7893
9,0.0,251.7809
8,525.4114,0.0
15,1077.05,0.0
15,1077.05,0.0
16,0.0,63.54534
16,0.0,63.54534
5,337.8784,408.2171
5,337.8784,408.2171
6,408.2171,461.7893
5,337.8784,408.2171
5,337.8784,408.2171
5,337.8784,408.2171
6,408.2171,461.7893
6,408.2171,461.7893
5,337.8784,408.2171
5,337.8784,408.2171
7,461.7893,525.4114
7,461.7893,525.4114
17,63.54534,120.4273
17,63.54534,120.4273
16,0.0,63.54534
16,0.0,63.54534
8,525.4114,0.0
8,525.4114,0.0
10,251.7809,415.4942
10,251.7809,415.4942
12,574.189,741.252
12,574.189,741.252
3,183.9882,260.8933
3,183.9882,260.8933
17,63.54534,120.4273
18,120.4273,193.9627
12,574.189,741.252
12,574.189,741.252
3,183.9882,260.8933
3,183.9882,260.8933
6,408.2171,461.7893
6,408.2171,461.7893
16,0.0,63.54534
16,0.0,63.54534
15,1077.05,0.0
15,1077.05,0.0
12,574.189,741.252
12,574.189,741.252
16,0.0,63.54534
16,0.0,63.54534
11,415.4942,574.189
11,415.4942,574.189
7,461.7893,525.4114
7,461.7893,525.4114
14,913.3298,1077.05
14,913.3298,1077.05
11,415.4942,574.189
10,251.7809,415.4942
17,63.54534,120.4273
18,120.4273,193.9627
5,337.8784,408.2171
4,260.8933,337.8784
11,415.4942,574.189
11,415.4942,574.189
5,337.8784,408.2171
5,337.8784,408.2171
9,0.0,251.7809
9,0.0,251.7809
4,260.8933,337.8784
4,260.8933,337.8784
17,63.54534,120.4273
17,63.54534,120.4273
12,574.189,741.252
12,574.189,741.252
10,251.7809,415.4942
10,251.7809,415.4942
3,183.9882,260.8933
3,183.9882,260.8933
14,913.3298,1077.05
13,741.252,913.3298
4,260.8933,337.8784
4,260.8933,337.8784
7,461.7893,525.4114
7,461.7893,525.4114
17,63.54534,120.4273
17,63.54534,120.4273
8,525.4114,0.0
8,525.4114,0.0
13,741.252,913.3298
12,574.189,741.252
6,408.2171,461.7893
6,408.2171,461.7893
6,408.2171,461.7893
6,408.2171,461.7893
17,63.54534,120.4273
18,120.4273,193.9627
11,415.4942,574.189
11,415.4942,574.189
4,260.8933,337.8784
4,260.8933,337.8784
13,741.252,913.3298
13,741.252,913.3298
5,337.8784,408.2171
5,337.8784,408.2171
6,408.2171,461.7893
6,408.2171,461.7893
10,251.7809,415.4942
10,251.7809,415.4942
12,574.189,741.252
12,574.189,741.252
10,251.7809,415.4942
10,251.7809,415.4942
6,408.2171,461.7893
6,408.2171,461.7893
6,408.2171,461.7893
6,408.2171,461.7893
9,0.0,251.7809
9,0.0,251.7809
7,461.7893,525.4114
7,461.7893,525.4114
11,415.4942,574.189
11,415.4942,574.189
11,415.4942,574.189
11,415.4942,574.189
12,574.189,741.252
12,574.189,741.252
11,415.4942,574.189
11,415.4942,574.189
16,0.0,63.54534
16,0.0,63.54534
5,337.8784,408.2171
5,337.8784,408.2171
8,525.4114,0.0
8,525.4114,0.0
3,183.9882,260.8933
3,183.9882,260.8933
7,461.7893,525.4114
7,461.7893,525.4114
6,408.2171,461.7893
6,408.2171,461.7893
13,741.252,913.3298
13,741.252,913.3298
7,461.7893,525.4114
7,461.7893,525.4114
14,913.3298,1077.05
14,913.3298,1077.05
7,461.7893,525.4114
7,461.7893,525.4114
15,1077.05,0.0
15,1077.05,0.0
7,461.7893,525.4114
7,461.7893,525.4114
12,574.189,741.252
12,574.189,741.252
16,0.0,63.54534
16,0.0,63.54534
6,408.2171,461.7893
6,408.2171,461.7893
17,63.54534,120.4273
17,63.54534,120.4273
6,408.2171,461.7893
6,408.2171,461.7893
4,260.8933,337.8784
4,260.8933,337.8784
7,461.7893,525.4114
7,461.7893,525.4114
15,1077.05,0.0
15,1077.05,0.0
6,408.2171,461.7893
6,408.2171,461.7893
8,525.4114,0.0
8,525.4114,0.0
8,525.4114,0.0
8,525.4114,0.0
15,1077.05,0.0
15,1077.05,0.0
6,408.2171,461.7893
6,408.2171,461.7893
6,408.2171,461.7893
6,408.2171,461.7893
12,574.189,741.252
12,574.189,741.252
10,251.7809,415.4942
10,251.7809,415.4942
15,1077.05,0.0
15,1077.05,0.0
16,0.0,63.54534
16,0.0,63.54534
7,461.7893,525.4114
6,408.2171,461.7893
8,525.4114,0.0
8,525.4114,0.0
6,408.2171,461.7893
6,408.2171,461.7893
4,260.8933,337.8784
4,260.8933,337.8784
7,461.7893,525.4114
7,461.7893,525.4114
6,408.2171,461.7893
6,408.2171,461.7893
17,63.54534,120.4273
18,120.4273,193.9627
9,0.0,251.7809
10,251.7809,415.4942
6,408.2171,461.7893
6,408.2171,461.7893
14,913.3298,1077.05
14,913.3298,1077.05
11,415.4942,574.189
11,415.4942,574.189
3,183.9882,260.8933
3,183.9882,260.8933
17,63.54534,120.4273
18,120.4273,193.9627
17,63.54534,120.4273
17,63.54534,120.4273
15,1077.05,0.0
15,1077.05,0.0
17,63.54534,120.4273
18,120.4273,193.9627
11,415.4942,574.189
11,415.4942,574.189
4,260.8933,337.8784
4,260.8933,337.8784
17,63.54534,120.4273
17,63.54534,120.4273
17,63.54534,120.4273
